sep=,
"Time","B_1 - I45","B_2 - I45","B_3 - I45","B_4 - I45","B_5 - I45","B_6 - I45","B_7 - I45","B_8 - I45","B_1 - I49","B_2 - I49","B_3 - I49","B_4 - I49","B_5 - I49","B_6 - I49","B_7 - I49","B_8 - I49","B_1 - I50","B_2 - I50","B_3 - I50","B_4 - I50","B_5 - I50","B_6 - I50","B_7 - I50","B_8 - I50","B_1 - I51","B_2 - I51","B_3 - I51","B_4 - I51","B_5 - I51","B_6 - I51","B_7 - I51","B_8 - I51","B_1 - I52","B_2 - I52","B_3 - I52","B_4 - I52","B_5 - I52","B_6 - I52","B_7 - I52","B_8 - I52","B_1 - I53","B_2 - I53","B_3 - I53","B_4 - I53","B_5 - I53","B_6 - I53","B_7 - I53","B_8 - I53","B_1 - I54","B_2 - I54","B_3 - I54","B_4 - I54","B_5 - I54","B_6 - I54","B_7 - I54","B_8 - I54","B_1 - I55","B_2 - I55","B_3 - I55","B_4 - I55","B_5 - I55","B_6 - I55","B_7 - I55","B_8 - I55","B_1 - I56","B_2 - I56","B_3 - I56","B_4 - I56","B_5 - I56","B_6 - I56","B_7 - I56","B_8 - I56","B_1 - I57","B_2 - I57","B_3 - I57","B_4 - I57","B_5 - I57","B_6 - I57","B_7 - I57","B_8 - I57","B_1 - I58","B_2 - I58","B_3 - I58","B_4 - I58","B_5 - I58","B_6 - I58","B_7 - I58","B_8 - I58"," I45"," I49"," I50"," I51"," I52"," I53"," I54"," I55"," I56"," I57"," I58"
2026-06-28 17:00:00,0.121 Mpa,0.123 Mpa,0.121 Mpa,0.122 Mpa,0.123 Mpa,0.124 Mpa,0.126 Mpa,0.129 Mpa,0.119 Mpa,0.119 Mpa,0.122 Mpa,0.116 Mpa,0.119 Mpa,0.125 Mpa,0.124 Mpa,0.131 Mpa,0.118 Mpa,0.119 Mpa,0.116 Mpa,0.116 Mpa,0.119 Mpa,0.119 Mpa,0.121 Mpa,0.127 Mpa,0.126 Mpa,0.125 Mpa,0.130 Mpa,0.125 Mpa,0.125 Mpa,0.131 Mpa,0.133 Mpa,0.133 Mpa,,,,,,,,,0.124 Mpa,1.02 Mpa,0.127 Mpa,0.124 Mpa,0.124 Mpa,0.129 Mpa,0.125 Mpa,0.132 Mpa,0.123 Mpa,0.125 Mpa,0.121 Mpa,0.124 Mpa,0.124 Mpa,0.127 Mpa,0.127 Mpa,0.132 Mpa,0.123 Mpa,0.122 Mpa,0.123 Mpa,0.121 Mpa,0.121 Mpa,0.126 Mpa,0.126 Mpa,0.132 Mpa,0.130 Mpa,0.129 Mpa,0.127 Mpa,0.128 Mpa,0.130 Mpa,0.133 Mpa,0.132 Mpa,0.137 Mpa,0.124 Mpa,0.124 Mpa,0.122 Mpa,0.119 Mpa,0.126 Mpa,0.120 Mpa,0.127 Mpa,0.133 Mpa,,,,,,,,,1718 RPM,1843 RPM,1507 RPM,1609 RPM,,1735 RPM,1740 RPM,1635 RPM,1711 RPM,1700 RPM,
2026-06-28 19:00:00,0.119 Mpa,0.121 Mpa,0.119 Mpa,0.119 Mpa,0.121 Mpa,0.121 Mpa,0.124 Mpa,0.126 Mpa,0.119 Mpa,0.119 Mpa,0.121 Mpa,0.116 Mpa,0.119 Mpa,0.125 Mpa,0.124 Mpa,0.132 Mpa,0.123 Mpa,0.123 Mpa,0.122 Mpa,0.121 Mpa,0.124 Mpa,0.125 Mpa,0.126 Mpa,0.133 Mpa,0.125 Mpa,0.124 Mpa,0.129 Mpa,0.124 Mpa,0.125 Mpa,0.131 Mpa,0.133 Mpa,0.133 Mpa,,,,,,,,,0.125 Mpa,1.02 Mpa,0.127 Mpa,0.124 Mpa,0.125 Mpa,0.130 Mpa,0.126 Mpa,0.133 Mpa,0.123 Mpa,0.124 Mpa,0.121 Mpa,0.124 Mpa,0.124 Mpa,0.127 Mpa,0.127 Mpa,0.132 Mpa,0.123 Mpa,0.123 Mpa,0.125 Mpa,0.124 Mpa,0.122 Mpa,0.127 Mpa,0.128 Mpa,0.134 Mpa,0.127 Mpa,0.126 Mpa,0.124 Mpa,0.125 Mpa,0.127 Mpa,0.131 Mpa,0.130 Mpa,0.135 Mpa,0.126 Mpa,0.127 Mpa,0.125 Mpa,0.122 Mpa,0.129 Mpa,0.124 Mpa,0.130 Mpa,0.137 Mpa,,,,,,,,,1492 RPM,1835 RPM,1809 RPM,1677 RPM,,1855 RPM,1747 RPM,1725 RPM,1811 RPM,1809 RPM,
2026-06-28 21:00:00,0.124 Mpa,0.127 Mpa,0.126 Mpa,0.126 Mpa,0.128 Mpa,0.129 Mpa,0.130 Mpa,0.134 Mpa,0.114 Mpa,0.114 Mpa,0.116 Mpa,0.110 Mpa,0.115 Mpa,0.118 Mpa,0.119 Mpa,0.125 Mpa,0.123 Mpa,0.123 Mpa,0.121 Mpa,0.120 Mpa,0.124 Mpa,0.125 Mpa,0.126 Mpa,0.133 Mpa,0.124 Mpa,0.123 Mpa,0.128 Mpa,0.123 Mpa,0.123 Mpa,0.129 Mpa,0.131 Mpa,0.131 Mpa,,,,,,,,,0.122 Mpa,1.02 Mpa,0.123 Mpa,0.120 Mpa,0.122 Mpa,0.125 Mpa,0.122 Mpa,0.128 Mpa,0.128 Mpa,0.129 Mpa,0.126 Mpa,0.129 Mpa,0.129 Mpa,0.132 Mpa,0.132 Mpa,0.137 Mpa,0.121 Mpa,0.120 Mpa,0.119 Mpa,0.118 Mpa,0.118 Mpa,0.121 Mpa,0.122 Mpa,0.127 Mpa,0.127 Mpa,0.125 Mpa,0.124 Mpa,0.125 Mpa,0.127 Mpa,0.131 Mpa,0.130 Mpa,0.134 Mpa,0.123 Mpa,0.123 Mpa,0.121 Mpa,0.118 Mpa,0.125 Mpa,0.120 Mpa,0.126 Mpa,0.132 Mpa,,,,,,,,,1712 RPM,1728 RPM,1695 RPM,1564 RPM,,1749 RPM,1822 RPM,1078 RPM,1822 RPM,1747 RPM,
2026-06-28 23:00:00,0.126 Mpa,0.128 Mpa,0.128 Mpa,0.129 Mpa,0.130 Mpa,0.131 Mpa,0.133 Mpa,0.136 Mpa,0.113 Mpa,0.113 Mpa,0.115 Mpa,0.109 Mpa,0.113 Mpa,0.117 Mpa,0.118 Mpa,0.123 Mpa,0.122 Mpa,0.122 Mpa,0.120 Mpa,0.119 Mpa,0.123 Mpa,0.123 Mpa,0.125 Mpa,0.131 Mpa,0.121 Mpa,0.120 Mpa,0.123 Mpa,0.119 Mpa,0.119 Mpa,0.124 Mpa,0.127 Mpa,0.127 Mpa,,,,,,,,,0.124 Mpa,1.02 Mpa,0.126 Mpa,0.123 Mpa,0.124 Mpa,0.128 Mpa,0.124 Mpa,0.131 Mpa,0.127 Mpa,0.128 Mpa,0.125 Mpa,0.128 Mpa,0.128 Mpa,0.131 Mpa,0.131 Mpa,0.136 Mpa,0.126 Mpa,0.125 Mpa,0.126 Mpa,0.125 Mpa,0.124 Mpa,0.128 Mpa,0.129 Mpa,0.135 Mpa,0.128 Mpa,0.127 Mpa,0.126 Mpa,0.126 Mpa,0.128 Mpa,0.132 Mpa,0.131 Mpa,0.136 Mpa,0.123 Mpa,0.124 Mpa,0.122 Mpa,0.119 Mpa,0.125 Mpa,0.120 Mpa,0.127 Mpa,0.133 Mpa,,,,,,,,,1782 RPM,1418 RPM,1701 RPM,1436 RPM,,1764 RPM,1764 RPM,1692 RPM,1773 RPM,1639 RPM,
2026-06-29 01:00:00,0.120 Mpa,0.121 Mpa,0.120 Mpa,0.120 Mpa,0.122 Mpa,0.123 Mpa,0.126 Mpa,0.128 Mpa,0.117 Mpa,0.117 Mpa,0.119 Mpa,0.113 Mpa,0.117 Mpa,0.122 Mpa,0.122 Mpa,0.128 Mpa,0.120 Mpa,0.119 Mpa,0.117 Mpa,0.116 Mpa,0.120 Mpa,0.121 Mpa,0.122 Mpa,0.129 Mpa,0.133 Mpa,0.133 Mpa,0.138 Mpa,0.133 Mpa,0.132 Mpa,0.141 Mpa,0.141 Mpa,0.142 Mpa,0.112 Mpa,0.112 Mpa,0.110 Mpa,0.107 Mpa,0.109 Mpa,0.108 Mpa,0.112 Mpa,0.115 Mpa,0.126 Mpa,1.02 Mpa,0.129 Mpa,0.125 Mpa,0.126 Mpa,0.130 Mpa,0.127 Mpa,0.134 Mpa,0.126 Mpa,0.128 Mpa,0.125 Mpa,0.128 Mpa,0.128 Mpa,0.131 Mpa,0.131 Mpa,0.136 Mpa,0.129 Mpa,0.128 Mpa,0.130 Mpa,0.129 Mpa,0.127 Mpa,0.132 Mpa,0.132 Mpa,0.138 Mpa,0.123 Mpa,0.122 Mpa,0.119 Mpa,0.120 Mpa,0.122 Mpa,0.125 Mpa,0.125 Mpa,0.128 Mpa,0.123 Mpa,0.123 Mpa,0.122 Mpa,0.118 Mpa,0.127 Mpa,0.122 Mpa,0.128 Mpa,0.134 Mpa,,,,,,,,,1636 RPM,1807 RPM,1623 RPM,1735 RPM,855 RPM,1835 RPM,1771 RPM,1732 RPM,1522 RPM,1824 RPM,
2026-06-29 03:00:00,0.122 Mpa,0.122 Mpa,0.119 Mpa,0.119 Mpa,0.120 Mpa,0.119 Mpa,0.124 Mpa,0.124 Mpa,0.116 Mpa,0.116 Mpa,0.118 Mpa,0.112 Mpa,0.116 Mpa,0.120 Mpa,0.121 Mpa,0.127 Mpa,0.120 Mpa,0.120 Mpa,0.118 Mpa,0.117 Mpa,0.121 Mpa,0.122 Mpa,0.123 Mpa,0.130 Mpa,0.108 Mpa,0.107 Mpa,0.106 Mpa,0.103 Mpa,0.106 Mpa,0.108 Mpa,0.112 Mpa,0.111 Mpa,0.120 Mpa,0.118 Mpa,0.120 Mpa,0.115 Mpa,0.119 Mpa,0.120 Mpa,0.120 Mpa,0.127 Mpa,0.126 Mpa,1.02 Mpa,0.129 Mpa,0.126 Mpa,0.127 Mpa,0.131 Mpa,0.128 Mpa,0.135 Mpa,0.125 Mpa,0.126 Mpa,0.123 Mpa,0.127 Mpa,0.127 Mpa,0.130 Mpa,0.129 Mpa,0.135 Mpa,0.128 Mpa,0.128 Mpa,0.130 Mpa,0.129 Mpa,0.126 Mpa,0.131 Mpa,0.132 Mpa,0.138 Mpa,0.127 Mpa,0.126 Mpa,0.125 Mpa,0.125 Mpa,0.128 Mpa,0.132 Mpa,0.131 Mpa,0.135 Mpa,0.123 Mpa,0.123 Mpa,0.121 Mpa,0.119 Mpa,0.126 Mpa,0.121 Mpa,0.127 Mpa,0.133 Mpa,,,,,,,,,715 RPM,1768 RPM,1797 RPM,1068 RPM,1736 RPM,1852 RPM,1742 RPM,1694 RPM,1816 RPM,1760 RPM,
2026-06-29 05:00:00,0.119 Mpa,0.120 Mpa,0.118 Mpa,0.117 Mpa,0.120 Mpa,0.119 Mpa,0.123 Mpa,0.125 Mpa,0.117 Mpa,0.118 Mpa,0.120 Mpa,0.114 Mpa,0.118 Mpa,0.123 Mpa,0.123 Mpa,0.129 Mpa,0.116 Mpa,0.116 Mpa,0.113 Mpa,0.112 Mpa,0.116 Mpa,0.116 Mpa,0.118 Mpa,0.124 Mpa,0.106 Mpa,0.105 Mpa,0.101 Mpa,0.0988 Mpa,0.0998 Mpa,0.100 Mpa,0.105 Mpa,0.103 Mpa,0.133 Mpa,0.134 Mpa,0.134 Mpa,0.133 Mpa,0.132 Mpa,0.133 Mpa,0.136 Mpa,0.141 Mpa,0.126 Mpa,1.02 Mpa,0.129 Mpa,0.126 Mpa,0.126 Mpa,0.131 Mpa,0.127 Mpa,0.134 Mpa,0.123 Mpa,0.123 Mpa,0.120 Mpa,0.124 Mpa,0.123 Mpa,0.126 Mpa,0.126 Mpa,0.131 Mpa,0.128 Mpa,0.128 Mpa,0.130 Mpa,0.129 Mpa,0.127 Mpa,0.131 Mpa,0.132 Mpa,0.138 Mpa,0.124 Mpa,0.122 Mpa,0.121 Mpa,0.121 Mpa,0.123 Mpa,0.126 Mpa,0.126 Mpa,0.130 Mpa,0.124 Mpa,0.125 Mpa,0.123 Mpa,0.120 Mpa,0.128 Mpa,0.123 Mpa,0.129 Mpa,0.135 Mpa,,,,,,,,,1257 RPM,1817 RPM,1534 RPM,0 RPM,1668 RPM,1770 RPM,1666 RPM,1693 RPM,1607 RPM,1778 RPM,
2026-06-29 07:00:00,0.137 Mpa,0.139 Mpa,0.139 Mpa,0.138 Mpa,0.140 Mpa,0.141 Mpa,0.144 Mpa,0.146 Mpa,0.118 Mpa,0.117 Mpa,0.120 Mpa,0.114 Mpa,0.118 Mpa,0.123 Mpa,0.123 Mpa,0.130 Mpa,0.121 Mpa,0.122 Mpa,0.119 Mpa,0.119 Mpa,0.122 Mpa,0.123 Mpa,0.124 Mpa,0.131 Mpa,0.104 Mpa,0.101 Mpa,0.100 Mpa,0.0961 Mpa,0.0967 Mpa,0.100 Mpa,0.104 Mpa,0.100 Mpa,0.136 Mpa,0.138 Mpa,0.138 Mpa,0.137 Mpa,0.135 Mpa,0.137 Mpa,0.140 Mpa,0.144 Mpa,0.128 Mpa,1.02 Mpa,0.132 Mpa,0.128 Mpa,0.128 Mpa,0.133 Mpa,0.129 Mpa,0.137 Mpa,0.129 Mpa,0.130 Mpa,0.127 Mpa,0.130 Mpa,0.131 Mpa,0.134 Mpa,0.134 Mpa,0.139 Mpa,0.131 Mpa,0.131 Mpa,0.134 Mpa,0.133 Mpa,0.130 Mpa,0.136 Mpa,0.136 Mpa,0.143 Mpa,0.129 Mpa,0.128 Mpa,0.126 Mpa,0.127 Mpa,0.129 Mpa,0.133 Mpa,0.132 Mpa,0.137 Mpa,0.122 Mpa,0.121 Mpa,0.119 Mpa,0.116 Mpa,0.123 Mpa,0.118 Mpa,0.124 Mpa,0.129 Mpa,,,,,,,,,1762 RPM,1840 RPM,1770 RPM,19.2 RPM,1820 RPM,1836 RPM,1864 RPM,1803 RPM,1750 RPM,1619 RPM,
2026-06-29 09:00:00,0.132 Mpa,0.134 Mpa,0.135 Mpa,0.134 Mpa,0.135 Mpa,0.137 Mpa,0.138 Mpa,0.142 Mpa,0.115 Mpa,0.115 Mpa,0.117 Mpa,0.111 Mpa,0.115 Mpa,0.121 Mpa,0.120 Mpa,0.127 Mpa,0.121 Mpa,0.122 Mpa,0.120 Mpa,0.119 Mpa,0.122 Mpa,0.123 Mpa,0.124 Mpa,0.131 Mpa,0.121 Mpa,0.119 Mpa,0.118 Mpa,0.114 Mpa,0.119 Mpa,0.120 Mpa,0.125 Mpa,0.123 Mpa,0.135 Mpa,0.136 Mpa,0.136 Mpa,0.135 Mpa,0.134 Mpa,0.136 Mpa,0.138 Mpa,0.142 Mpa,0.125 Mpa,1.02 Mpa,0.128 Mpa,0.125 Mpa,0.125 Mpa,0.130 Mpa,0.127 Mpa,0.133 Mpa,0.122 Mpa,0.123 Mpa,0.120 Mpa,0.122 Mpa,0.123 Mpa,0.126 Mpa,0.126 Mpa,0.131 Mpa,0.132 Mpa,0.131 Mpa,0.134 Mpa,0.133 Mpa,0.131 Mpa,0.137 Mpa,0.137 Mpa,0.144 Mpa,0.129 Mpa,0.127 Mpa,0.126 Mpa,0.126 Mpa,0.129 Mpa,0.133 Mpa,0.131 Mpa,0.136 Mpa,0.125 Mpa,0.126 Mpa,0.124 Mpa,0.121 Mpa,0.127 Mpa,0.122 Mpa,0.129 Mpa,0.135 Mpa,,,,,,,,,1813 RPM,1656 RPM,1544 RPM,1107 RPM,1823 RPM,1798 RPM,1721 RPM,1853 RPM,1806 RPM,1676 RPM,
2026-06-29 11:00:00,0.128 Mpa,0.130 Mpa,0.129 Mpa,0.129 Mpa,0.130 Mpa,0.132 Mpa,0.133 Mpa,0.137 Mpa,0.129 Mpa,0.128 Mpa,0.131 Mpa,0.124 Mpa,0.129 Mpa,0.135 Mpa,0.134 Mpa,0.140 Mpa,0.123 Mpa,0.124 Mpa,0.123 Mpa,0.122 Mpa,0.125 Mpa,0.126 Mpa,0.126 Mpa,0.134 Mpa,,,,,,,,,0.133 Mpa,0.134 Mpa,0.134 Mpa,0.133 Mpa,0.131 Mpa,0.133 Mpa,0.135 Mpa,0.139 Mpa,0.124 Mpa,1.02 Mpa,0.127 Mpa,0.123 Mpa,0.124 Mpa,0.129 Mpa,0.126 Mpa,0.132 Mpa,0.119 Mpa,0.119 Mpa,0.115 Mpa,0.118 Mpa,0.119 Mpa,0.122 Mpa,0.122 Mpa,0.126 Mpa,0.131 Mpa,0.131 Mpa,0.133 Mpa,0.133 Mpa,0.130 Mpa,0.136 Mpa,0.136 Mpa,0.143 Mpa,0.131 Mpa,0.129 Mpa,0.128 Mpa,0.129 Mpa,0.131 Mpa,0.135 Mpa,0.133 Mpa,0.138 Mpa,0.128 Mpa,0.129 Mpa,0.127 Mpa,0.124 Mpa,0.131 Mpa,0.126 Mpa,0.132 Mpa,0.139 Mpa,,,,,,,,,1779 RPM,1831 RPM,1764 RPM,,1815 RPM,1778 RPM,1650 RPM,1814 RPM,1826 RPM,1800 RPM,
2026-06-29 13:00:00,0.128 Mpa,0.130 Mpa,0.131 Mpa,0.130 Mpa,0.132 Mpa,0.134 Mpa,0.135 Mpa,0.139 Mpa,0.129 Mpa,0.130 Mpa,0.130 Mpa,0.125 Mpa,0.129 Mpa,0.134 Mpa,0.134 Mpa,0.140 Mpa,0.123 Mpa,0.124 Mpa,0.121 Mpa,0.121 Mpa,0.124 Mpa,0.125 Mpa,0.126 Mpa,0.134 Mpa,,,,,,,,,0.130 Mpa,0.131 Mpa,0.131 Mpa,0.130 Mpa,0.128 Mpa,0.130 Mpa,0.132 Mpa,0.136 Mpa,0.113 Mpa,0.986 Mpa,0.113 Mpa,0.107 Mpa,0.109 Mpa,0.112 Mpa,0.110 Mpa,0.115 Mpa,0.110 Mpa,0.109 Mpa,0.101 Mpa,0.105 Mpa,0.105 Mpa,0.105 Mpa,0.109 Mpa,0.110 Mpa,0.128 Mpa,0.127 Mpa,0.129 Mpa,0.128 Mpa,0.126 Mpa,0.132 Mpa,0.132 Mpa,0.138 Mpa,0.129 Mpa,0.128 Mpa,0.127 Mpa,0.128 Mpa,0.130 Mpa,0.134 Mpa,0.133 Mpa,0.138 Mpa,0.126 Mpa,0.126 Mpa,0.124 Mpa,0.121 Mpa,0.127 Mpa,0.121 Mpa,0.128 Mpa,0.134 Mpa,,,,,,,,,1810 RPM,1718 RPM,1684 RPM,,1818 RPM,1364 RPM,363 RPM,1744 RPM,1803 RPM,1716 RPM,
2026-06-29 15:00:00,0.130 Mpa,0.133 Mpa,0.133 Mpa,0.133 Mpa,0.134 Mpa,0.136 Mpa,0.137 Mpa,0.142 Mpa,0.130 Mpa,0.130 Mpa,0.132 Mpa,0.126 Mpa,0.130 Mpa,0.135 Mpa,0.135 Mpa,0.142 Mpa,0.124 Mpa,0.124 Mpa,0.123 Mpa,0.121 Mpa,0.124 Mpa,0.126 Mpa,0.126 Mpa,0.134 Mpa,0.101 Mpa,0.100 Mpa,0.0971 Mpa,0.0931 Mpa,0.0943 Mpa,0.0975 Mpa,0.101 Mpa,0.101 Mpa,0.121 Mpa,0.122 Mpa,0.121 Mpa,0.120 Mpa,0.121 Mpa,0.121 Mpa,0.124 Mpa,0.128 Mpa,0.118 Mpa,1.02 Mpa,0.119 Mpa,0.114 Mpa,0.116 Mpa,0.120 Mpa,0.117 Mpa,0.123 Mpa,0.116 Mpa,0.117 Mpa,0.112 Mpa,0.115 Mpa,0.116 Mpa,0.118 Mpa,0.120 Mpa,0.123 Mpa,0.127 Mpa,0.126 Mpa,0.128 Mpa,0.127 Mpa,0.125 Mpa,0.130 Mpa,0.131 Mpa,0.137 Mpa,0.128 Mpa,0.127 Mpa,0.126 Mpa,0.126 Mpa,0.128 Mpa,0.133 Mpa,0.131 Mpa,0.136 Mpa,0.120 Mpa,0.120 Mpa,0.117 Mpa,0.114 Mpa,0.120 Mpa,0.114 Mpa,0.121 Mpa,0.125 Mpa,,,,,,,,,1839 RPM,1830 RPM,1812 RPM,196 RPM,1749 RPM,1716 RPM,1436 RPM,1764 RPM,1822 RPM,1479 RPM,
2026-06-29 17:00:00,0.122 Mpa,0.124 Mpa,0.124 Mpa,0.123 Mpa,0.126 Mpa,0.126 Mpa,0.128 Mpa,0.132 Mpa,0.127 Mpa,0.127 Mpa,0.130 Mpa,0.124 Mpa,0.128 Mpa,0.134 Mpa,0.133 Mpa,0.140 Mpa,0.116 Mpa,0.115 Mpa,0.112 Mpa,0.111 Mpa,0.114 Mpa,0.114 Mpa,0.116 Mpa,0.122 Mpa,,,,,,,,,0.117 Mpa,0.118 Mpa,0.117 Mpa,0.115 Mpa,0.117 Mpa,0.116 Mpa,0.119 Mpa,0.124 Mpa,0.123 Mpa,1.02 Mpa,0.125 Mpa,0.121 Mpa,0.123 Mpa,0.126 Mpa,0.124 Mpa,0.130 Mpa,0.128 Mpa,0.130 Mpa,0.126 Mpa,0.130 Mpa,0.128 Mpa,0.133 Mpa,0.132 Mpa,0.138 Mpa,0.125 Mpa,0.124 Mpa,0.125 Mpa,0.124 Mpa,0.123 Mpa,0.127 Mpa,0.128 Mpa,0.133 Mpa,0.128 Mpa,0.127 Mpa,0.126 Mpa,0.127 Mpa,0.128 Mpa,0.133 Mpa,0.131 Mpa,0.136 Mpa,0.122 Mpa,0.122 Mpa,0.120 Mpa,0.117 Mpa,0.123 Mpa,0.118 Mpa,0.124 Mpa,0.130 Mpa,,,,,,,,,1669 RPM,1772 RPM,1455 RPM,,1573 RPM,1670 RPM,1771 RPM,1617 RPM,1761 RPM,1697 RPM,
2026-06-29 19:00:00,0.124 Mpa,0.127 Mpa,0.126 Mpa,0.126 Mpa,0.128 Mpa,0.128 Mpa,0.130 Mpa,0.134 Mpa,0.124 Mpa,0.124 Mpa,0.126 Mpa,0.120 Mpa,0.124 Mpa,0.129 Mpa,0.130 Mpa,0.135 Mpa,0.116 Mpa,0.117 Mpa,0.113 Mpa,0.112 Mpa,0.117 Mpa,0.117 Mpa,0.119 Mpa,0.124 Mpa,,,,,,,,,0.109 Mpa,0.109 Mpa,0.107 Mpa,0.106 Mpa,0.107 Mpa,0.106 Mpa,0.110 Mpa,0.113 Mpa,0.125 Mpa,1.02 Mpa,0.128 Mpa,0.123 Mpa,0.124 Mpa,0.128 Mpa,0.125 Mpa,0.132 Mpa,0.128 Mpa,0.129 Mpa,0.126 Mpa,0.129 Mpa,0.129 Mpa,0.133 Mpa,0.132 Mpa,0.138 Mpa,0.128 Mpa,0.128 Mpa,0.130 Mpa,0.128 Mpa,0.126 Mpa,0.131 Mpa,0.131 Mpa,0.138 Mpa,0.130 Mpa,0.130 Mpa,0.130 Mpa,0.130 Mpa,0.131 Mpa,0.136 Mpa,0.134 Mpa,0.139 Mpa,0.122 Mpa,0.122 Mpa,0.119 Mpa,0.116 Mpa,0.122 Mpa,0.117 Mpa,0.124 Mpa,0.129 Mpa,,,,,,,,,1812 RPM,1656 RPM,1651 RPM,,1234 RPM,1870 RPM,1815 RPM,1769 RPM,1824 RPM,1606 RPM,
2026-06-29 21:00:00,0.125 Mpa,0.128 Mpa,0.128 Mpa,0.127 Mpa,0.129 Mpa,0.130 Mpa,0.132 Mpa,0.136 Mpa,0.109 Mpa,0.109 Mpa,0.107 Mpa,0.103 Mpa,0.108 Mpa,0.112 Mpa,0.113 Mpa,0.116 Mpa,0.124 Mpa,0.124 Mpa,0.122 Mpa,0.121 Mpa,0.126 Mpa,0.127 Mpa,0.128 Mpa,0.134 Mpa,0.105 Mpa,0.102 Mpa,0.101 Mpa,0.0975 Mpa,0.102 Mpa,0.103 Mpa,0.108 Mpa,0.106 Mpa,0.0985 Mpa,0.0988 Mpa,0.0945 Mpa,0.0941 Mpa,0.0955 Mpa,0.0940 Mpa,0.0985 Mpa,0.101 Mpa,0.125 Mpa,1.02 Mpa,0.127 Mpa,0.124 Mpa,0.124 Mpa,0.127 Mpa,0.124 Mpa,0.130 Mpa,0.127 Mpa,0.129 Mpa,0.125 Mpa,0.129 Mpa,0.129 Mpa,0.132 Mpa,0.132 Mpa,0.137 Mpa,0.131 Mpa,0.130 Mpa,0.133 Mpa,0.131 Mpa,0.128 Mpa,0.134 Mpa,0.134 Mpa,0.141 Mpa,0.127 Mpa,0.126 Mpa,0.125 Mpa,0.126 Mpa,0.128 Mpa,0.132 Mpa,0.131 Mpa,0.135 Mpa,0.126 Mpa,0.126 Mpa,0.125 Mpa,0.122 Mpa,0.128 Mpa,0.124 Mpa,0.130 Mpa,0.137 Mpa,,,,,,,,,1871 RPM,1322 RPM,1775 RPM,1033 RPM,805 RPM,1846 RPM,1771 RPM,1831 RPM,1807 RPM,1834 RPM,
2026-06-29 23:00:00,0.126 Mpa,0.127 Mpa,0.128 Mpa,0.127 Mpa,0.129 Mpa,0.131 Mpa,0.132 Mpa,0.136 Mpa,0.116 Mpa,0.116 Mpa,0.119 Mpa,0.113 Mpa,0.118 Mpa,0.122 Mpa,0.123 Mpa,0.129 Mpa,0.126 Mpa,0.126 Mpa,0.125 Mpa,0.123 Mpa,0.127 Mpa,0.129 Mpa,0.129 Mpa,0.137 Mpa,,,,,,,,,0.122 Mpa,0.123 Mpa,0.122 Mpa,0.120 Mpa,0.121 Mpa,0.120 Mpa,0.123 Mpa,0.128 Mpa,0.120 Mpa,1.00 Mpa,0.121 Mpa,0.118 Mpa,0.119 Mpa,0.121 Mpa,0.119 Mpa,0.125 Mpa,0.126 Mpa,0.127 Mpa,0.123 Mpa,0.126 Mpa,0.126 Mpa,0.129 Mpa,0.129 Mpa,0.134 Mpa,0.125 Mpa,0.124 Mpa,0.124 Mpa,0.123 Mpa,0.122 Mpa,0.127 Mpa,0.127 Mpa,0.133 Mpa,0.125 Mpa,0.124 Mpa,0.123 Mpa,0.123 Mpa,0.126 Mpa,0.130 Mpa,0.129 Mpa,0.133 Mpa,0.123 Mpa,0.123 Mpa,0.121 Mpa,0.119 Mpa,0.125 Mpa,0.120 Mpa,0.126 Mpa,0.132 Mpa,,,,,,,,,1787 RPM,1813 RPM,1784 RPM,,1224 RPM,1720 RPM,1602 RPM,1524 RPM,1807 RPM,1655 RPM,
2026-06-30 01:00:00,0.119 Mpa,0.122 Mpa,0.120 Mpa,0.120 Mpa,0.123 Mpa,0.123 Mpa,0.125 Mpa,0.128 Mpa,0.116 Mpa,0.116 Mpa,0.118 Mpa,0.112 Mpa,0.117 Mpa,0.122 Mpa,0.122 Mpa,0.129 Mpa,0.124 Mpa,0.124 Mpa,0.122 Mpa,0.121 Mpa,0.125 Mpa,0.126 Mpa,0.127 Mpa,0.134 Mpa,0.109 Mpa,0.107 Mpa,0.106 Mpa,0.103 Mpa,0.106 Mpa,0.108 Mpa,0.112 Mpa,0.111 Mpa,0.134 Mpa,0.136 Mpa,0.136 Mpa,0.135 Mpa,0.133 Mpa,0.136 Mpa,0.137 Mpa,0.143 Mpa,0.126 Mpa,0.986 Mpa,0.128 Mpa,0.124 Mpa,0.127 Mpa,0.129 Mpa,0.126 Mpa,0.133 Mpa,0.112 Mpa,0.111 Mpa,0.108 Mpa,0.109 Mpa,0.110 Mpa,0.112 Mpa,0.112 Mpa,0.116 Mpa,0.130 Mpa,0.130 Mpa,0.132 Mpa,0.131 Mpa,0.128 Mpa,0.133 Mpa,0.133 Mpa,0.140 Mpa,0.122 Mpa,0.121 Mpa,0.120 Mpa,0.120 Mpa,0.123 Mpa,0.127 Mpa,0.126 Mpa,0.130 Mpa,0.124 Mpa,0.124 Mpa,0.122 Mpa,0.119 Mpa,0.126 Mpa,0.120 Mpa,0.127 Mpa,0.132 Mpa,,,,,,,,,1748 RPM,1781 RPM,1817 RPM,900 RPM,1772 RPM,1827 RPM,1382 RPM,1819 RPM,1724 RPM,1667 RPM,
