"Time","B_1 - I38","B_2 - I38","B_3 - I38","B_4 - I38","Center - I38","B_1 - I39","B_2 - I39","B_3 - I39","B_4 - I39","Center - I39","B_1 - I40","B_2 - I40","B_3 - I40","B_4 - I40","Center - I40","B_1 - I41","B_2 - I41","B_3 - I41","B_4 - I41","Center - I41","B_1 - I42","B_2 - I42","B_3 - I42","B_4 - I42","Center - I42","B_1 - I43","B_2 - I43","B_3 - I43","B_4 - I43","Center - I43","B_1 - I44","B_2 - I44","B_3 - I44","B_4 - I44","Center - I44","B_1 - I46","B_2 - I46","B_3 - I46","B_4 - I46","Center - I46","B_1 - I47","B_2 - I47","B_3 - I47","B_4 - I47","Center - I47","B_1 - I48","B_2 - I48","B_3 - I48","B_4 - I48","Center - I48","RPM "
2026-06-30 03:00:00,0.0465 Mpa,0.0382 Mpa,0.0532 Mpa,0.0591 Mpa,0 Mpa,,,,,,0.0309 Mpa,0.0268 Mpa,0.0370 Mpa,0.0229 Mpa,0 Mpa,0.0688 Mpa,0.0540 Mpa,0.0558 Mpa,0.0689 Mpa,0 Mpa,0.000828 Mpa,0.0232 Mpa,0.0166 Mpa,0.00248 Mpa,0 Mpa,0.00895 Mpa,0.0105 Mpa,0.00508 Mpa,0.00554 Mpa,0 Mpa,0.0272 Mpa,0.00399 Mpa,0.00293 Mpa,0.0271 Mpa,0.0246 Mpa,,,,,,0.00521 Mpa,0.0103 Mpa,0.0344 Mpa,0.0278 Mpa,0 Mpa,,,,,,1666 RPM
2026-06-30 05:00:00,0.0418 Mpa,0.0348 Mpa,0.0447 Mpa,0.0554 Mpa,0.00681 Mpa,,,,,,0.0291 Mpa,0.0249 Mpa,0.0323 Mpa,0.0187 Mpa,0 Mpa,0.0541 Mpa,0.0389 Mpa,0.0395 Mpa,0.0556 Mpa,0 Mpa,0.00415 Mpa,0.0272 Mpa,0.0235 Mpa,0.00554 Mpa,0 Mpa,0.00624 Mpa,0.00788 Mpa,0.00307 Mpa,0.00375 Mpa,0 Mpa,0.0305 Mpa,0.0169 Mpa,0.00496 Mpa,0.0344 Mpa,0 Mpa,,,,,,0.00332 Mpa,0.00858 Mpa,0.0289 Mpa,0.0244 Mpa,0 Mpa,,,,,,1571 RPM
2026-06-30 07:00:00,0.0439 Mpa,0.0328 Mpa,0.0471 Mpa,0.0539 Mpa,0 Mpa,,,,,,0.0304 Mpa,0.0256 Mpa,0.0354 Mpa,0.0198 Mpa,0 Mpa,0.0532 Mpa,0.0380 Mpa,0.0413 Mpa,0.0539 Mpa,0 Mpa,0.00676 Mpa,0.0425 Mpa,0.0256 Mpa,0.0219 Mpa,0 Mpa,0.00713 Mpa,0.00648 Mpa,0.00468 Mpa,0.00477 Mpa,0 Mpa,0.0293 Mpa,0.00896 Mpa,0.00470 Mpa,0.0312 Mpa,0 Mpa,,,,,,0.00392 Mpa,0.00997 Mpa,0.0302 Mpa,0.0236 Mpa,0 Mpa,,,,,,1615 RPM
2026-06-30 09:00:00,0.0315 Mpa,0.0185 Mpa,0.0329 Mpa,0.0383 Mpa,0 Mpa,,,,,,0.0295 Mpa,0.0268 Mpa,0.0444 Mpa,0.0241 Mpa,0.0528 Mpa,0.0777 Mpa,0.0626 Mpa,0.0629 Mpa,0.0718 Mpa,0.0132 Mpa,0.00397 Mpa,0.0284 Mpa,0.0250 Mpa,0.0118 Mpa,0 Mpa,0.00681 Mpa,0.00635 Mpa,0.00429 Mpa,0.00427 Mpa,0 Mpa,0.0238 Mpa,0.00813 Mpa,0.00343 Mpa,0.0284 Mpa,0 Mpa,,,,,,0.00258 Mpa,0.00657 Mpa,0.0235 Mpa,0.0191 Mpa,0 Mpa,,,,,,1562 RPM
2026-06-30 11:00:00,0.0537 Mpa,0.0400 Mpa,0.0552 Mpa,0.0620 Mpa,0 Mpa,,,,,,0.0333 Mpa,0.0287 Mpa,0.0453 Mpa,0.0213 Mpa,0 Mpa,0.0709 Mpa,0.0568 Mpa,0.0573 Mpa,0.0731 Mpa,0 Mpa,0.00441 Mpa,0.0215 Mpa,0.0147 Mpa,0.00589 Mpa,0 Mpa,0.00549 Mpa,0.00390 Mpa,0.00369 Mpa,0.00300 Mpa,0.0157 Mpa,0.0254 Mpa,0.00710 Mpa,0.00454 Mpa,0.0290 Mpa,0.0162 Mpa,,,,,,0.00334 Mpa,0.00745 Mpa,0.0306 Mpa,0.0251 Mpa,0.0167 Mpa,,,,,,1596 RPM
2026-06-30 13:00:00,0.0415 Mpa,0.0295 Mpa,0.0426 Mpa,0.0506 Mpa,0 Mpa,,,,,,0.0230 Mpa,0.0158 Mpa,0.0307 Mpa,0.00703 Mpa,0 Mpa,0.0597 Mpa,0.0446 Mpa,0.0478 Mpa,0.0591 Mpa,0 Mpa,0.00254 Mpa,0.0133 Mpa,0.00829 Mpa,0.00254 Mpa,0.0392 Mpa,0.00615 Mpa,0.00604 Mpa,0.00378 Mpa,0.00361 Mpa,0 Mpa,0.0240 Mpa,0 Mpa,0 Mpa,0.0240 Mpa,0.119 Mpa,,,,,,0.00393 Mpa,0.00788 Mpa,0.0252 Mpa,0.0200 Mpa,0 Mpa,,,,,,1691 RPM
2026-06-30 15:00:00,0.0454 Mpa,0.0343 Mpa,0.0485 Mpa,0.0556 Mpa,0 Mpa,,,,,,0.0268 Mpa,0.0176 Mpa,0.0338 Mpa,0.00936 Mpa,0 Mpa,0.0610 Mpa,0.0451 Mpa,0.0435 Mpa,0.0475 Mpa,0 Mpa,0.00723 Mpa,0.0199 Mpa,0.0146 Mpa,0.00461 Mpa,0 Mpa,0.00453 Mpa,0.00358 Mpa,0.00340 Mpa,0.00350 Mpa,0 Mpa,0.0269 Mpa,0.00727 Mpa,0.00366 Mpa,0.0285 Mpa,0 Mpa,,,,,,0.00269 Mpa,0.00530 Mpa,0.0209 Mpa,0.0171 Mpa,0 Mpa,,,,,,1702 RPM
2026-06-30 17:00:00,0.0434 Mpa,0.0334 Mpa,0.0490 Mpa,0.0544 Mpa,0.00946 Mpa,,,,,,0.0331 Mpa,0.0265 Mpa,0.0394 Mpa,0.0149 Mpa,0 Mpa,0.0626 Mpa,0.0498 Mpa,0.0502 Mpa,0.0584 Mpa,0 Mpa,0.00540 Mpa,0.0202 Mpa,0.0119 Mpa,0.00409 Mpa,0 Mpa,0.00473 Mpa,0.00531 Mpa,0.00279 Mpa,0.00285 Mpa,0 Mpa,0.0242 Mpa,0.00537 Mpa,0.00345 Mpa,0.0275 Mpa,0 Mpa,,,,,,0.00248 Mpa,0.00537 Mpa,0.0267 Mpa,0.0228 Mpa,0 Mpa,,,,,,1634 RPM
2026-06-30 19:00:00,0.0611 Mpa,0.0473 Mpa,0.0617 Mpa,0.0689 Mpa,0 Mpa,,,,,,0.0350 Mpa,0.0304 Mpa,0.0457 Mpa,0.0237 Mpa,0 Mpa,0.0612 Mpa,0.0486 Mpa,0.0499 Mpa,0.0622 Mpa,0 Mpa,0.00695 Mpa,0.0226 Mpa,0.0142 Mpa,0.00476 Mpa,0 Mpa,0.00388 Mpa,0.00489 Mpa,0.00232 Mpa,0.00313 Mpa,0 Mpa,0.0225 Mpa,0.00522 Mpa,0.00234 Mpa,0.0270 Mpa,0 Mpa,,,,,,0.00272 Mpa,0.00617 Mpa,0.0285 Mpa,0.0231 Mpa,0 Mpa,,,,,,1740 RPM
2026-06-30 21:00:00,0.0607 Mpa,0.0464 Mpa,0.0600 Mpa,0.0680 Mpa,0 Mpa,,,,,,0.0343 Mpa,0.0295 Mpa,0.0448 Mpa,0.0239 Mpa,0 Mpa,0.0620 Mpa,0.0497 Mpa,0.0499 Mpa,0.0577 Mpa,0 Mpa,0.00817 Mpa,0.0232 Mpa,0.0131 Mpa,0.00650 Mpa,0 Mpa,0.00636 Mpa,0.00698 Mpa,0.00324 Mpa,0.00342 Mpa,0 Mpa,0.0200 Mpa,0.00127 Mpa,0.000952 Mpa,0.0224 Mpa,0 Mpa,,,,,,0.00122 Mpa,0.00190 Mpa,0.0302 Mpa,0.0250 Mpa,0 Mpa,,,,,,1596 RPM
2026-06-30 23:00:00,0.0562 Mpa,0.0433 Mpa,0.0561 Mpa,0.0657 Mpa,0 Mpa,,,,,,0.0343 Mpa,0.0312 Mpa,0.0474 Mpa,0.0258 Mpa,0 Mpa,0.0720 Mpa,0.0514 Mpa,0.0513 Mpa,0.0589 Mpa,0 Mpa,0.00513 Mpa,0.0184 Mpa,0.00975 Mpa,0.00418 Mpa,0 Mpa,0.00533 Mpa,0.00729 Mpa,0.00268 Mpa,0.00295 Mpa,0 Mpa,0.0267 Mpa,0.00511 Mpa,0.00299 Mpa,0.0281 Mpa,0 Mpa,,,,,,0.00373 Mpa,0.00714 Mpa,0.0414 Mpa,0.0305 Mpa,0.0143 Mpa,,,,,,1530 RPM
2026-07-01 01:00:00,0.0495 Mpa,0.0406 Mpa,0.0527 Mpa,0.0609 Mpa,0.00689 Mpa,,,,,,0.0318 Mpa,0.0286 Mpa,0.0424 Mpa,0.0192 Mpa,0 Mpa,0.0464 Mpa,0.0354 Mpa,0.0347 Mpa,0.0510 Mpa,0 Mpa,0.00491 Mpa,0.0262 Mpa,0.0202 Mpa,0.00436 Mpa,0 Mpa,0.00614 Mpa,0.00717 Mpa,0.00420 Mpa,0.00364 Mpa,0 Mpa,0.0257 Mpa,0.00697 Mpa,0.00350 Mpa,0.0290 Mpa,0 Mpa,,,,,,,,,,,,,,,,1683 RPM
2026-07-01 03:00:00,0.0687 Mpa,0.0588 Mpa,0.0694 Mpa,0.0772 Mpa,0 Mpa,,,,,,0.0310 Mpa,0.0252 Mpa,0.0404 Mpa,0.0160 Mpa,0 Mpa,0.0939 Mpa,0.0796 Mpa,0.0802 Mpa,0.0962 Mpa,0 Mpa,0.00655 Mpa,0.0267 Mpa,0.0207 Mpa,0.00818 Mpa,0 Mpa,0.00420 Mpa,0.00414 Mpa,0.00194 Mpa,0.00194 Mpa,0 Mpa,0.0248 Mpa,0.00662 Mpa,0.00310 Mpa,0.0284 Mpa,0 Mpa,,,,,,,,,,,,,,,,1705 RPM
2026-07-01 05:00:00,0.0496 Mpa,0.0397 Mpa,0.0521 Mpa,0.0572 Mpa,0.00710 Mpa,,,,,,0.0287 Mpa,0.0253 Mpa,0.0359 Mpa,0.0183 Mpa,0 Mpa,0.0733 Mpa,0.0642 Mpa,0.0640 Mpa,0.0796 Mpa,0 Mpa,0.00624 Mpa,0.0302 Mpa,0.0154 Mpa,0.00528 Mpa,0 Mpa,0.00511 Mpa,0.00613 Mpa,0.00271 Mpa,0.00281 Mpa,0 Mpa,0.0256 Mpa,0.00526 Mpa,0.00285 Mpa,0.0273 Mpa,0 Mpa,,,,,,,,,,,,,,,,1546 RPM
2026-07-01 07:00:00,0.0625 Mpa,0.0524 Mpa,0.0644 Mpa,0.0712 Mpa,0 Mpa,,,,,,0.0294 Mpa,0.0256 Mpa,0.0358 Mpa,0.0140 Mpa,0.0104 Mpa,0.0674 Mpa,0.0557 Mpa,0.0556 Mpa,0.0736 Mpa,0 Mpa,0.00910 Mpa,0.0309 Mpa,0.0245 Mpa,0.00610 Mpa,0.0431 Mpa,0.00644 Mpa,0.00684 Mpa,0.00432 Mpa,0.00371 Mpa,0 Mpa,0.0260 Mpa,0.00460 Mpa,0.00291 Mpa,0.0269 Mpa,0 Mpa,,,,,,,,,,,,,,,,1610 RPM
2026-07-01 09:00:00,0.0581 Mpa,0.0470 Mpa,0.0593 Mpa,0.0657 Mpa,0 Mpa,,,,,,0.0315 Mpa,0.0280 Mpa,0.0414 Mpa,0.0225 Mpa,0 Mpa,0.0757 Mpa,0.0644 Mpa,0.0634 Mpa,0.0789 Mpa,0 Mpa,0.0184 Mpa,0.0408 Mpa,0.0247 Mpa,0.0101 Mpa,0.0207 Mpa,0.00699 Mpa,0.00479 Mpa,0.00474 Mpa,0.00290 Mpa,0 Mpa,0.0210 Mpa,0.00802 Mpa,0.00511 Mpa,0.0253 Mpa,0 Mpa,,,,,,,,,,,,,,,,1685 RPM
2026-07-01 11:00:00,0.0607 Mpa,0.0501 Mpa,0.0628 Mpa,0.0735 Mpa,0 Mpa,,,,,,0.0310 Mpa,0.0254 Mpa,0.0372 Mpa,0.0144 Mpa,0 Mpa,0.0796 Mpa,0.0675 Mpa,0.0684 Mpa,0.0843 Mpa,0 Mpa,0.00525 Mpa,0.0123 Mpa,0.00900 Mpa,0.00330 Mpa,0 Mpa,0.00566 Mpa,0.00474 Mpa,0.00400 Mpa,0.00394 Mpa,0 Mpa,0.0227 Mpa,0.00886 Mpa,0.00552 Mpa,0.0286 Mpa,0 Mpa,,,,,,0.00517 Mpa,0.0115 Mpa,0.0365 Mpa,0.0368 Mpa,0.0789 Mpa,,,,,,1703 RPM
2026-07-01 13:00:00,0.0300 Mpa,0.0211 Mpa,0.0317 Mpa,0.0432 Mpa,0 Mpa,,,,,,0.0335 Mpa,0.0294 Mpa,0.0438 Mpa,0.0228 Mpa,0.0118 Mpa,0.0774 Mpa,0.0665 Mpa,0.0682 Mpa,0.0807 Mpa,0.0126 Mpa,0.00279 Mpa,0.00900 Mpa,0.00828 Mpa,0.00238 Mpa,0 Mpa,0.00380 Mpa,0.00409 Mpa,0.00236 Mpa,0.00207 Mpa,0.0195 Mpa,0.0243 Mpa,0.00922 Mpa,0.00457 Mpa,0.0281 Mpa,0 Mpa,,,,,,,,,,,,,,,,1585 RPM
2026-07-01 15:00:00,0.0434 Mpa,0.0347 Mpa,0.0463 Mpa,0.0539 Mpa,0 Mpa,,,,,,0.0328 Mpa,0.0231 Mpa,0.0386 Mpa,0.0136 Mpa,0 Mpa,0.0718 Mpa,0.0716 Mpa,0.0717 Mpa,0.0719 Mpa,0.0144 Mpa,0.00442 Mpa,0.00931 Mpa,0.00715 Mpa,0.00221 Mpa,0 Mpa,0.00557 Mpa,0.00477 Mpa,0.00305 Mpa,0.00247 Mpa,0 Mpa,0.0247 Mpa,0.00997 Mpa,0.00464 Mpa,0.0283 Mpa,0 Mpa,,,,,,,,,,,,,,,,1458 RPM
2026-07-01 17:00:00,0.0564 Mpa,0.0444 Mpa,0.0582 Mpa,0.0636 Mpa,0.00827 Mpa,,,,,,0.0335 Mpa,0.0269 Mpa,0.0395 Mpa,0.0157 Mpa,0 Mpa,0.0764 Mpa,0.0659 Mpa,0.0683 Mpa,0.0781 Mpa,0 Mpa,0.00489 Mpa,0.0168 Mpa,0.0118 Mpa,0.00391 Mpa,0 Mpa,0.00442 Mpa,0.00423 Mpa,0.00272 Mpa,0.00232 Mpa,0 Mpa,0.0221 Mpa,0.00591 Mpa,0.00178 Mpa,0.0254 Mpa,0 Mpa,,,,,,,,,,,,,,,,1609 RPM
2026-07-01 19:00:00,0.0480 Mpa,0.0362 Mpa,0.0500 Mpa,0.0574 Mpa,0 Mpa,,,,,,0.0349 Mpa,0.0283 Mpa,0.0426 Mpa,0.0185 Mpa,0 Mpa,0.0834 Mpa,0.0706 Mpa,0.0738 Mpa,0.0875 Mpa,0 Mpa,0.00629 Mpa,0.0269 Mpa,0.0190 Mpa,0.00561 Mpa,0 Mpa,0.00458 Mpa,0.00333 Mpa,0.00313 Mpa,0.00202 Mpa,0 Mpa,0.0228 Mpa,0.00841 Mpa,0.00284 Mpa,0.0247 Mpa,0 Mpa,,,,,,0.0187 Mpa,0.0222 Mpa,0.0427 Mpa,0.0409 Mpa,0.286 Mpa,,,,,,1704 RPM
2026-07-01 21:00:00,0.0356 Mpa,0.0222 Mpa,0.0376 Mpa,0.0433 Mpa,0 Mpa,,,,,,0.0408 Mpa,0.0344 Mpa,0.0488 Mpa,0.0248 Mpa,0 Mpa,0.0876 Mpa,0.0750 Mpa,0.0774 Mpa,0.0922 Mpa,0 Mpa,0.00923 Mpa,0.0237 Mpa,0.0162 Mpa,0.00644 Mpa,0 Mpa,0.00452 Mpa,0.00392 Mpa,0.00267 Mpa,0.00213 Mpa,0 Mpa,0.0252 Mpa,0.00637 Mpa,0.00255 Mpa,0.0258 Mpa,0 Mpa,,,,,,,,,,,,,,,,1653 RPM
2026-07-01 23:00:00,0.0303 Mpa,0.0164 Mpa,0.0316 Mpa,0.0374 Mpa,0 Mpa,,,,,,0.0370 Mpa,0.0321 Mpa,0.0479 Mpa,0.0258 Mpa,0 Mpa,0.0822 Mpa,0.0652 Mpa,0.0696 Mpa,0.0820 Mpa,0 Mpa,0.00892 Mpa,0.0278 Mpa,0.0159 Mpa,0.00694 Mpa,0 Mpa,0.00521 Mpa,0.00486 Mpa,0.00254 Mpa,0.00260 Mpa,0 Mpa,0.0256 Mpa,0.0187 Mpa,0.00407 Mpa,0.0267 Mpa,0 Mpa,,,,,,,,,,,,,,,,1712 RPM
2026-07-02 01:00:00,0.0270 Mpa,0.0173 Mpa,0.0308 Mpa,0.0367 Mpa,0.0302 Mpa,,,,,,0.0377 Mpa,0.0321 Mpa,0.0457 Mpa,0.0233 Mpa,0 Mpa,0.0807 Mpa,0.0654 Mpa,0.0686 Mpa,0.0812 Mpa,0 Mpa,0.00909 Mpa,0.0276 Mpa,0.0206 Mpa,0.00641 Mpa,0 Mpa,0.00495 Mpa,0.00491 Mpa,0.00253 Mpa,0.00253 Mpa,0 Mpa,0.0207 Mpa,0.0252 Mpa,0.00363 Mpa,0.0231 Mpa,0 Mpa,,,,,,,,,,,,,,,,1706 RPM
2026-07-02 03:00:00,0.0374 Mpa,0.0298 Mpa,0.0421 Mpa,0.0447 Mpa,0 Mpa,,,,,,0.0381 Mpa,0.0328 Mpa,0.0492 Mpa,0.0275 Mpa,0 Mpa,0.0750 Mpa,0.0585 Mpa,0.0629 Mpa,0.0781 Mpa,0 Mpa,0.0150 Mpa,0.0340 Mpa,0.0264 Mpa,0.00956 Mpa,0.0265 Mpa,0.00562 Mpa,0.00657 Mpa,0.00245 Mpa,0.00304 Mpa,0 Mpa,0.0214 Mpa,0.0293 Mpa,0.00297 Mpa,0.0242 Mpa,0 Mpa,,,,,,,,,,,,,,,,1629 RPM
2026-07-02 05:00:00,0.0494 Mpa,0.0408 Mpa,0.0539 Mpa,0.0592 Mpa,0.00951 Mpa,,,,,,0.0379 Mpa,0.0338 Mpa,0.0499 Mpa,0.0275 Mpa,0 Mpa,0.0718 Mpa,0.0527 Mpa,0.0576 Mpa,0.0745 Mpa,0 Mpa,0.00786 Mpa,0.0288 Mpa,0.0259 Mpa,0.00614 Mpa,0 Mpa,0.00600 Mpa,0.00727 Mpa,0.00282 Mpa,0.00328 Mpa,0 Mpa,0.0223 Mpa,0.0363 Mpa,0.00214 Mpa,0.0243 Mpa,0 Mpa,,,,,,,,,,,,,,,,1526 RPM
2026-07-02 07:00:00,0.0385 Mpa,0.0284 Mpa,0.0441 Mpa,0.0498 Mpa,0 Mpa,,,,,,0.0450 Mpa,0.0389 Mpa,0.0542 Mpa,0.0292 Mpa,0 Mpa,0.0705 Mpa,0.0552 Mpa,0.0578 Mpa,0.0746 Mpa,0 Mpa,0.0126 Mpa,0.0336 Mpa,0.0250 Mpa,0.0108 Mpa,0 Mpa,0.00479 Mpa,0.00518 Mpa,0.00222 Mpa,0.00228 Mpa,0 Mpa,0.0220 Mpa,0.0161 Mpa,0.00249 Mpa,0.0249 Mpa,0 Mpa,,,,,,,,,,,,,,,,1609 RPM
2026-07-02 09:00:00,0.0362 Mpa,0.0244 Mpa,0.0385 Mpa,0.0449 Mpa,0 Mpa,,,,,,0.0449 Mpa,0.0374 Mpa,0.0503 Mpa,0.0271 Mpa,0.0237 Mpa,0.0669 Mpa,0.0536 Mpa,0.0571 Mpa,0.0721 Mpa,0 Mpa,0.00814 Mpa,0.0298 Mpa,0.0232 Mpa,0.00898 Mpa,0 Mpa,0.00471 Mpa,0.00527 Mpa,0.00222 Mpa,0.00242 Mpa,0 Mpa,0.0269 Mpa,0.0149 Mpa,0.00350 Mpa,0.0283 Mpa,0 Mpa,,,,,,,,,,,,,,,,1534 RPM
2026-07-02 11:00:00,0.0447 Mpa,0.0343 Mpa,0.0494 Mpa,0.0560 Mpa,0 Mpa,,,,,,0.0445 Mpa,0.0380 Mpa,0.0490 Mpa,0.0287 Mpa,0 Mpa,0.0716 Mpa,0.0554 Mpa,0.0583 Mpa,0.0770 Mpa,0 Mpa,0.00321 Mpa,0.0231 Mpa,0.0186 Mpa,0.00275 Mpa,0 Mpa,0.00692 Mpa,0.00600 Mpa,0.00265 Mpa,0.00283 Mpa,0.00956 Mpa,0.0270 Mpa,0.0139 Mpa,0.00528 Mpa,0.0291 Mpa,0 Mpa,,,,,,,,,,,,,,,,1566 RPM
2026-07-02 13:00:00,0.0345 Mpa,0.0255 Mpa,0.0378 Mpa,0.0423 Mpa,0 Mpa,,,,,,0.0404 Mpa,0.0341 Mpa,0.0467 Mpa,0.0271 Mpa,0 Mpa,0.0718 Mpa,0.0545 Mpa,0.0576 Mpa,0.0742 Mpa,0 Mpa,0.00701 Mpa,0.0369 Mpa,0.0250 Mpa,0.0142 Mpa,0 Mpa,0.00363 Mpa,0.00439 Mpa,0.00171 Mpa,0.00195 Mpa,0 Mpa,0.0269 Mpa,0.0189 Mpa,0.00352 Mpa,0.0291 Mpa,0.0126 Mpa,,,,,,,,,,,,,,,,1592 RPM
2026-07-02 15:00:00,0.0148 Mpa,0.00743 Mpa,0.0193 Mpa,0.0245 Mpa,0 Mpa,,,,,,0.0450 Mpa,0.0355 Mpa,0.0494 Mpa,0.0301 Mpa,0.0196 Mpa,0.0695 Mpa,0.0618 Mpa,0.0635 Mpa,0.0821 Mpa,0 Mpa,0.00376 Mpa,0.0283 Mpa,0.0255 Mpa,0.00529 Mpa,0.00891 Mpa,0.00202 Mpa,0.00234 Mpa,0.00151 Mpa,0.00188 Mpa,0 Mpa,0.0241 Mpa,0.0117 Mpa,0.00261 Mpa,0.0269 Mpa,0.0161 Mpa,,,,,,,,,,,,,,,,1359 RPM
2026-07-02 17:00:00,0.0162 Mpa,0.00982 Mpa,0.0183 Mpa,0.0263 Mpa,0.00903 Mpa,,,,,,0.0374 Mpa,0.0298 Mpa,0.0407 Mpa,0.0225 Mpa,0 Mpa,0.0797 Mpa,0.0610 Mpa,0.0671 Mpa,0.0803 Mpa,0 Mpa,0.00329 Mpa,0.0273 Mpa,0.0212 Mpa,0.00456 Mpa,0 Mpa,0.00507 Mpa,0.00640 Mpa,0.00360 Mpa,0.00431 Mpa,0 Mpa,0.0209 Mpa,0.0215 Mpa,0.00276 Mpa,0.0260 Mpa,0 Mpa,,,,,,,,,,,,,,,,1550 RPM
2026-07-02 19:00:00,0.0364 Mpa,0.0250 Mpa,0.0378 Mpa,0.0455 Mpa,0 Mpa,,,,,,0.0325 Mpa,0.0292 Mpa,0.0367 Mpa,0.0259 Mpa,0 Mpa,0.0833 Mpa,0.0657 Mpa,0.0729 Mpa,0.0849 Mpa,0 Mpa,0.00983 Mpa,0.0309 Mpa,0.0261 Mpa,0.00651 Mpa,0 Mpa,0.00612 Mpa,0.00698 Mpa,0.00430 Mpa,0.00480 Mpa,0 Mpa,0.0192 Mpa,0.0378 Mpa,0.00396 Mpa,0.0272 Mpa,0 Mpa,,,,,,,,,,,,,,,,1578 RPM
2026-07-02 21:00:00,0.0400 Mpa,0.0312 Mpa,0.0420 Mpa,0.0517 Mpa,0 Mpa,,,,,,0.0358 Mpa,0.0314 Mpa,0.0428 Mpa,0.0275 Mpa,0 Mpa,0.0715 Mpa,0.0715 Mpa,0.0715 Mpa,0.0899 Mpa,0.0585 Mpa,0.00542 Mpa,0.0249 Mpa,0.0143 Mpa,0.00432 Mpa,0 Mpa,0.00504 Mpa,0.00612 Mpa,0.00296 Mpa,0.00373 Mpa,0 Mpa,0.0228 Mpa,0.0430 Mpa,0.00393 Mpa,0.0288 Mpa,0 Mpa,,,,,,,,,,,,,,,,1555 RPM
2026-07-02 23:00:00,0.0368 Mpa,0.0254 Mpa,0.0398 Mpa,0.0453 Mpa,0 Mpa,,,,,,0.0366 Mpa,0.0322 Mpa,0.0457 Mpa,0.0292 Mpa,0 Mpa,,,,,,0.00543 Mpa,0.0215 Mpa,0.0106 Mpa,0.00433 Mpa,0 Mpa,0.00619 Mpa,0.00693 Mpa,0.00387 Mpa,0.00434 Mpa,0 Mpa,0.0219 Mpa,0.0409 Mpa,0.00411 Mpa,0.0276 Mpa,0 Mpa,,,,,,,,,,,,,,,,1619 RPM
2026-07-03 01:00:00,0.0331 Mpa,0.0282 Mpa,0.0410 Mpa,0.0462 Mpa,0.0137 Mpa,,,,,,0.0472 Mpa,0.0425 Mpa,0.0501 Mpa,0.0312 Mpa,0.0109 Mpa,,,,,,0.0171 Mpa,0.0345 Mpa,0.0287 Mpa,0.00961 Mpa,0 Mpa,0.00702 Mpa,0.00807 Mpa,0.00329 Mpa,0.00349 Mpa,0 Mpa,0.0221 Mpa,0.0688 Mpa,0.00285 Mpa,0.0278 Mpa,0 Mpa,,,,,,,,,,,,,,,,1385 RPM
2026-07-03 03:00:00,0.0682 Mpa,0.0610 Mpa,0.0734 Mpa,0.0802 Mpa,0 Mpa,,,,,,0.0377 Mpa,0.0323 Mpa,0.0457 Mpa,0.0271 Mpa,0 Mpa,0.0751 Mpa,0.0680 Mpa,0.0734 Mpa,0.0746 Mpa,0 Mpa,0.0121 Mpa,0.0304 Mpa,0.0243 Mpa,0.0121 Mpa,0 Mpa,0.0110 Mpa,0.0109 Mpa,0.00743 Mpa,0.00625 Mpa,0 Mpa,0.0214 Mpa,0.0368 Mpa,0.00318 Mpa,0.0280 Mpa,0 Mpa,,,,,,,,,,,,,,,,1585 RPM
2026-07-03 05:00:00,0.0754 Mpa,0.0661 Mpa,0.0789 Mpa,0.0859 Mpa,0.00898 Mpa,,,,,,0.0395 Mpa,0.0338 Mpa,0.0489 Mpa,0.0299 Mpa,0 Mpa,0.0783 Mpa,0.0593 Mpa,0.0719 Mpa,0.0827 Mpa,0 Mpa,0.0129 Mpa,0.0330 Mpa,0.0287 Mpa,0.0109 Mpa,0 Mpa,0.00424 Mpa,0.00638 Mpa,0.00206 Mpa,0.00210 Mpa,0 Mpa,0.0257 Mpa,0.0396 Mpa,0.00388 Mpa,0.0283 Mpa,0 Mpa,,,,,,,,,,,,,,,,1598 RPM
2026-07-03 07:00:00,0.0591 Mpa,0.0481 Mpa,0.0611 Mpa,0.0699 Mpa,0 Mpa,,,,,,0.0422 Mpa,0.0355 Mpa,0.0511 Mpa,0.0301 Mpa,0 Mpa,0.0882 Mpa,0.0695 Mpa,0.0792 Mpa,0.0903 Mpa,0 Mpa,0.0192 Mpa,0.0369 Mpa,0.0294 Mpa,0.0156 Mpa,0 Mpa,0.00446 Mpa,0.00518 Mpa,0.00239 Mpa,0.00239 Mpa,0 Mpa,0.0268 Mpa,0.0370 Mpa,0.00481 Mpa,0.0308 Mpa,0 Mpa,,,,,,,,,,,,,,,,1645 RPM
2026-07-03 09:00:00,0.0585 Mpa,0.0457 Mpa,0.0590 Mpa,0.0665 Mpa,0 Mpa,,,,,,0.0492 Mpa,0.0465 Mpa,0.0514 Mpa,0.0366 Mpa,0 Mpa,0.0767 Mpa,0.0569 Mpa,0.0623 Mpa,0.0791 Mpa,0 Mpa,0.0163 Mpa,0.0340 Mpa,0.0286 Mpa,0.0111 Mpa,0 Mpa,0.00412 Mpa,0.00401 Mpa,0.00217 Mpa,0.00178 Mpa,0 Mpa,0.0266 Mpa,0.0237 Mpa,0.00558 Mpa,0.0344 Mpa,0 Mpa,,,,,,,,,,,,,,,,1646 RPM
