"Time","B_1 - I38","B_2 - I38","B_3 - I38","B_4 - I38","Center - I38","B_1 - I39","B_2 - I39","B_3 - I39","B_4 - I39","Center - I39","B_1 - I40","B_2 - I40","B_3 - I40","B_4 - I40","Center - I40","B_1 - I41","B_2 - I41","B_3 - I41","B_4 - I41","Center - I41","B_1 - I42","B_2 - I42","B_3 - I42","B_4 - I42","Center - I42","B_1 - I43","B_2 - I43","B_3 - I43","B_4 - I43","Center - I43","B_1 - I44","B_2 - I44","B_3 - I44","B_4 - I44","Center - I44","B_1 - I46","B_2 - I46","B_3 - I46","B_4 - I46","Center - I46","B_1 - I47","B_2 - I47","B_3 - I47","B_4 - I47","Center - I47","B_1 - I48","B_2 - I48","B_3 - I48","B_4 - I48","Center - I48","RPM "
2026-08-21 21:00:00,0.00435 Mpa,0.00207 Mpa,0.0197 Mpa,0.00897 Mpa,0 Mpa,6.10 Mpa,0.000368 Mpa,0.000509 Mpa,6.10 Mpa,0 Mpa,0.0251 Mpa,0.0174 Mpa,0.0305 Mpa,0.0105 Mpa,0 Mpa,0.191 Mpa,0.199 Mpa,0.191 Mpa,0.209 Mpa,0 Mpa,0.0140 Mpa,0.0293 Mpa,0.0275 Mpa,0.0132 Mpa,0 Mpa,0.000835 Mpa,0.000980 Mpa,0.000672 Mpa,0.000454 Mpa,0 Mpa,0.0140 Mpa,0 Mpa,0 Mpa,0.0154 Mpa,0.179 Mpa,,,,,,,,,,,0.0306 Mpa,0.0303 Mpa,0.00145 Mpa,0.00208 Mpa,0 Mpa,1675 RPM
2026-08-21 23:00:00,0.00354 Mpa,0.00121 Mpa,0.0300 Mpa,0.00713 Mpa,0 Mpa,6.10 Mpa,0.000172 Mpa,0.000230 Mpa,6.10 Mpa,0.0167 Mpa,0.0218 Mpa,0.0130 Mpa,0.0300 Mpa,0.00850 Mpa,0 Mpa,0.178 Mpa,0.183 Mpa,0.178 Mpa,0.198 Mpa,0 Mpa,0.00854 Mpa,0.0171 Mpa,0.0169 Mpa,0.00756 Mpa,0 Mpa,0.00101 Mpa,0.000742 Mpa,0.000362 Mpa,0.000362 Mpa,0 Mpa,0.0226 Mpa,0.00109 Mpa,0.00119 Mpa,0.0220 Mpa,0.00433 Mpa,,,,,,,,,,,0.0309 Mpa,0.0303 Mpa,0.00174 Mpa,0.00127 Mpa,0 Mpa,1689 RPM
2026-08-22 01:00:00,0.00402 Mpa,0.00126 Mpa,0.0333 Mpa,0.00657 Mpa,0 Mpa,,,,,,0.0256 Mpa,0.0120 Mpa,0.0275 Mpa,0.00498 Mpa,0 Mpa,0.226 Mpa,0.231 Mpa,0.226 Mpa,0.246 Mpa,0 Mpa,0.00537 Mpa,0.0250 Mpa,0.0192 Mpa,0.00393 Mpa,0 Mpa,0.00119 Mpa,0.000914 Mpa,0.000447 Mpa,0.000389 Mpa,0 Mpa,0.00984 Mpa,0.000177 Mpa,0.000148 Mpa,0.0165 Mpa,0.0148 Mpa,,,,,,,,,,,0.0427 Mpa,0.0516 Mpa,0.00407 Mpa,0.00613 Mpa,0 Mpa,1473 RPM
2026-08-22 03:00:00,0.00455 Mpa,0.00196 Mpa,0.0360 Mpa,0.00812 Mpa,0 Mpa,6.10 Mpa,0 Mpa,0 Mpa,6.10 Mpa,0.375 Mpa,0.0249 Mpa,0.0170 Mpa,0.0309 Mpa,0.0116 Mpa,0 Mpa,0.217 Mpa,0.223 Mpa,0.218 Mpa,0.237 Mpa,0 Mpa,0.0239 Mpa,0.0480 Mpa,0.0353 Mpa,0.0239 Mpa,0 Mpa,0.00144 Mpa,0.00106 Mpa,0.000854 Mpa,0.000793 Mpa,0 Mpa,,,,,,,,,,,,,,,,0.0479 Mpa,0.0458 Mpa,0.00588 Mpa,0.0197 Mpa,0.0320 Mpa,1577 RPM
2026-08-22 05:00:00,0.00588 Mpa,0.00262 Mpa,0.0364 Mpa,0.0104 Mpa,0.00839 Mpa,6.10 Mpa,0.0000337 Mpa,0 Mpa,6.10 Mpa,0 Mpa,0.0245 Mpa,0.0142 Mpa,0.0299 Mpa,0.00972 Mpa,0 Mpa,0.224 Mpa,0.230 Mpa,0.226 Mpa,0.244 Mpa,0 Mpa,0.0198 Mpa,0.0408 Mpa,0.0395 Mpa,0.0188 Mpa,0 Mpa,0.000702 Mpa,0.000595 Mpa,0.000446 Mpa,0.000404 Mpa,0 Mpa,,,,,,,,,,,,,,,,0.0490 Mpa,0.0434 Mpa,0.00486 Mpa,0.0129 Mpa,0 Mpa,1509 RPM
2026-08-22 07:00:00,0.00497 Mpa,0.00229 Mpa,0.0348 Mpa,0.00795 Mpa,0 Mpa,6.10 Mpa,0 Mpa,0 Mpa,6.10 Mpa,0 Mpa,0.0193 Mpa,0.0127 Mpa,0.0274 Mpa,0.00968 Mpa,0 Mpa,0.222 Mpa,0.227 Mpa,0.223 Mpa,0.241 Mpa,0 Mpa,0.00787 Mpa,0.0176 Mpa,0.0163 Mpa,0.00616 Mpa,0 Mpa,0.00127 Mpa,0.000583 Mpa,0.000767 Mpa,0.000517 Mpa,0 Mpa,,,,,,,,,,,,,,,,0.0500 Mpa,0.0364 Mpa,0.00894 Mpa,0.0228 Mpa,0 Mpa,1618 RPM
2026-08-22 09:00:00,0.00711 Mpa,0.00385 Mpa,0.0284 Mpa,0.0142 Mpa,0.00745 Mpa,6.10 Mpa,0.000182 Mpa,0.000254 Mpa,6.10 Mpa,0 Mpa,0.0256 Mpa,0.0135 Mpa,0.0315 Mpa,0.0101 Mpa,0 Mpa,0.234 Mpa,0.240 Mpa,0.235 Mpa,0.254 Mpa,0 Mpa,0.0111 Mpa,0.0280 Mpa,0.0231 Mpa,0.0100 Mpa,0 Mpa,0.00188 Mpa,0.000775 Mpa,0.000775 Mpa,0.000891 Mpa,0 Mpa,,,,,,,,,,,,,,,,0.0406 Mpa,0.0417 Mpa,0.00432 Mpa,0.0136 Mpa,0 Mpa,1659 RPM
2026-08-22 11:00:00,0.00398 Mpa,0.00165 Mpa,0.0183 Mpa,0.00651 Mpa,0.0118 Mpa,6.10 Mpa,0.000400 Mpa,0.000647 Mpa,6.10 Mpa,0 Mpa,0.0223 Mpa,0.0163 Mpa,0.0306 Mpa,0.0111 Mpa,0.0724 Mpa,0.214 Mpa,0.218 Mpa,0.214 Mpa,0.233 Mpa,0 Mpa,0.0144 Mpa,0.0333 Mpa,0.0280 Mpa,0.0133 Mpa,0 Mpa,0.000939 Mpa,0.000765 Mpa,0.000609 Mpa,0.000643 Mpa,0 Mpa,,,,,,,,,,,,,,,,0.0427 Mpa,0.0434 Mpa,0.00525 Mpa,0.0114 Mpa,0.0131 Mpa,1665 RPM
2026-08-22 13:00:00,0.00375 Mpa,0.00123 Mpa,0.0160 Mpa,0.00545 Mpa,0 Mpa,6.10 Mpa,0.000263 Mpa,0.000385 Mpa,6.10 Mpa,0 Mpa,0.0275 Mpa,0.0166 Mpa,0.0333 Mpa,0.0105 Mpa,0.0202 Mpa,0.204 Mpa,0.209 Mpa,0.202 Mpa,0.226 Mpa,0 Mpa,0.0233 Mpa,0.0386 Mpa,0.0394 Mpa,0.0150 Mpa,0 Mpa,0.00147 Mpa,0.000836 Mpa,0.000811 Mpa,0.000836 Mpa,0.0210 Mpa,,,,,,,,,,,,,,,,0.0434 Mpa,0.0290 Mpa,0.00399 Mpa,0.00956 Mpa,0 Mpa,1444 RPM
2026-08-22 15:00:00,0.00311 Mpa,0.00126 Mpa,0.0194 Mpa,0.00490 Mpa,0 Mpa,6.10 Mpa,0 Mpa,0 Mpa,6.10 Mpa,0 Mpa,0.0240 Mpa,0.0148 Mpa,0.0320 Mpa,0.0117 Mpa,0 Mpa,0.208 Mpa,0.210 Mpa,0.207 Mpa,0.229 Mpa,0.0167 Mpa,0.0173 Mpa,0.0350 Mpa,0.0340 Mpa,0.0134 Mpa,0 Mpa,0.00142 Mpa,0.000689 Mpa,0.000749 Mpa,0.000689 Mpa,0 Mpa,,,,,,,,,,,,,,,,0.0394 Mpa,0.0273 Mpa,0.00429 Mpa,0.0108 Mpa,0 Mpa,1490 RPM
