sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I46 - BOYA","I47 - BOYA","I48 - BOYA"
2026-06-19 19:00:00,4.77,5.74,Full,LLeno,LLeno,LLeno,LLeno,,Full,
2026-06-19 21:00:00,4.98,5.02,Full,5.96,LLeno,LLeno,LLeno,,Full,
2026-06-19 23:00:00,6.09,Medio +,Full,1.51,5.81,5.57,5.46,,Full,
2026-06-20 01:00:00,6.01,5.13,Full,3.95,,Medio +,Medio +,,Full,
2026-06-20 03:00:00,LLeno,6.48,Full,3.58,,Medio +,Medio +,,Full,
2026-06-20 05:00:00,5.97,5.94,Full,Vacio,,Medio +,Medio +,,Full,
2026-06-20 07:00:00,LLeno,LLeno,Full,3.74,,Medio +,Medio +,,Full,
2026-06-20 09:00:00,5.94,LLeno,Full,Vacio,5.14,Medio +,Medio +,,Full,
2026-06-20 11:00:00,4.64,5.44,Full,3.77,6.58,4.49,4.96,,Full,
2026-06-20 13:00:00,4.38,Medio +,Full,,,6.13,Medio +,,Full,
2026-06-20 15:00:00,3.83,Medio +,Full,6.11,,6.06,4.75,,Full,
2026-06-20 17:00:00,4.03,Medio +,Full,LLeno,,LLeno,6.50,,Full,
2026-06-20 19:00:00,4.39,Medio +,6.98,LLeno,,LLeno,LLeno,,Full,
2026-06-20 21:00:00,Full,6.58,6.77,LLeno,,5.77,LLeno,,Full,
2026-06-20 23:00:00,Full,5.95,6.55,LLeno,,Medio +,LLeno,,Full,
2026-06-21 01:00:00,Full,LLeno,6.40,3.49,,Medio +,5.22,,Full,
2026-06-21 03:00:00,Full,5.95,5.14,0.270,,Medio +,Medio +,,Full,
2026-06-21 05:00:00,7.00,LLeno,5.13,1.03,,Medio +,Medio +,,Full,
2026-06-21 07:00:00,6.16,5.74,5.37,2.58,,Medio +,Medio +,,Full,
2026-06-21 09:00:00,LLeno,Medio +,6.93,2.14,,6.34,5.70,,Full,
2026-06-21 11:00:00,5.98,4.95,Full,5.80,,6.00,,,Full,
2026-06-21 13:00:00,LLeno,Medio +,,,,,,,Full,
2026-06-21 15:00:00,LLeno,4.95,,6.11,,,,,,
2026-06-21 17:00:00,5.85,4.96,Full,6.20,,6.02,6.22,,Full,
2026-06-21 19:00:00,Medio +,Medio +,Full,6.00,,LLeno,6.00,,Full,
2026-06-21 21:00:00,Medio +,4.15,Full,LLeno,,LLeno,LLeno,,Full,
2026-06-21 23:00:00,Medio +,3.19,6.93,LLeno,6.60,LLeno,LLeno,,Full,
2026-06-22 01:00:00,5.72,2.26,6.63,5.13,5.92,5.06,5.82,,Full,
2026-06-22 03:00:00,7.00,3.58,6.26,0.741,6.02,Medio +,4.93,,Full,
2026-06-22 05:00:00,6.60,6.08,5.78,3.20,5.97,Medio +,Medio +,,Full,
2026-06-22 07:00:00,LLeno,6.01,5.83,2.54,LLeno,4.98,Medio +,,Full,
2026-06-22 09:00:00,LLeno,LLeno,6.88,0.0940,6.04,4.87,Medio +,,Full,
2026-06-22 11:00:00,LLeno,LLeno,6.90,Vacio,LLeno,6.09,Medio +,,Full,
