sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I48 - BOYA"
2026-09-09 10:27:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:27:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:28:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:28:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:28:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:29:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:29:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:29:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:30:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:30:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:30:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:31:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:31:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:31:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:32:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:32:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:32:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:33:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:33:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:33:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:34:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:34:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:34:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:35:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:35:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
