"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58","%FW - I45","%FW - I49","%FW - I50","%FW - I52","%FW - I53","%FW - I54","%FW - I55","%FW - I56","%FW - I57","%FW - I58"
2026-06-20 01:00:00,0.233 Mpa,0.392 Mpa,0.00612 Mpa,0.144 Mpa,0.0724 Mpa,0.102 Mpa,0.167 Mpa,0.0886 Mpa,0.0320 Mpa,,13.4%,16.5%,6.43%,8.71%,10.4%,6.65%,7.82%,3.67%,5.03%,
2026-06-20 03:00:00,0.225 Mpa,0.102 Mpa,0.0188 Mpa,0.127 Mpa,0.0723 Mpa,0.135 Mpa,0.130 Mpa,0.0293 Mpa,0.0806 Mpa,,13.5%,6.73%,4.87%,7.38%,9.64%,7.61%,8.04%,2.93%,6.29%,
2026-06-20 05:00:00,0.167 Mpa,0.146 Mpa,0.0733 Mpa,0.0410 Mpa,0.170 Mpa,0.104 Mpa,0.109 Mpa,0.0269 Mpa,0.100 Mpa,,11.6%,8.92%,6.48%,10.7%,12.3%,7.98%,6.84%,2.40%,7.33%,
2026-06-20 07:00:00,0.244 Mpa,0.364 Mpa,0.112 Mpa,0.289 Mpa,0.0896 Mpa,0.0485 Mpa,0.344 Mpa,0.0378 Mpa,0.361 Mpa,,33.4%,14.5%,8.53%,12.7%,10.7%,10.7%,12.6%,2.22%,17.2%,
2026-06-20 09:00:00,0.177 Mpa,0.131 Mpa,0.431 Mpa,0.123 Mpa,0.159 Mpa,0.0979 Mpa,0.243 Mpa,0.223 Mpa,0.101 Mpa,,15.5%,8.09%,17.5%,7.74%,12.6%,13.2%,10.2%,7.48%,16.9%,
2026-06-20 11:00:00,0.181 Mpa,0.308 Mpa,0.149 Mpa,0.176 Mpa,0.268 Mpa,0.137 Mpa,0.518 Mpa,0.0676 Mpa,0.0482 Mpa,,15.9%,12.7%,7.99%,9.64%,16.9%,25.0%,17.8%,3.40%,9.21%,
2026-06-20 13:00:00,0.572 Mpa,0.190 Mpa,0.0544 Mpa,0.102 Mpa,0.483 Mpa,0.190 Mpa,0.477 Mpa,0.178 Mpa,0.0816 Mpa,,25.6%,9.38%,5.31%,8.03%,23.8%,15.2%,16.8%,6.91%,6.58%,
2026-06-20 15:00:00,0.0523 Mpa,0.471 Mpa,0.495 Mpa,0.419 Mpa,0.577 Mpa,0.0697 Mpa,0.0820 Mpa,0.265 Mpa,0.109 Mpa,,9.04%,16.9%,19.1%,16.5%,25.1%,11.9%,6.10%,9.07%,8.63%,
2026-06-20 17:00:00,0.0925 Mpa,0.310 Mpa,0.101 Mpa,0.109 Mpa,0.0592 Mpa,0.0967 Mpa,0.248 Mpa,0.943 Mpa,0.103 Mpa,,10.1%,12.9%,6.91%,6.74%,8.92%,6.86%,10.6%,28.3%,7.38%,
2026-06-20 19:00:00,0.145 Mpa,0.000696 Mpa,0.0671 Mpa,0.0463 Mpa,0.112 Mpa,0.510 Mpa,0.567 Mpa,0.861 Mpa,0.0674 Mpa,,11.7%,2.77%,5.98%,4.73%,9.59%,18.6%,18.5%,26.2%,6.44%,
2026-06-20 21:00:00,0.0282 Mpa,0.658 Mpa,0.131 Mpa,0.0644 Mpa,0.171 Mpa,0.0545 Mpa,0.389 Mpa,0.140 Mpa,0.129 Mpa,,8.47%,22.1%,7.89%,5.51%,10.4%,5.07%,14.3%,6.14%,7.73%,
2026-06-20 23:00:00,0.406 Mpa,0.278 Mpa,0.0395 Mpa,0.173 Mpa,0.0431 Mpa,0.147 Mpa,0.114 Mpa,0.0353 Mpa,0.0422 Mpa,,18.4%,22.0%,4.16%,9.04%,15.5%,8.01%,9.31%,3.12%,4.51%,
2026-06-21 01:00:00,0.386 Mpa,0.111 Mpa,0.00863 Mpa,0.0400 Mpa,0.0562 Mpa,0.0752 Mpa,0.128 Mpa,0.0855 Mpa,0.201 Mpa,,17.5%,6.68%,2.00%,5.30%,8.12%,5.59%,7.61%,4.37%,9.12%,
2026-06-21 03:00:00,1.22 Mpa,0.0248 Mpa,0.125 Mpa,0.0253 Mpa,0.148 Mpa,0.120 Mpa,0.0899 Mpa,0.0486 Mpa,0.00803 Mpa,,41.3%,4.68%,6.29%,5.03%,11.2%,7.45%,6.33%,3.47%,4.33%,
2026-06-21 05:00:00,0.0901 Mpa,0.206 Mpa,0.186 Mpa,0.0687 Mpa,0.110 Mpa,0.114 Mpa,0.298 Mpa,0.202 Mpa,0.185 Mpa,,9.30%,9.23%,8.07%,6.42%,10.8%,12.1%,11.7%,7.99%,9.83%,
2026-06-21 07:00:00,0.104 Mpa,0.150 Mpa,0.253 Mpa,0.0513 Mpa,0.103 Mpa,0.133 Mpa,0.251 Mpa,0.205 Mpa,0.0522 Mpa,,9.14%,7.71%,10.5%,6.38%,11.4%,9.43%,10.6%,7.78%,9.72%,
2026-06-21 09:00:00,0.131 Mpa,0.169 Mpa,0.0311 Mpa,0.444 Mpa,0.0464 Mpa,0.129 Mpa,0.457 Mpa,0.189 Mpa,0.0799 Mpa,,22.5%,8.72%,4.51%,17.5%,9.59%,14.8%,16.1%,7.20%,11.9%,
2026-06-21 11:00:00,0.814 Mpa,0.0875 Mpa,0.0886 Mpa,0.351 Mpa,0.0645 Mpa,0.263 Mpa,0.231 Mpa,0.0129 Mpa,0.0299 Mpa,,36.2%,6.05%,6.80%,27.4%,10.3%,11.2%,9.95%,2.10%,5.37%,
2026-06-21 13:00:00,0.274 Mpa,0.0438 Mpa,,,0 Mpa,,,,0.0528 Mpa,,27.0%,5.43%,,,8.00%,,,,4.64%,
2026-06-21 15:00:00,0.142 Mpa,0.142 Mpa,,,0 Mpa,0.861 Mpa,,0.00670 Mpa,0.142 Mpa,,11.9%,8.14%,,,8%,27.9%,,1.80%,6.98%,
2026-06-21 17:00:00,0.188 Mpa,0.0359 Mpa,,0.0676 Mpa,0.178 Mpa,0.0813 Mpa,0.137 Mpa,0.0242 Mpa,0.145 Mpa,,12.3%,3.95%,,6.06%,13.3%,5.63%,7.16%,4.64%,7.93%,
2026-06-21 19:00:00,0.190 Mpa,0.0325 Mpa,,0.0433 Mpa,0.0717 Mpa,0.0495 Mpa,0.686 Mpa,0.0359 Mpa,0.0418 Mpa,,12.5%,4.82%,,5.37%,8.20%,5.49%,25.2%,3.25%,4.65%,
2026-06-21 21:00:00,0.133 Mpa,0.124 Mpa,,0.0386 Mpa,1.23 Mpa,0.289 Mpa,0.363 Mpa,0.0844 Mpa,0.244 Mpa,,11.2%,7.20%,,5.63%,46.2%,12.7%,15.2%,4.51%,10.9%,
2026-06-21 23:00:00,0.249 Mpa,0.221 Mpa,0 Mpa,0.0385 Mpa,0.186 Mpa,0.0635 Mpa,0.948 Mpa,0.0734 Mpa,0 Mpa,,14.5%,10.2%,7.22%,5.90%,12.7%,6.19%,29.3%,4.20%,3.55%,
2026-06-22 01:00:00,0.450 Mpa,0.0418 Mpa,0.236 Mpa,0.0562 Mpa,0.0249 Mpa,0.295 Mpa,0.0693 Mpa,0.0171 Mpa,0.00152 Mpa,,19.7%,4.32%,9.64%,6.59%,8.42%,12.4%,6.25%,4.72%,3.90%,
2026-06-22 03:00:00,0.116 Mpa,0.144 Mpa,0.00967 Mpa,0.129 Mpa,0.241 Mpa,0.0321 Mpa,0.188 Mpa,0.123 Mpa,0.265 Mpa,,10.5%,8.11%,3.89%,8.39%,14.2%,4.97%,8.98%,5.01%,11.3%,
2026-06-22 05:00:00,0.249 Mpa,0.0753 Mpa,0.115 Mpa,0.157 Mpa,0.172 Mpa,0.0746 Mpa,0.0924 Mpa,0.337 Mpa,0.0963 Mpa,,15.2%,5.45%,6.94%,8.48%,18.8%,7.37%,5.97%,10.9%,7.10%,
