"Time","P_BW - I45","P_BW - I49","P_BW - I50","P_BW - I52","P_BW - I53","P_BW - I54","P_BW - I55","P_BW - I56","P_BW - I57","P_BW - I58","%BW - I45","%BW - I49","%BW - I50","%BW - I52","%BW - I53","%BW - I54","%BW - I55","%BW - I56","%BW - I57","%BW - I58"
2026-06-30 21:00:00,0.114 Mpa,0.123 Mpa,0.0335 Mpa,0.139 Mpa,0.210 Mpa,,0.241 Mpa,,0.122 Mpa,,3.39%,4.43%,1.04%,4.18%,7.98%,,9.27%,,3.50%,
2026-06-30 23:00:00,0.171 Mpa,0.149 Mpa,0.103 Mpa,0.138 Mpa,0.298 Mpa,,0.118 Mpa,0.194 Mpa,0.0877 Mpa,,4.91%,5.29%,3.29%,4.24%,10.9%,,6.07%,5.97%,2.51%,
2026-07-01 01:00:00,0.198 Mpa,0.755 Mpa,0.187 Mpa,0.0584 Mpa,0.217 Mpa,0.0258 Mpa,0.251 Mpa,0.136 Mpa,0.148 Mpa,,5.61%,22.5%,5.50%,1.59%,7.85%,0%,9.50%,4%,4.04%,
2026-07-01 03:00:00,0.0333 Mpa,0.164 Mpa,0.0395 Mpa,0.0267 Mpa,0.188 Mpa,0.0653 Mpa,0.0839 Mpa,0.0878 Mpa,0.0778 Mpa,,0.991%,5.91%,0.887%,0.693%,6.93%,1.16%,4.78%,2.69%,2.06%,
2026-07-01 05:00:00,0.0860 Mpa,0.213 Mpa,0.0930 Mpa,0.0479 Mpa,0.206 Mpa,0.0480 Mpa,0.422 Mpa,0.0685 Mpa,0.133 Mpa,,2.79%,7.99%,2.97%,1.51%,7.60%,0.0603%,14.0%,1.95%,3.64%,
2026-07-01 07:00:00,0.0109 Mpa,0.487 Mpa,0.0535 Mpa,0.0618 Mpa,0.0395 Mpa,0.145 Mpa,0.0374 Mpa,0.0435 Mpa,0.117 Mpa,,0.303%,16.7%,1.72%,2.46%,1.33%,3.42%,3.99%,1.33%,3.40%,
2026-07-01 09:00:00,0.179 Mpa,0.0389 Mpa,0.0187 Mpa,0.0975 Mpa,0.0663 Mpa,0.177 Mpa,0.0681 Mpa,0.0681 Mpa,0.231 Mpa,,5.28%,2.21%,0.511%,3.42%,2.28%,4.47%,4.56%,2.88%,6.88%,
2026-07-01 11:00:00,0.0587 Mpa,0.269 Mpa,0.0908 Mpa,0.0472 Mpa,0.112 Mpa,0.135 Mpa,0.116 Mpa,0.0730 Mpa,0.0707 Mpa,,2.15%,8.21%,3.74%,1.72%,4.03%,2.96%,5.56%,2.58%,1.77%,
2026-07-01 13:00:00,0.0889 Mpa,,0.129 Mpa,0.0957 Mpa,0.0798 Mpa,0.302 Mpa,0.231 Mpa,0.0903 Mpa,0.0969 Mpa,,2.84%,,5.75%,2.93%,2.99%,8.40%,8.47%,2.85%,3.50%,
2026-07-01 15:00:00,0.101 Mpa,0.219 Mpa,0.149 Mpa,0.127 Mpa,0.0871 Mpa,0.110 Mpa,0.235 Mpa,0.216 Mpa,0.186 Mpa,,3.19%,7.31%,8.88%,4.00%,3.22%,2.34%,8.36%,6.43%,6.90%,
2026-07-01 17:00:00,0.0972 Mpa,,0.119 Mpa,0.0544 Mpa,0.0803 Mpa,0.0417 Mpa,0.216 Mpa,0.0783 Mpa,0.143 Mpa,,2.97%,,4.34%,1.71%,3.31%,0.497%,8.37%,2.72%,4.70%,
2026-07-01 19:00:00,0.100 Mpa,,0.0256 Mpa,0.0753 Mpa,0.0623 Mpa,0.0716 Mpa,0.0713 Mpa,0.111 Mpa,0.0682 Mpa,,2.91%,,1.03%,2.20%,2.74%,1.54%,5.10%,3.70%,1.86%,
2026-07-01 21:00:00,0.0754 Mpa,,0.129 Mpa,0.0261 Mpa,0.0883 Mpa,0.407 Mpa,0.107 Mpa,0.128 Mpa,0.0732 Mpa,,2.48%,,3.82%,0.639%,3.55%,11.5%,6.31%,4.39%,1.85%,
2026-07-01 23:00:00,0.0612 Mpa,,0.166 Mpa,0.0554 Mpa,0.107 Mpa,0.332 Mpa,0.0824 Mpa,0.0543 Mpa,0.0790 Mpa,,2.09%,,5.13%,1.62%,4.48%,9.05%,5.37%,1.65%,2.10%,
2026-07-02 01:00:00,0.114 Mpa,,0.112 Mpa,0.120 Mpa,0.268 Mpa,0.369 Mpa,0.290 Mpa,0.348 Mpa,0.0710 Mpa,,3.14%,,3.69%,3.48%,10.2%,10.2%,10.7%,10.3%,1.76%,
2026-07-02 03:00:00,0.0474 Mpa,,0.0336 Mpa,0.101 Mpa,0.0529 Mpa,0.138 Mpa,0.257 Mpa,0.152 Mpa,0.0777 Mpa,,1.13%,,1.12%,3.00%,2.04%,3.42%,9.55%,4.38%,2.18%,
2026-07-02 05:00:00,0.0928 Mpa,,0.0743 Mpa,0.106 Mpa,0.0558 Mpa,0.122 Mpa,0.0710 Mpa,0.133 Mpa,0.127 Mpa,,2.97%,,2.36%,3.16%,2.00%,2.94%,5.15%,4.04%,3.64%,
2026-07-02 07:00:00,0.0604 Mpa,,0.0571 Mpa,0.0936 Mpa,0.105 Mpa,0.232 Mpa,0.0892 Mpa,0.0694 Mpa,0.115 Mpa,,1.49%,,1.81%,2.84%,3.90%,6.18%,5.51%,2.14%,3.30%,
2026-07-02 09:00:00,0.0528 Mpa,,0.0649 Mpa,0.0925 Mpa,0.0668 Mpa,0.551 Mpa,0.0632 Mpa,0.199 Mpa,0.0714 Mpa,,1.20%,,2.03%,2.82%,2.27%,15.8%,4.40%,6.12%,2.02%,
2026-07-02 11:00:00,0.0670 Mpa,0 Mpa,0.0579 Mpa,0.0829 Mpa,0.0548 Mpa,0.303 Mpa,0.0811 Mpa,0.0670 Mpa,0.0859 Mpa,,1.81%,0%,1.91%,2.53%,1.91%,8.61%,5.10%,2.03%,2.46%,
2026-07-02 13:00:00,0.0777 Mpa,0.0782 Mpa,0.404 Mpa,0.306 Mpa,0.101 Mpa,0.490 Mpa,0.0367 Mpa,0.0815 Mpa,0.0968 Mpa,0 Mpa,2.44%,2.45%,12.4%,9.07%,3.59%,15.2%,3.64%,3.01%,2.68%,0%
2026-07-02 15:00:00,0.0238 Mpa,0.0486 Mpa,0.184 Mpa,0.0588 Mpa,0.166 Mpa,0.226 Mpa,0.106 Mpa,0.549 Mpa,0.172 Mpa,0.0249 Mpa,0.798%,2.14%,6.01%,1.83%,5.92%,5.98%,5.86%,16.0%,5.12%,2.21%
2026-07-02 17:00:00,0.171 Mpa,0.175 Mpa,0.0644 Mpa,0.118 Mpa,0.0561 Mpa,0.141 Mpa,0.128 Mpa,,0.113 Mpa,0.179 Mpa,5.15%,6.81%,2.40%,3.79%,1.99%,3.51%,6.54%,,3.17%,4.72%
2026-07-02 19:00:00,0.163 Mpa,0.221 Mpa,0.0473 Mpa,0.122 Mpa,0.149 Mpa,0.846 Mpa,0.155 Mpa,,,,4.98%,8.93%,1.96%,3.76%,5.30%,24.2%,7.40%,,,
2026-07-02 21:00:00,0.0899 Mpa,0.321 Mpa,0.130 Mpa,0.0536 Mpa,0.202 Mpa,0.108 Mpa,0.256 Mpa,,,0.000410 Mpa,3.09%,12.6%,5.68%,1.64%,7.16%,2.47%,10.4%,,,0%
2026-07-02 23:00:00,0.118 Mpa,0.350 Mpa,0.327 Mpa,0.119 Mpa,0.151 Mpa,0.102 Mpa,0.119 Mpa,,0.0321 Mpa,0 Mpa,3.50%,13.3%,10.6%,3.66%,5.21%,2.19%,6.60%,,0.611%,0%
2026-07-03 01:00:00,0.0738 Mpa,0.106 Mpa,0.136 Mpa,0.0939 Mpa,0.146 Mpa,0.183 Mpa,0.207 Mpa,,0.173 Mpa,,2.20%,4.13%,4.83%,2.76%,5.16%,4.51%,8.50%,,5.13%,
2026-07-03 03:00:00,0.266 Mpa,0.222 Mpa,0.0789 Mpa,0.0650 Mpa,0.136 Mpa,0.260 Mpa,0.174 Mpa,,0.0572 Mpa,,7.41%,8.35%,2.83%,2.07%,4.58%,6.32%,7.83%,,1.42%,
2026-07-03 05:00:00,,0.194 Mpa,0.147 Mpa,0.0861 Mpa,0.183 Mpa,0.167 Mpa,0.0819 Mpa,,0.101 Mpa,,,7.23%,4.73%,2.75%,6.21%,3.46%,5.35%,,2.59%,
2026-07-03 07:00:00,,0.102 Mpa,0.0766 Mpa,0.0642 Mpa,0.0445 Mpa,0.0857 Mpa,0.0666 Mpa,,0.0820 Mpa,0.241 Mpa,,4.12%,2.85%,2.07%,1.49%,2.08%,5.07%,,2.22%,6.16%
2026-07-03 09:00:00,0.0000836 Mpa,0.102 Mpa,0.112 Mpa,0.136 Mpa,0.0530 Mpa,0.126 Mpa,0.0995 Mpa,,0.119 Mpa,0 Mpa,0%,4.24%,3.83%,4.20%,1.88%,3.02%,6.08%,,3.35%,0%
2026-07-03 11:00:00,,0.0918 Mpa,0.178 Mpa,0.0497 Mpa,0.218 Mpa,0.135 Mpa,0.0941 Mpa,,0.102 Mpa,0 Mpa,,3.88%,6.28%,1.45%,7.71%,3.35%,5.70%,,2.81%,0%
2026-07-03 13:00:00,,0.101 Mpa,0.0843 Mpa,0.0723 Mpa,0.100 Mpa,0.0996 Mpa,0.0435 Mpa,0 Mpa,0.109 Mpa,0.0221 Mpa,,4.03%,2.61%,2.22%,3.60%,2.04%,4.00%,0%,3.10%,0.512%
2026-07-03 15:00:00,0.000125 Mpa,0.0871 Mpa,0.321 Mpa,0.0502 Mpa,0.183 Mpa,0.122 Mpa,0.107 Mpa,0.000148 Mpa,0.0959 Mpa,0.105 Mpa,0.00457%,3.73%,10.1%,1.58%,5.93%,2.72%,6.49%,0%,2.59%,2.87%
2026-07-03 17:00:00,0.0399 Mpa,0.141 Mpa,0.136 Mpa,0.132 Mpa,0.0540 Mpa,0.0989 Mpa,0.311 Mpa,0.204 Mpa,0.0813 Mpa,,1.03%,5.85%,4.15%,3.91%,2.05%,2.24%,11.6%,5.94%,2.17%,
2026-07-03 19:00:00,0.269 Mpa,0.133 Mpa,0.123 Mpa,0.0233 Mpa,0.0489 Mpa,0.0840 Mpa,0.144 Mpa,0.0858 Mpa,0.0498 Mpa,0.00776 Mpa,8.35%,6.69%,3.78%,0.671%,1.69%,1.55%,7.22%,2.42%,1.20%,0.188%
2026-07-03 21:00:00,0.205 Mpa,0.0598 Mpa,0.133 Mpa,0.0367 Mpa,0.135 Mpa,0.0758 Mpa,0.129 Mpa,0.0921 Mpa,0.192 Mpa,0.000660 Mpa,6.80%,3.63%,4.20%,1.23%,4.73%,1.21%,6.70%,2.52%,5.71%,0.00906%
2026-07-03 23:00:00,0.206 Mpa,0.0732 Mpa,0.0681 Mpa,0.211 Mpa,0.294 Mpa,0.119 Mpa,0.213 Mpa,0.108 Mpa,0 Mpa,0.0000736 Mpa,6.80%,4.03%,2.19%,6.23%,10.1%,2.83%,8.96%,3.10%,0%,0%
2026-07-04 01:00:00,0.0776 Mpa,0.177 Mpa,0.128 Mpa,0.00445 Mpa,0.0540 Mpa,0.108 Mpa,0.0542 Mpa,0.111 Mpa,0.0414 Mpa,0.00141 Mpa,2.41%,7.24%,4.14%,0.248%,1.87%,2.45%,4.82%,3.31%,1.30%,0%
