"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48","%FW - I38","%FW - I39","%FW - I40","%FW - I41","%FW - I42","%FW - I43","%FW - I44","%FW - I47","%FW - I48"
2026-06-22 03:00:00,0.250 Mpa,3.91 Mpa,0.358 Mpa,0.203 Mpa,3.56 Mpa,0.310 Mpa,0.296 Mpa,0.260 Mpa,,6.12%,24.3%,11.0%,4.50%,95.8%,3.56%,7.02%,3.17%,
2026-06-22 05:00:00,0.208 Mpa,0.345 Mpa,0.500 Mpa,0.268 Mpa,0.418 Mpa,0.397 Mpa,0.148 Mpa,0.767 Mpa,,4.44%,12.7%,12.5%,6.64%,24.3%,7.26%,3.21%,18.3%,
2026-06-22 07:00:00,0.164 Mpa,0.136 Mpa,0.278 Mpa,0.319 Mpa,0.260 Mpa,0.620 Mpa,0.122 Mpa,0.479 Mpa,,3.35%,4.90%,6.57%,7.06%,14.5%,12.4%,7.98%,8.94%,
2026-06-22 09:00:00,0.551 Mpa,0.126 Mpa,0.633 Mpa,0.119 Mpa,0.0862 Mpa,0.525 Mpa,0.164 Mpa,0.432 Mpa,,13.8%,3.87%,17.0%,1.61%,49.1%,11.1%,3.84%,8.00%,
2026-06-22 11:00:00,0.999 Mpa,0.202 Mpa,0.275 Mpa,0.118 Mpa,0.260 Mpa,0.482 Mpa,0.113 Mpa,0.480 Mpa,,26.7%,6.33%,8.14%,1.43%,8.86%,10.1%,4.47%,9.40%,
2026-06-22 13:00:00,0.659 Mpa,0.261 Mpa,0.174 Mpa,0.179 Mpa,1.13 Mpa,,0.304 Mpa,0.887 Mpa,,19.1%,8.95%,5.42%,4.07%,48.2%,,7.51%,21.1%,
2026-06-22 15:00:00,0.695 Mpa,0.143 Mpa,0.136 Mpa,0.148 Mpa,0.0415 Mpa,,0.115 Mpa,0.460 Mpa,,20.9%,5.00%,4.03%,2.39%,35.7%,,8.37%,9.01%,
2026-06-22 17:00:00,0.124 Mpa,0.112 Mpa,0.461 Mpa,0.160 Mpa,0.0653 Mpa,,0.156 Mpa,0.303 Mpa,,6.15%,6.27%,12.7%,7.98%,2.81%,,3.05%,5.52%,
2026-06-22 19:00:00,0.0692 Mpa,0.448 Mpa,0.157 Mpa,0.167 Mpa,0.0648 Mpa,,0.387 Mpa,0.420 Mpa,,5.24%,13.1%,5.18%,3.16%,4.03%,,10.0%,7.57%,
2026-06-22 21:00:00,0.0553 Mpa,0.330 Mpa,0.499 Mpa,0.213 Mpa,0.0429 Mpa,0.172 Mpa,0.281 Mpa,0.271 Mpa,,5.53%,11.6%,14.0%,8.59%,1.84%,4.01%,6.06%,2.92%,
2026-06-22 23:00:00,0.0843 Mpa,0.363 Mpa,0.242 Mpa,0.159 Mpa,0.0514 Mpa,,0.128 Mpa,0.217 Mpa,,5.49%,10.2%,6.70%,2.43%,2.52%,,2.06%,0.788%,
2026-06-23 01:00:00,0.164 Mpa,0.802 Mpa,0.247 Mpa,0.220 Mpa,0.0463 Mpa,,0.202 Mpa,0.190 Mpa,,6.80%,29.6%,7.07%,4.39%,3.02%,,4.09%,0.443%,
2026-06-23 03:00:00,0.283 Mpa,3.35 Mpa,0.429 Mpa,1.11 Mpa,0.0390 Mpa,,0.560 Mpa,0.553 Mpa,,7.38%,93.9%,12.5%,27.9%,3.29%,,14.2%,11.3%,
2026-06-23 05:00:00,0.0702 Mpa,0.354 Mpa,0.474 Mpa,0.402 Mpa,0.108 Mpa,,0.193 Mpa,0.313 Mpa,,3.63%,15.1%,11.7%,8.89%,3.87%,,3.85%,16.5%,
2026-06-23 07:00:00,0.130 Mpa,,0.300 Mpa,0.305 Mpa,0.0872 Mpa,,0.565 Mpa,0.252 Mpa,,5.45%,,14.5%,6.38%,3.62%,,14.6%,49.7%,
2026-06-23 09:00:00,0.132 Mpa,0.163 Mpa,0.203 Mpa,1.27 Mpa,0.0966 Mpa,,1.22 Mpa,0.253 Mpa,,4.51%,9.68%,4.80%,32.2%,3.90%,,33.4%,8.89%,
2026-06-23 11:00:00,0.696 Mpa,,0.146 Mpa,1.09 Mpa,0.0881 Mpa,0.367 Mpa,0.199 Mpa,0.162 Mpa,,17.2%,,9.45%,27.0%,3.49%,5.63%,4.49%,15.4%,
2026-06-23 13:00:00,0.216 Mpa,,0.0882 Mpa,0.212 Mpa,0.0756 Mpa,,0.242 Mpa,0.157 Mpa,,5.23%,,9.29%,4.59%,3.78%,,5.29%,1.22%,
