"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58","%FW - I45","%FW - I49","%FW - I50","%FW - I52","%FW - I53","%FW - I54","%FW - I55","%FW - I56","%FW - I57","%FW - I58"
2026-06-22 09:00:00,0.376 Mpa,0.112 Mpa,0.101 Mpa,0.224 Mpa,0.633 Mpa,0.115 Mpa,0.0815 Mpa,0.144 Mpa,0.0496 Mpa,,12.9%,4.75%,6.31%,11.0%,24.1%,9.48%,2.29%,6.12%,1.89%,
2026-06-22 11:00:00,0.492 Mpa,0.131 Mpa,0.209 Mpa,0.212 Mpa,0.163 Mpa,0.101 Mpa,0.194 Mpa,0.176 Mpa,0.0803 Mpa,,40.5%,4.70%,10.8%,10.6%,7.61%,5.44%,5.57%,6.50%,3.36%,
2026-06-22 13:00:00,0.563 Mpa,0.122 Mpa,0.0604 Mpa,0.0779 Mpa,0.0464 Mpa,0.164 Mpa,0.0968 Mpa,0.156 Mpa,0.167 Mpa,,17.6%,3.97%,13.2%,8.09%,3.53%,6.21%,2.72%,11.0%,6.23%,
2026-06-22 15:00:00,0.371 Mpa,0.0254 Mpa,0.108 Mpa,0.0640 Mpa,0.722 Mpa,0.0938 Mpa,0.0626 Mpa,0.436 Mpa,0.120 Mpa,,12.3%,0.741%,5.48%,6.93%,36.9%,5.02%,1.85%,13.8%,4.19%,
2026-06-22 17:00:00,0.171 Mpa,0.111 Mpa,0.426 Mpa,0.0538 Mpa,0.135 Mpa,0.329 Mpa,0.105 Mpa,0.246 Mpa,0.0890 Mpa,,7.60%,3.63%,16.5%,7.15%,5.85%,11.2%,2.96%,8.89%,3.88%,
2026-06-22 19:00:00,0.413 Mpa,0.150 Mpa,0.198 Mpa,0.0967 Mpa,0.341 Mpa,0.00472 Mpa,0.0237 Mpa,0.224 Mpa,0.0350 Mpa,,15.9%,4.78%,8.56%,8.39%,13.1%,0.921%,0.615%,9.22%,1.85%,
2026-06-22 21:00:00,0.401 Mpa,0.0933 Mpa,0.0383 Mpa,0.0153 Mpa,0.788 Mpa,0 Mpa,0.00780 Mpa,0.192 Mpa,0.548 Mpa,,13.4%,2.82%,4.05%,6.36%,28.7%,0.800%,0.146%,8.65%,17.8%,
2026-06-22 23:00:00,0.302 Mpa,0.0586 Mpa,0.0591 Mpa,0.137 Mpa,0.612 Mpa,,0.163 Mpa,0.0720 Mpa,0.244 Mpa,,10.7%,1.82%,5.01%,9.61%,22.2%,,4.54%,4.05%,8.51%,
2026-06-23 01:00:00,0 Mpa,0 Mpa,0.0324 Mpa,0.162 Mpa,0.717 Mpa,0.0778 Mpa,0.0176 Mpa,0.177 Mpa,0.0819 Mpa,,1.60%,0.381%,3.99%,10.1%,25.8%,2.41%,0.436%,6.94%,3.08%,
2026-06-23 03:00:00,0.135 Mpa,0.0650 Mpa,0.0268 Mpa,0.0695 Mpa,0.0358 Mpa,0.215 Mpa,0.204 Mpa,0.0414 Mpa,0.0514 Mpa,,5.67%,1.97%,2.34%,7.20%,12.5%,6.68%,5.73%,3.21%,2.08%,
2026-06-23 05:00:00,0.108 Mpa,0.240 Mpa,0.0259 Mpa,0.0893 Mpa,0.236 Mpa,0.367 Mpa,0.0957 Mpa,0.0587 Mpa,0.0893 Mpa,,5.44%,7.04%,3.39%,7.91%,9.31%,11.9%,2.66%,3.55%,3.16%,
2026-06-23 07:00:00,0.399 Mpa,0.0849 Mpa,0.0144 Mpa,0.0561 Mpa,0.651 Mpa,0.0463 Mpa,0.246 Mpa,0.0772 Mpa,0.0981 Mpa,,13.2%,2.63%,2.85%,7.04%,23.7%,2.57%,6.69%,3.68%,3.08%,
2026-06-23 09:00:00,0.541 Mpa,0.0693 Mpa,0.122 Mpa,0.0420 Mpa,0.0927 Mpa,0.275 Mpa,0.101 Mpa,0.494 Mpa,0.290 Mpa,,17.9%,2.25%,5.69%,6.76%,5.01%,9.99%,2.70%,15.8%,9.55%,
2026-06-23 11:00:00,0.0710 Mpa,0.101 Mpa,0.0155 Mpa,0.0904 Mpa,0.532 Mpa,0.0649 Mpa,0.247 Mpa,0.110 Mpa,0.277 Mpa,,4.10%,3.31%,3.85%,8.01%,20.9%,3.75%,6.78%,4.92%,8.77%,
2026-06-23 13:00:00,0.00885 Mpa,0.178 Mpa,0.0550 Mpa,0.0456 Mpa,0.0680 Mpa,0.0500 Mpa,0.221 Mpa,0.584 Mpa,0.124 Mpa,,2.00%,5.72%,4.81%,6.98%,4.22%,2.95%,6.04%,18.3%,3.95%,
2026-06-23 15:00:00,0.201 Mpa,0.264 Mpa,0.00305 Mpa,0.0912 Mpa,0.0857 Mpa,0.268 Mpa,0.331 Mpa,0.0926 Mpa,0.109 Mpa,,7.57%,8.48%,3.61%,8.53%,5.38%,9.52%,9.05%,4.23%,3.54%,
2026-06-23 17:00:00,0.132 Mpa,0.0426 Mpa,0.168 Mpa,0.0669 Mpa,0.0793 Mpa,1.10 Mpa,0.121 Mpa,0.471 Mpa,0.313 Mpa,,5.35%,1.46%,7.28%,7.39%,4.42%,35.6%,3.26%,14.5%,10.4%,
2026-06-23 19:00:00,1.10 Mpa,0.101 Mpa,0.214 Mpa,0.0196 Mpa,0.0679 Mpa,0.247 Mpa,0.0253 Mpa,0.374 Mpa,0.0325 Mpa,,32.6%,3.40%,8.71%,5.87%,3.80%,27.4%,0.681%,12.6%,1.18%,
2026-06-23 21:00:00,0.0518 Mpa,0.104 Mpa,0.115 Mpa,0.335 Mpa,0.0790 Mpa,0.160 Mpa,0.0784 Mpa,0.136 Mpa,0.0356 Mpa,,3.78%,3.61%,5.79%,14.4%,4.61%,8.77%,2.28%,5.22%,1.32%,
2026-06-23 23:00:00,0.205 Mpa,0.142 Mpa,0.124 Mpa,0.285 Mpa,0.103 Mpa,0.195 Mpa,0.141 Mpa,0.580 Mpa,0.0773 Mpa,,8.57%,4.74%,6.62%,13.3%,5.31%,10.9%,3.79%,17.9%,3.20%,
2026-06-24 01:00:00,0.443 Mpa,0.0751 Mpa,0.140 Mpa,0.0910 Mpa,0.0660 Mpa,0.409 Mpa,0.0157 Mpa,0.0458 Mpa,0.146 Mpa,,16.0%,9.92%,6.94%,8.05%,4.14%,18.7%,0.509%,2.61%,4.91%,
