"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48","%FW - I38","%FW - I39","%FW - I40","%FW - I41","%FW - I42","%FW - I43","%FW - I44","%FW - I47","%FW - I48"
2026-06-20 21:00:00,0.00213 Mpa,0.370 Mpa,0.169 Mpa,0.307 Mpa,,0.320 Mpa,0.111 Mpa,0.343 Mpa,,0.0460%,11.1%,2.72%,6.02%,,1.94%,1.13%,7.78%,
2026-06-20 23:00:00,0 Mpa,0.233 Mpa,0.138 Mpa,0.197 Mpa,,0.287 Mpa,0.465 Mpa,0.218 Mpa,,0%,7.45%,1.42%,3.06%,,1.03%,12.1%,3.63%,
2026-06-21 01:00:00,0 Mpa,0.128 Mpa,0.153 Mpa,0.292 Mpa,,0.271 Mpa,0.327 Mpa,0.188 Mpa,,0%,2.52%,1.82%,5.72%,,0.662%,9.98%,1.03%,
2026-06-21 03:00:00,0 Mpa,1.05 Mpa,0.306 Mpa,0.843 Mpa,,0.352 Mpa,0.226 Mpa,0.250 Mpa,,0%,32.0%,6.25%,21.1%,,14.2%,5.79%,3.38%,
2026-06-21 05:00:00,0.100 Mpa,0.0950 Mpa,0.331 Mpa,0.882 Mpa,,0.444 Mpa,0.135 Mpa,0.883 Mpa,,3.90%,4.36%,6.96%,22.7%,,7.52%,1.90%,21.8%,
2026-06-21 07:00:00,0.141 Mpa,2.75 Mpa,0.539 Mpa,0.389 Mpa,,0.422 Mpa,0.205 Mpa,0.365 Mpa,,6.31%,10.9%,12.7%,11.7%,,6.45%,3.84%,12.7%,
2026-06-21 09:00:00,0.706 Mpa,6.10 Mpa,0.239 Mpa,0.258 Mpa,,0.366 Mpa,0.192 Mpa,0.356 Mpa,,19.7%,1.29%,4.59%,6.78%,,5.94%,4.96%,14.6%,
2026-06-21 11:00:00,0.635 Mpa,5.91 Mpa,0.808 Mpa,0.378 Mpa,,0.458 Mpa,,0.378 Mpa,,27.7%,52.1%,20.3%,8.17%,,6.79%,,13.7%,
2026-06-21 13:00:00,0.0838 Mpa,1.98 Mpa,,,,,,0.140 Mpa,,4.02%,27.4%,,,,,,12.8%,
2026-06-21 15:00:00,0.0841 Mpa,6.09 Mpa,,0.0239 Mpa,,,,,,6.36%,36.3%,,0.0415%,,,,,
