"Time","P_BW - I38","P_BW - I39","P_BW - I40","P_BW - I41","P_BW - I42","P_BW - I43","P_BW - I44","P_BW - I47","P_BW - I48","%BW - I38","%BW - I39","%BW - I40","%BW - I41","%BW - I42","%BW - I43","%BW - I44","%BW - I47","%BW - I48"
2026-07-07 13:00:00,0.129 Mpa,,0.422 Mpa,,0.341 Mpa,1.54 Mpa,0.316 Mpa,,,3.91%,,10.4%,,9.54%,38.4%,7.91%,,
2026-07-07 15:00:00,0.0467 Mpa,,0.0267 Mpa,,,,,,,0.0444%,,0%,,,,,,
2026-07-07 17:00:00,0.114 Mpa,,0.236 Mpa,0.182 Mpa,0.0757 Mpa,0.583 Mpa,0.294 Mpa,,,2.34%,,4.70%,1.29%,1.61%,15.1%,7.03%,,
2026-07-07 19:00:00,0.103 Mpa,,0.0297 Mpa,0.194 Mpa,0.0766 Mpa,0.333 Mpa,0.236 Mpa,,,2.06%,,0.231%,1.68%,1.55%,5.34%,6.18%,,
2026-07-07 21:00:00,0.134 Mpa,,0.190 Mpa,0.154 Mpa,0.137 Mpa,0.363 Mpa,0.323 Mpa,,,3.89%,,3.69%,0.924%,3.40%,6.96%,9.15%,,
2026-07-07 23:00:00,0.0977 Mpa,,0.0300 Mpa,0.191 Mpa,0.0355 Mpa,0.287 Mpa,0.334 Mpa,,,3.51%,,0%,2.54%,1.28%,4.66%,8.50%,,
2026-07-08 01:00:00,0.199 Mpa,,0.162 Mpa,0.106 Mpa,0.154 Mpa,0.297 Mpa,0.360 Mpa,,,6.27%,,2.75%,1.13%,3.25%,4.40%,10.3%,,
2026-07-08 03:00:00,0.128 Mpa,,0.151 Mpa,,0.249 Mpa,0.336 Mpa,0.255 Mpa,,,4.68%,,1.99%,,6.50%,3.52%,7.02%,,
2026-07-08 05:00:00,0.103 Mpa,,0.155 Mpa,,0.418 Mpa,0.284 Mpa,0.242 Mpa,,,2.59%,,2.84%,,11.5%,2.22%,8.14%,,
2026-07-08 07:00:00,0.0820 Mpa,,0.143 Mpa,,0.207 Mpa,0.296 Mpa,0.290 Mpa,,,1.93%,,2.15%,,5.38%,2.01%,6.71%,,
2026-07-08 09:00:00,0.0968 Mpa,,0.167 Mpa,0.313 Mpa,0.153 Mpa,0.472 Mpa,0.607 Mpa,,,3.42%,,4.26%,7.62%,3.96%,7.41%,16.8%,,
2026-07-08 11:00:00,0.0839 Mpa,,0.0765 Mpa,,0.189 Mpa,0.313 Mpa,0.382 Mpa,,,3.25%,,1.06%,,4.80%,2.77%,9.03%,,
2026-07-08 13:00:00,0.0526 Mpa,,0.188 Mpa,,0.496 Mpa,0.405 Mpa,0.195 Mpa,,,2.86%,,3.91%,,13.9%,4.89%,2.89%,,
2026-07-08 15:00:00,0.0397 Mpa,,0.184 Mpa,,0.119 Mpa,0.282 Mpa,0.265 Mpa,,,2.83%,,4.18%,,2.57%,2.05%,5.86%,,
2026-07-08 17:00:00,0.112 Mpa,,0.146 Mpa,,0.248 Mpa,0.289 Mpa,0.249 Mpa,,,4.92%,,2.70%,,6.73%,4.07%,8.06%,,
2026-07-08 19:00:00,0.245 Mpa,,0.112 Mpa,,0.153 Mpa,0.300 Mpa,0.486 Mpa,,0.446 Mpa,8.61%,,1.31%,,3.47%,3.74%,14.1%,,9.93%
2026-07-08 21:00:00,0.134 Mpa,,0.180 Mpa,,0.0421 Mpa,0.276 Mpa,0.357 Mpa,,0.265 Mpa,6.00%,,3.20%,,1.48%,2.29%,9.41%,,4.15%
2026-07-08 23:00:00,0.149 Mpa,,0.178 Mpa,,0.264 Mpa,0.278 Mpa,0.585 Mpa,,0.294 Mpa,6.25%,,3.14%,,7.77%,3.77%,15.4%,,5.99%
2026-07-09 01:00:00,0.325 Mpa,,0.124 Mpa,,0.161 Mpa,0.301 Mpa,0.219 Mpa,,0.376 Mpa,8.73%,,1.91%,,3.99%,2.93%,7.24%,,7.84%
2026-07-09 03:00:00,0.339 Mpa,,0.144 Mpa,,0.0725 Mpa,0.311 Mpa,0.481 Mpa,,0.312 Mpa,9.56%,,1.92%,,2.03%,3.49%,12.2%,,7.33%
2026-07-09 05:00:00,0.178 Mpa,,0.138 Mpa,,0.140 Mpa,0.298 Mpa,0.206 Mpa,,0.276 Mpa,4.73%,,2.40%,,3.59%,4.79%,7.81%,,4.54%
2026-07-09 07:00:00,0.349 Mpa,,0.143 Mpa,,0.216 Mpa,0.337 Mpa,0.290 Mpa,,0.299 Mpa,9.53%,,2.28%,,5.92%,6.02%,6.83%,,4.39%
2026-07-09 09:00:00,0.240 Mpa,,0.148 Mpa,,0.152 Mpa,0.321 Mpa,0.234 Mpa,,0.235 Mpa,5.99%,,2.54%,,3.72%,5.80%,5.10%,,2.72%
2026-07-09 11:00:00,0.290 Mpa,,0.121 Mpa,,0.218 Mpa,0.307 Mpa,0.371 Mpa,,0.229 Mpa,7.63%,,2.21%,,6.07%,5.94%,9.29%,,2.61%
2026-07-09 13:00:00,0.0763 Mpa,,0.152 Mpa,0.0321 Mpa,0.354 Mpa,0.312 Mpa,0.307 Mpa,,0.173 Mpa,3.42%,,2.65%,0%,10.2%,4.90%,8.41%,,1.42%
2026-07-09 15:00:00,0.251 Mpa,,0.249 Mpa,0.0518 Mpa,0.167 Mpa,0.278 Mpa,0.103 Mpa,,0.159 Mpa,8.11%,,5.32%,0.0293%,4.51%,5.33%,6.30%,,1.00%
2026-07-09 17:00:00,0.136 Mpa,,0.113 Mpa,,0.306 Mpa,0.258 Mpa,0.262 Mpa,,0.217 Mpa,4.01%,,1.75%,,8.08%,3.58%,7.44%,,2.45%
2026-07-09 19:00:00,0.115 Mpa,,0.231 Mpa,,0.552 Mpa,0.250 Mpa,0.199 Mpa,,0.216 Mpa,3.75%,,5.39%,,15.4%,2.55%,5.29%,,2.43%
2026-07-09 21:00:00,0.0475 Mpa,,0.170 Mpa,,0.215 Mpa,0.267 Mpa,0.269 Mpa,,0.244 Mpa,2.16%,,3.15%,,5.30%,2.58%,7.22%,,3.41%
2026-07-09 23:00:00,0.103 Mpa,,0.137 Mpa,,0.620 Mpa,0.311 Mpa,0.254 Mpa,,0.249 Mpa,4.48%,,2.30%,,17.1%,4.45%,6.49%,,4.37%
2026-07-10 01:00:00,0.107 Mpa,,0.202 Mpa,0.0480 Mpa,0.845 Mpa,0.282 Mpa,0.318 Mpa,,0.281 Mpa,4.40%,,3.65%,0%,30.4%,3.91%,8.31%,,4.10%
2026-07-10 03:00:00,0.115 Mpa,,0.204 Mpa,0.0668 Mpa,0.168 Mpa,0.277 Mpa,0.305 Mpa,,0.215 Mpa,3.73%,,3.53%,0.158%,3.93%,4.20%,7.06%,,2.32%
2026-07-10 05:00:00,0.132 Mpa,,0.277 Mpa,0.119 Mpa,0.301 Mpa,0.293 Mpa,0.0913 Mpa,,0.262 Mpa,3.20%,,5.99%,1.07%,8.34%,6.48%,3.11%,,3.80%
2026-07-10 07:00:00,0.125 Mpa,,0.171 Mpa,0.347 Mpa,0.104 Mpa,0.312 Mpa,,,0.234 Mpa,2.80%,,2.88%,7.11%,2.66%,7.85%,,,2.61%
2026-07-10 09:00:00,0.155 Mpa,,0.136 Mpa,0.350 Mpa,0.184 Mpa,0.391 Mpa,0.0555 Mpa,,0.317 Mpa,3.77%,,2.22%,7.75%,5.99%,8.20%,1.02%,,4.93%
2026-07-10 11:00:00,0.0954 Mpa,,0.222 Mpa,0.423 Mpa,0.0234 Mpa,0.379 Mpa,0.182 Mpa,,0.391 Mpa,3.89%,,4.64%,10.1%,0.418%,7.53%,3.92%,,6.82%
2026-07-10 13:00:00,0.127 Mpa,,0.221 Mpa,0.212 Mpa,0.0904 Mpa,0.377 Mpa,0.184 Mpa,,0.267 Mpa,4.59%,,4.76%,3.90%,1.97%,6.79%,6.37%,,3.54%
2026-07-10 15:00:00,0.0919 Mpa,,0.201 Mpa,0.218 Mpa,0.418 Mpa,0.536 Mpa,0.220 Mpa,,0.349 Mpa,3.93%,,3.87%,4.01%,11.6%,11.4%,4.84%,,5.62%
2026-07-10 17:00:00,0.107 Mpa,,0.149 Mpa,0.320 Mpa,0.132 Mpa,0.283 Mpa,0.233 Mpa,,0.240 Mpa,3.87%,,2.60%,6.59%,3.63%,3.16%,5.89%,,3.50%
2026-07-10 19:00:00,0.117 Mpa,,0.176 Mpa,0.228 Mpa,,0.244 Mpa,0.463 Mpa,,0.264 Mpa,3.11%,,3.31%,3.73%,,3.36%,12.7%,,3.37%
2026-07-10 21:00:00,0.120 Mpa,,0.142 Mpa,0.211 Mpa,,0.286 Mpa,0.260 Mpa,,0.296 Mpa,3.01%,,2.37%,3.55%,,5.45%,7.20%,,5.25%
2026-07-10 23:00:00,0.139 Mpa,,0.193 Mpa,0.227 Mpa,,0.287 Mpa,0.257 Mpa,,0.218 Mpa,4.03%,,3.16%,4.10%,,4.10%,6.75%,,2.30%
2026-07-11 01:00:00,0.172 Mpa,,0.142 Mpa,0.0906 Mpa,0.0204 Mpa,0.371 Mpa,0.283 Mpa,,0.253 Mpa,5.11%,,1.67%,0.963%,0.455%,6.33%,7.44%,,3.78%
2026-07-11 03:00:00,0.116 Mpa,,0.119 Mpa,0.253 Mpa,0.484 Mpa,0.275 Mpa,0.315 Mpa,,0.211 Mpa,2.90%,,2.02%,4.57%,13.5%,4.62%,8.49%,,2.11%
2026-07-11 05:00:00,0.110 Mpa,,,0.118 Mpa,0.169 Mpa,0.385 Mpa,0.291 Mpa,,0.206 Mpa,3.00%,,,1.88%,4.57%,6.70%,8.18%,,2.58%
2026-07-11 07:00:00,0.129 Mpa,,,0.0635 Mpa,0.0426 Mpa,0.299 Mpa,0.236 Mpa,,0.254 Mpa,3.19%,,,2.93%,0.623%,2.50%,6.76%,,3.38%
2026-07-11 09:00:00,0.0690 Mpa,,0.0308 Mpa,0.185 Mpa,0.0994 Mpa,0.294 Mpa,0.240 Mpa,,0.296 Mpa,1.88%,,0.174%,4.41%,3.40%,2.43%,6.84%,,4.89%
2026-07-11 11:00:00,0.0803 Mpa,,0.137 Mpa,0.249 Mpa,0.0716 Mpa,0.250 Mpa,0.201 Mpa,,0.384 Mpa,2.55%,,2.05%,4.40%,1.53%,3.62%,6.05%,,7.17%
2026-07-11 13:00:00,0.123 Mpa,,0.167 Mpa,0.288 Mpa,0.137 Mpa,0.343 Mpa,0.210 Mpa,,0.344 Mpa,4.26%,,2.90%,5.42%,4.55%,4.91%,6.50%,,5.95%
2026-07-11 15:00:00,0.270 Mpa,,0.116 Mpa,0.220 Mpa,0.179 Mpa,0.215 Mpa,0.199 Mpa,,0.226 Mpa,7.59%,,1.20%,5.15%,5.41%,1.98%,4.40%,,2.88%
2026-07-11 17:00:00,0.280 Mpa,,0.177 Mpa,0.248 Mpa,0.0677 Mpa,0.293 Mpa,0.247 Mpa,,0.332 Mpa,8.37%,,3.24%,4.85%,1.62%,4.36%,6.69%,,5.86%
2026-07-11 19:00:00,0.246 Mpa,,0.0926 Mpa,0.214 Mpa,0.0974 Mpa,0.281 Mpa,0.423 Mpa,,0.339 Mpa,6.93%,,0.963%,3.52%,2%,4.61%,12.7%,,5.64%
2026-07-11 21:00:00,0.198 Mpa,,0.110 Mpa,0.189 Mpa,0.0809 Mpa,0.282 Mpa,0.229 Mpa,,0.268 Mpa,5.75%,,1.37%,3.82%,2.95%,4.78%,6.31%,,4.42%
2026-07-11 23:00:00,0.123 Mpa,,0.247 Mpa,0.260 Mpa,0.0303 Mpa,0.296 Mpa,0.211 Mpa,,0.183 Mpa,4.29%,,4.73%,5.31%,0.00870%,5.32%,6.95%,,1.20%
2026-07-12 01:00:00,0.205 Mpa,,0.235 Mpa,0.172 Mpa,0.0621 Mpa,0.386 Mpa,0.170 Mpa,,0.212 Mpa,5.39%,,6.44%,2.06%,1.01%,6.66%,5.59%,,2.22%
2026-07-12 03:00:00,0.0796 Mpa,,0.255 Mpa,0.172 Mpa,0.0859 Mpa,0.334 Mpa,0.417 Mpa,,0.220 Mpa,2.87%,,6.94%,2.26%,1.91%,3.47%,11.1%,,2.33%
2026-07-12 05:00:00,0.161 Mpa,,0.274 Mpa,0.178 Mpa,0.0833 Mpa,0.285 Mpa,0.279 Mpa,,0.236 Mpa,5.51%,,6.24%,2.39%,1.83%,3.96%,7.82%,,3.37%
2026-07-12 07:00:00,0.138 Mpa,,0.113 Mpa,0.146 Mpa,0.113 Mpa,0.270 Mpa,0.468 Mpa,,0.242 Mpa,4.89%,,1.87%,1.41%,3.03%,3.51%,12.7%,,3.36%
2026-07-12 09:00:00,0.225 Mpa,,0.177 Mpa,0.118 Mpa,0.365 Mpa,0.259 Mpa,0.263 Mpa,,0.411 Mpa,5.98%,,3.66%,1.06%,10.6%,3.53%,7.03%,,8.12%
2026-07-12 11:00:00,0.259 Mpa,,0.191 Mpa,0.272 Mpa,0.124 Mpa,0.302 Mpa,0.280 Mpa,,0.274 Mpa,7.00%,,3.71%,5.25%,3.38%,4.11%,7.43%,,4.62%
2026-07-12 13:00:00,0.258 Mpa,,0.218 Mpa,0.253 Mpa,0.327 Mpa,0.326 Mpa,0.573 Mpa,,0.349 Mpa,7.08%,,5.76%,5.21%,9.15%,4.48%,15.1%,,5.72%
2026-07-12 15:00:00,0.1000 Mpa,,0.115 Mpa,0.126 Mpa,0.575 Mpa,0.253 Mpa,0.240 Mpa,,0.229 Mpa,3.27%,,1.93%,2.38%,24.3%,3.20%,6.74%,,2.54%
2026-07-12 17:00:00,0.174 Mpa,,0.188 Mpa,0.485 Mpa,0.0874 Mpa,0.309 Mpa,0.297 Mpa,,0.356 Mpa,5.99%,,3.88%,11.0%,1.51%,5.17%,9.61%,,6.10%
2026-07-12 19:00:00,0.366 Mpa,,0.300 Mpa,0.544 Mpa,0.361 Mpa,0.286 Mpa,0.423 Mpa,,0.169 Mpa,11.2%,,6.36%,12.5%,10.2%,5.47%,12.0%,,0.877%
2026-07-12 21:00:00,0.361 Mpa,,0.181 Mpa,0.0803 Mpa,0.372 Mpa,0.321 Mpa,0.273 Mpa,,0.301 Mpa,10.4%,,2.99%,0.332%,10.2%,5.65%,7.79%,,4.93%
2026-07-12 23:00:00,0.523 Mpa,,0.295 Mpa,0.124 Mpa,0.211 Mpa,0.328 Mpa,0.166 Mpa,,0.519 Mpa,14.7%,,6.27%,1.68%,5.69%,5.80%,4.51%,,9.93%
2026-07-13 01:00:00,0.268 Mpa,,0.228 Mpa,0.101 Mpa,,0.275 Mpa,0.224 Mpa,,0.218 Mpa,7.93%,,4.99%,0.911%,,3.50%,6.26%,,2.22%
2026-07-13 03:00:00,0.385 Mpa,,0.0139 Mpa,0.209 Mpa,0.100 Mpa,0.318 Mpa,0.298 Mpa,,0.387 Mpa,11.3%,,0%,3.18%,2.14%,5.98%,7.32%,,6.72%
2026-07-13 05:00:00,,,0.262 Mpa,0.321 Mpa,0.0996 Mpa,0.268 Mpa,0.200 Mpa,,0.306 Mpa,,,5.66%,5.82%,2.95%,3.88%,5.20%,,5.41%
2026-07-13 07:00:00,,,0.154 Mpa,0.236 Mpa,0.332 Mpa,0.393 Mpa,0.224 Mpa,,0.272 Mpa,,,2.97%,3.86%,10.3%,6.38%,5.91%,,3.33%
2026-07-13 09:00:00,0.00206 Mpa,,0.187 Mpa,0.336 Mpa,0.0921 Mpa,0.444 Mpa,0.275 Mpa,,0.276 Mpa,2.67%,,3.92%,7.53%,2.18%,7.56%,7.20%,,3.63%
2026-07-13 11:00:00,0.00286 Mpa,,0.183 Mpa,0.196 Mpa,0.0702 Mpa,0.537 Mpa,0.252 Mpa,,0.522 Mpa,3.07%,,3.87%,2.64%,1.84%,9.78%,6.39%,,10.5%
2026-07-13 13:00:00,,,0.251 Mpa,0.758 Mpa,0.224 Mpa,0.659 Mpa,0.479 Mpa,,0.263 Mpa,,,5.72%,18.3%,6.11%,12.9%,13.1%,,3.68%
2026-07-13 15:00:00,,,0.160 Mpa,0.456 Mpa,0.775 Mpa,0.285 Mpa,0.404 Mpa,,0.206 Mpa,,,3.20%,10.3%,22.4%,3.75%,10.9%,,1.91%
2026-07-13 17:00:00,,,0.160 Mpa,0.253 Mpa,0.0240 Mpa,0.275 Mpa,0.276 Mpa,,0.221 Mpa,,,2.52%,4.58%,0.551%,4.58%,9.20%,,2.48%
2026-07-13 19:00:00,,,0.281 Mpa,0.183 Mpa,0.167 Mpa,0.268 Mpa,0.756 Mpa,,0.182 Mpa,,,6.04%,2.58%,4.27%,2.94%,20.7%,,1.26%
2026-07-13 21:00:00,,,0.294 Mpa,0.192 Mpa,0.107 Mpa,0.275 Mpa,0.204 Mpa,,0.145 Mpa,,,6.01%,2.72%,2.72%,4.24%,4.26%,,1.96%
2026-07-13 23:00:00,,,0.339 Mpa,0.186 Mpa,0.0288 Mpa,0.307 Mpa,0.410 Mpa,,0.177 Mpa,,,7.32%,2.83%,0%,5.09%,10.7%,,2.46%
2026-07-14 01:00:00,,,0.0922 Mpa,0.187 Mpa,0.142 Mpa,0.485 Mpa,0.168 Mpa,,0.166 Mpa,,,1.27%,2.21%,3.32%,8.94%,4.05%,,0.696%
2026-07-14 03:00:00,,,0.188 Mpa,0.173 Mpa,0.352 Mpa,0.463 Mpa,0.707 Mpa,,0.206 Mpa,,,3.58%,1.82%,9.82%,9.39%,19.8%,,1.73%
2026-07-14 05:00:00,,,0.162 Mpa,0.401 Mpa,0.831 Mpa,0.323 Mpa,0.246 Mpa,,0.219 Mpa,,,2.77%,8.28%,23.5%,5.42%,6.57%,,2.47%
2026-07-14 07:00:00,,,0.204 Mpa,0.213 Mpa,0.471 Mpa,0.637 Mpa,0.246 Mpa,,0.207 Mpa,,,3.66%,2.83%,13.1%,12.8%,5.94%,,1.99%
2026-07-14 09:00:00,,,0.531 Mpa,0.175 Mpa,,0.715 Mpa,0.241 Mpa,,0.212 Mpa,,,13.0%,1.84%,,15.1%,6.27%,,2.25%
2026-07-14 11:00:00,,,0.217 Mpa,0.342 Mpa,,0.562 Mpa,0.303 Mpa,,0.245 Mpa,,,4.30%,6.40%,,10.8%,7.65%,,3.04%
2026-07-14 13:00:00,,,0.144 Mpa,0.196 Mpa,0.271 Mpa,0.650 Mpa,0.233 Mpa,,0.227 Mpa,,,2.34%,2.40%,7.32%,13.5%,5.74%,,2.46%
2026-07-14 15:00:00,,,0.192 Mpa,0.191 Mpa,0.320 Mpa,0.634 Mpa,0.191 Mpa,,0.347 Mpa,,,4.37%,2.19%,8.65%,15.3%,6.10%,,6.12%
2026-07-14 17:00:00,,,0.206 Mpa,0.202 Mpa,0.168 Mpa,0.355 Mpa,0.228 Mpa,,0.203 Mpa,,,4.35%,3.23%,4.55%,6.26%,7.52%,,2.35%
2026-07-14 19:00:00,,,0.220 Mpa,0.163 Mpa,0.0925 Mpa,0.302 Mpa,0.273 Mpa,,0.281 Mpa,,,4.03%,1.37%,2.07%,3.63%,8.22%,,4.28%
2026-07-14 21:00:00,,,0.117 Mpa,0.269 Mpa,0.135 Mpa,0.247 Mpa,0.310 Mpa,,0.205 Mpa,,,1.06%,4.73%,3.71%,2.25%,9.44%,,2.43%
2026-07-14 23:00:00,0.00130 Mpa,,0.476 Mpa,0.163 Mpa,0.0825 Mpa,0.316 Mpa,0.298 Mpa,,0.251 Mpa,2.05%,,11.0%,1.61%,2.23%,3.73%,9.05%,,3.47%
2026-07-15 01:00:00,0.00134 Mpa,,0.0734 Mpa,0.186 Mpa,0.164 Mpa,0.280 Mpa,0.0546 Mpa,,0.128 Mpa,3.28%,,0.780%,2.53%,4.63%,4.48%,5.02%,,1.83%
2026-07-15 03:00:00,0.0857 Mpa,,0.127 Mpa,0.273 Mpa,0.0646 Mpa,0.257 Mpa,0.203 Mpa,,0.215 Mpa,3.52%,,1.39%,4.47%,1.95%,2.28%,5.95%,,3.07%
2026-07-15 05:00:00,0.440 Mpa,,0.131 Mpa,0.243 Mpa,0.0855 Mpa,0.269 Mpa,0.298 Mpa,,0.151 Mpa,11.4%,,1.96%,3.52%,1.63%,3.73%,9.13%,,0.834%
2026-07-15 07:00:00,0.312 Mpa,,0.224 Mpa,0.225 Mpa,0.192 Mpa,0.282 Mpa,0.269 Mpa,,0.347 Mpa,9.41%,,4.51%,3.10%,4.71%,3.39%,7.84%,,5.52%
2026-07-15 09:00:00,0 Mpa,,0.116 Mpa,0.224 Mpa,0.0584 Mpa,0.252 Mpa,0.257 Mpa,,0.166 Mpa,2.00%,,1.62%,3.03%,1.12%,3.12%,7.59%,,1.03%
2026-07-15 11:00:00,0 Mpa,,0.149 Mpa,0.209 Mpa,0.130 Mpa,0.517 Mpa,0.253 Mpa,,0.161 Mpa,2.27%,,3.05%,2.81%,3.15%,9.70%,7.21%,,0.821%
2026-07-15 13:00:00,0.000406 Mpa,,0.189 Mpa,0.228 Mpa,0.112 Mpa,0.256 Mpa,0.266 Mpa,,0.152 Mpa,2.36%,,3.87%,3.40%,2.40%,2.30%,5.51%,,0.701%
2026-07-15 15:00:00,0.0330 Mpa,,0.164 Mpa,0.387 Mpa,0.0303 Mpa,0.317 Mpa,0.228 Mpa,,0.224 Mpa,1.67%,,3.22%,7.58%,0.255%,3.59%,5.94%,,2.56%
2026-07-15 17:00:00,0.160 Mpa,,0.123 Mpa,0.196 Mpa,0.0188 Mpa,0.249 Mpa,0.232 Mpa,,0.199 Mpa,5.26%,,1.75%,2.35%,0.824%,1.98%,6.05%,,3.62%
2026-07-15 19:00:00,0.370 Mpa,,0.124 Mpa,0.185 Mpa,0.0269 Mpa,0.323 Mpa,0.213 Mpa,,0.151 Mpa,10.5%,,1.43%,1.73%,0.372%,3.18%,6.69%,,1.58%
2026-07-15 21:00:00,0.379 Mpa,,0.134 Mpa,0.227 Mpa,0.0889 Mpa,0.254 Mpa,0.312 Mpa,,0.220 Mpa,11.5%,,1.54%,4.00%,1.86%,1.16%,8.47%,,3.42%
2026-07-15 23:00:00,0.323 Mpa,,0.287 Mpa,0.209 Mpa,0.134 Mpa,0.295 Mpa,0.335 Mpa,,0.168 Mpa,9.36%,,5.67%,2.58%,2.86%,2.33%,8.54%,,1.35%
2026-07-16 01:00:00,0.330 Mpa,,0.183 Mpa,0.247 Mpa,0.260 Mpa,0.266 Mpa,0.130 Mpa,,0.233 Mpa,8.36%,,3.49%,4.04%,7.12%,1.78%,5.11%,,3.88%
2026-07-16 03:00:00,0.395 Mpa,,0.133 Mpa,0.185 Mpa,0.302 Mpa,0.250 Mpa,0.211 Mpa,,0.156 Mpa,11.7%,,1.72%,1.93%,8.47%,1.52%,5.54%,,1.91%
2026-07-16 05:00:00,0.158 Mpa,,0.207 Mpa,0.260 Mpa,0.0269 Mpa,0.282 Mpa,0.217 Mpa,,0.168 Mpa,5.05%,,4.25%,3.39%,0.364%,4.17%,6.46%,,1.17%
2026-07-16 07:00:00,0.0785 Mpa,,0.144 Mpa,0.212 Mpa,0.143 Mpa,0.331 Mpa,0.244 Mpa,,0.170 Mpa,1.74%,,2.11%,1.96%,3.67%,4.77%,6.33%,,0.984%
2026-07-16 09:00:00,0.0953 Mpa,,0.205 Mpa,0.168 Mpa,0.318 Mpa,0.317 Mpa,0.234 Mpa,,0.189 Mpa,3.51%,,3.81%,1.08%,9.25%,3.94%,7.28%,,1.25%
2026-07-16 11:00:00,0.148 Mpa,,0.111 Mpa,0.210 Mpa,0.211 Mpa,0.272 Mpa,0.226 Mpa,,0.144 Mpa,4.71%,,1.34%,2.25%,5.82%,2.84%,6.38%,,0.867%
2026-07-16 13:00:00,0.0665 Mpa,,0.145 Mpa,0.204 Mpa,0.0960 Mpa,0.412 Mpa,0.342 Mpa,,0.246 Mpa,1.60%,,2.00%,2.91%,2.06%,6.35%,10.2%,,4.38%
2026-07-16 15:00:00,0.100 Mpa,,0.226 Mpa,0.209 Mpa,0.424 Mpa,0.274 Mpa,0.282 Mpa,,0.215 Mpa,2.69%,,4.31%,2.12%,11.7%,2.58%,7.54%,,2.02%
2026-07-16 17:00:00,0.216 Mpa,,0.105 Mpa,0.210 Mpa,0.383 Mpa,0.292 Mpa,0.344 Mpa,,0.219 Mpa,7.10%,,1.46%,2.20%,10.7%,5.03%,7.58%,,2.24%
2026-07-16 19:00:00,0.160 Mpa,,0.266 Mpa,0.203 Mpa,0.299 Mpa,0.268 Mpa,0.262 Mpa,,0.208 Mpa,5.17%,,5.12%,1.99%,8.47%,2.30%,5.02%,,2.13%
2026-07-16 21:00:00,0.183 Mpa,,0.198 Mpa,0.179 Mpa,0.125 Mpa,0.292 Mpa,0.170 Mpa,,0.222 Mpa,5.97%,,3.51%,1.23%,2.84%,4.52%,3.69%,,2.53%
2026-07-16 23:00:00,0.425 Mpa,,0.292 Mpa,0.232 Mpa,0.413 Mpa,0.252 Mpa,0.254 Mpa,,0.175 Mpa,12.5%,,6.16%,3.03%,11.5%,3.22%,4.86%,,1.15%
2026-07-17 01:00:00,0.119 Mpa,,0.170 Mpa,0.237 Mpa,0.160 Mpa,0.303 Mpa,0.225 Mpa,,0.212 Mpa,4.48%,,2.85%,2.59%,3.90%,4.97%,5.50%,,2.53%
2026-07-17 03:00:00,0.102 Mpa,,0.157 Mpa,0.241 Mpa,0.172 Mpa,0.275 Mpa,0.227 Mpa,,0.314 Mpa,5.11%,,2.72%,2.77%,4.59%,2.86%,3.79%,,6.14%
2026-07-17 05:00:00,0.171 Mpa,,0.124 Mpa,0.260 Mpa,0.377 Mpa,0.306 Mpa,0.366 Mpa,,0.467 Mpa,5.43%,,1.93%,3.31%,10.8%,4.46%,10.3%,,10.4%
2026-07-17 07:00:00,0.174 Mpa,,0.239 Mpa,0.234 Mpa,0.130 Mpa,0.321 Mpa,0.251 Mpa,,0.263 Mpa,4.92%,,4.78%,2.82%,3.41%,3.50%,6.00%,,3.53%
2026-07-17 09:00:00,0.260 Mpa,,0.170 Mpa,0.225 Mpa,0.0553 Mpa,0.308 Mpa,0.486 Mpa,,0.235 Mpa,7.91%,,3.14%,2.36%,0.925%,3.51%,13.1%,,2.63%
2026-07-17 11:00:00,0.133 Mpa,,0.129 Mpa,0.212 Mpa,0.0887 Mpa,0.277 Mpa,0.233 Mpa,,0.289 Mpa,4.42%,,1.98%,2.46%,1.89%,2.33%,5.83%,,4.56%
2026-07-17 13:00:00,0.193 Mpa,0.0199 Mpa,0.135 Mpa,0.173 Mpa,0.0476 Mpa,0.183 Mpa,0.269 Mpa,,0.255 Mpa,5.38%,3.57%,1.86%,1.47%,1.25%,0.443%,7.66%,,4.09%
2026-07-17 15:00:00,0.0924 Mpa,0.0241 Mpa,0.144 Mpa,0.139 Mpa,0.0450 Mpa,0.237 Mpa,0.337 Mpa,,0.342 Mpa,3.21%,4.13%,2.00%,1.12%,1.04%,1.60%,8.22%,,5.67%
2026-07-17 17:00:00,0.148 Mpa,,0.117 Mpa,0.266 Mpa,0.116 Mpa,0.275 Mpa,0.277 Mpa,,0.294 Mpa,4.51%,,1.22%,3.98%,2.73%,2.94%,7.94%,,4.27%
2026-07-17 19:00:00,0.148 Mpa,,0.140 Mpa,0.309 Mpa,0.151 Mpa,0.279 Mpa,0.225 Mpa,,0.288 Mpa,5.84%,,1.83%,4.92%,3.56%,4.10%,5.81%,,4.08%
2026-07-17 21:00:00,0.170 Mpa,,0.201 Mpa,0.211 Mpa,0.0789 Mpa,0.257 Mpa,0.0472 Mpa,,0.164 Mpa,6.12%,,3.34%,2.27%,1.18%,3.41%,2.84%,,0.986%
2026-07-17 23:00:00,0.175 Mpa,0.0166 Mpa,0.192 Mpa,0.201 Mpa,0.0166 Mpa,0.266 Mpa,,,0.217 Mpa,5.93%,0%,3.28%,2.29%,0%,5.05%,,,2.21%
