"Time","P_BW - I38","P_BW - I39","P_BW - I40","P_BW - I41","P_BW - I42","P_BW - I43","P_BW - I44","P_BW - I47","P_BW - I48","%BW - I38","%BW - I39","%BW - I40","%BW - I41","%BW - I42","%BW - I43","%BW - I44","%BW - I47","%BW - I48"
2026-06-21 15:00:00,0.108 Mpa,6.09 Mpa,,0.0611 Mpa,,,,,,4.77%,15.9%,,0%,,,,,
2026-06-21 17:00:00,0.0748 Mpa,5.87 Mpa,0.156 Mpa,0.252 Mpa,,0.465 Mpa,0.105 Mpa,0.195 Mpa,,3.04%,8.03%,1.92%,4.37%,,6.28%,6.58%,0.526%,
2026-06-21 19:00:00,0.0756 Mpa,6.10 Mpa,0.169 Mpa,0.162 Mpa,,0.299 Mpa,0.237 Mpa,0.245 Mpa,,3.02%,9.45%,2.26%,1.99%,,2.79%,8.08%,0%,
2026-06-21 21:00:00,0.0981 Mpa,6.10 Mpa,0.160 Mpa,0.254 Mpa,,0.331 Mpa,0.254 Mpa,0.272 Mpa,,3.39%,9.40%,2.40%,4.11%,,3.67%,7.91%,3.19%,
2026-06-21 23:00:00,0.0993 Mpa,6.10 Mpa,0.257 Mpa,0.160 Mpa,0.202 Mpa,0.284 Mpa,0.142 Mpa,0.292 Mpa,,3.68%,6.03%,5.09%,1.61%,5.70%,2.34%,6.21%,2.81%,
2026-06-22 01:00:00,0.336 Mpa,6.10 Mpa,0.235 Mpa,0.175 Mpa,0.00212 Mpa,0.357 Mpa,0.169 Mpa,0.267 Mpa,,10.2%,7.37%,4.13%,1.59%,0%,4.99%,7.88%,3.51%,
2026-06-22 03:00:00,0.201 Mpa,3.73 Mpa,0.214 Mpa,0.214 Mpa,0.0372 Mpa,0.312 Mpa,0.276 Mpa,0.252 Mpa,,6.85%,5.40%,4.15%,3.01%,0.286%,3.18%,8.74%,1.89%,
2026-06-22 05:00:00,0.156 Mpa,0.246 Mpa,0.149 Mpa,0.220 Mpa,0.0616 Mpa,0.351 Mpa,0.144 Mpa,0.549 Mpa,,5.59%,12.8%,1.95%,3.71%,1.51%,5.59%,5.64%,11.3%,
2026-06-22 07:00:00,0.110 Mpa,0.0989 Mpa,0.354 Mpa,0.205 Mpa,0.198 Mpa,0.363 Mpa,0.160 Mpa,0.388 Mpa,,5.32%,9.36%,7.39%,2.80%,5.41%,5.29%,6.35%,6.55%,
2026-06-22 09:00:00,0.169 Mpa,0.112 Mpa,0.624 Mpa,0.178 Mpa,0.0469 Mpa,0.337 Mpa,0.672 Mpa,0.387 Mpa,,6.08%,10.7%,15.4%,1.72%,1.49%,4.48%,20.8%,7.20%,
2026-06-22 11:00:00,0.198 Mpa,0.147 Mpa,0.300 Mpa,0.215 Mpa,0.135 Mpa,0.850 Mpa,0.154 Mpa,0.443 Mpa,,5.49%,12.3%,6.80%,2.70%,3.33%,16.6%,5.82%,7.28%,
2026-06-22 13:00:00,0.132 Mpa,0.248 Mpa,0.231 Mpa,0.181 Mpa,0.0594 Mpa,,0.376 Mpa,0.388 Mpa,,3.75%,12.0%,4.61%,2.76%,2.13%,,12.3%,6.50%,
