"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58"
2026-06-22 16:00:00,0.178 Mpa,0.159 Mpa,0.0900 Mpa,0.0616 Mpa,0.0791 Mpa,0.129 Mpa,0.128 Mpa,0.205 Mpa,0.122 Mpa,
2026-06-22 19:00:00,0.294 Mpa,0.0918 Mpa,0.212 Mpa,0.104 Mpa,0.0968 Mpa,0.0443 Mpa,0.0546 Mpa,0.136 Mpa,0.0556 Mpa,
2026-06-22 22:00:00,0.306 Mpa,0.159 Mpa,0.0939 Mpa,0.0752 Mpa,0.205 Mpa,0 Mpa,0.154 Mpa,0.0882 Mpa,0.114 Mpa,
2026-06-23 01:00:00,0.00421 Mpa,0 Mpa,0.0533 Mpa,0.0974 Mpa,0.0944 Mpa,0.0917 Mpa,0.141 Mpa,0.149 Mpa,0.120 Mpa,
2026-06-23 04:00:00,0.140 Mpa,0.432 Mpa,0.0368 Mpa,0.0701 Mpa,0.0681 Mpa,0.115 Mpa,0.129 Mpa,0.107 Mpa,0.0708 Mpa,
2026-06-23 07:00:00,0.201 Mpa,0.108 Mpa,0.0930 Mpa,0.0762 Mpa,0.0623 Mpa,0.0668 Mpa,0.0910 Mpa,0.119 Mpa,0.150 Mpa,
2026-06-23 10:00:00,0.146 Mpa,0.188 Mpa,0.179 Mpa,0.0789 Mpa,0.0893 Mpa,0.0507 Mpa,0.130 Mpa,0.151 Mpa,0.159 Mpa,
2026-06-23 13:00:00,0.115 Mpa,0.205 Mpa,0.0589 Mpa,0.0595 Mpa,0.0747 Mpa,0.114 Mpa,0.0810 Mpa,0.0801 Mpa,0.124 Mpa,
2026-06-23 16:00:00,0.104 Mpa,0.0660 Mpa,0.117 Mpa,0.0680 Mpa,0.0697 Mpa,0.0954 Mpa,0.0673 Mpa,0.163 Mpa,0.111 Mpa,
2026-06-23 19:00:00,0.0884 Mpa,0.107 Mpa,0.168 Mpa,0.0683 Mpa,0.0886 Mpa,0.125 Mpa,0.168 Mpa,0.225 Mpa,0.0588 Mpa,
2026-06-23 22:00:00,0.152 Mpa,0.178 Mpa,0.138 Mpa,0.138 Mpa,0.0968 Mpa,0.182 Mpa,0.115 Mpa,0.116 Mpa,0.137 Mpa,
2026-06-24 01:00:00,0.128 Mpa,0.118 Mpa,0.125 Mpa,0.0500 Mpa,0.0879 Mpa,0.265 Mpa,0.135 Mpa,0.0505 Mpa,0.268 Mpa,
2026-06-24 04:00:00,0.206 Mpa,0.0651 Mpa,0.118 Mpa,0.0459 Mpa,0.200 Mpa,0.0869 Mpa,0.0579 Mpa,0.117 Mpa,0.140 Mpa,
2026-06-24 07:00:00,0.137 Mpa,0.168 Mpa,0.0537 Mpa,0.110 Mpa,0.113 Mpa,0.158 Mpa,0.235 Mpa,0.0971 Mpa,0.143 Mpa,
2026-06-24 10:00:00,0.222 Mpa,0.207 Mpa,0.0728 Mpa,0.128 Mpa,0.0944 Mpa,0.0572 Mpa,0.0942 Mpa,0.148 Mpa,0.0877 Mpa,
2026-06-24 13:00:00,0.242 Mpa,0.0648 Mpa,0.0616 Mpa,0.211 Mpa,0.160 Mpa,0.0617 Mpa,0.194 Mpa,0.0616 Mpa,0.0715 Mpa,
2026-06-24 16:00:00,0.119 Mpa,0.125 Mpa,0.105 Mpa,0.120 Mpa,0.182 Mpa,0.0380 Mpa,0.171 Mpa,0.147 Mpa,0.0845 Mpa,
2026-06-24 19:00:00,0.116 Mpa,0.0949 Mpa,0.0370 Mpa,0.0567 Mpa,0.0210 Mpa,0.145 Mpa,0.0893 Mpa,0.0793 Mpa,0.0554 Mpa,
2026-06-24 22:00:00,0.116 Mpa,0.124 Mpa,0.143 Mpa,0.127 Mpa,0.0859 Mpa,0.0800 Mpa,0.187 Mpa,0.104 Mpa,0.0913 Mpa,
2026-06-25 01:00:00,0.112 Mpa,0.0637 Mpa,0.109 Mpa,0.0177 Mpa,0.110 Mpa,0.0873 Mpa,0.120 Mpa,0.163 Mpa,0.0725 Mpa,
2026-06-25 04:00:00,0.144 Mpa,0.0988 Mpa,0.0917 Mpa,0.0355 Mpa,0.119 Mpa,0.0867 Mpa,0.148 Mpa,0.202 Mpa,0.111 Mpa,
2026-06-25 07:00:00,0.0698 Mpa,0.0790 Mpa,0 Mpa,0.126 Mpa,0.0824 Mpa,0.126 Mpa,0.127 Mpa,0.0831 Mpa,0.0742 Mpa,
2026-06-25 10:00:00,0.109 Mpa,0.107 Mpa,0.0559 Mpa,0.0541 Mpa,0.107 Mpa,0.0810 Mpa,0.0804 Mpa,0.118 Mpa,0.0838 Mpa,
2026-06-25 13:00:00,0.0980 Mpa,0.0989 Mpa,0.189 Mpa,0.0465 Mpa,0.0940 Mpa,0.362 Mpa,0.130 Mpa,0.121 Mpa,0.144 Mpa,
2026-06-25 16:00:00,0.0514 Mpa,0.141 Mpa,0.102 Mpa,0.0419 Mpa,0.129 Mpa,0.396 Mpa,0.205 Mpa,0.132 Mpa,0.121 Mpa,
2026-06-25 19:00:00,0.132 Mpa,0.109 Mpa,0.0707 Mpa,0.0624 Mpa,0.129 Mpa,0.213 Mpa,0.186 Mpa,0.131 Mpa,0.123 Mpa,
2026-06-25 22:00:00,0.120 Mpa,0.277 Mpa,0.135 Mpa,0.140 Mpa,0.0443 Mpa,0.115 Mpa,0.131 Mpa,0.166 Mpa,0.0938 Mpa,
2026-06-26 01:00:00,0.125 Mpa,0.129 Mpa,0.135 Mpa,0.0319 Mpa,0.0635 Mpa,0.0932 Mpa,0.0742 Mpa,0.119 Mpa,0.0841 Mpa,
2026-06-26 04:00:00,0.140 Mpa,0.125 Mpa,0.140 Mpa,0.0806 Mpa,0.0695 Mpa,0.110 Mpa,0.155 Mpa,0.146 Mpa,0.0927 Mpa,
2026-06-26 07:00:00,0.178 Mpa,0.0404 Mpa,0.0110 Mpa,0.155 Mpa,0.135 Mpa,0.207 Mpa,0.0896 Mpa,0.106 Mpa,0.120 Mpa,
2026-06-26 10:00:00,0.0971 Mpa,,0.101 Mpa,0.0526 Mpa,0.111 Mpa,0.299 Mpa,0.188 Mpa,0.121 Mpa,0.0905 Mpa,
2026-06-26 13:00:00,0.136 Mpa,,0.125 Mpa,0.0277 Mpa,0.158 Mpa,0.315 Mpa,0.105 Mpa,0.0896 Mpa,0.124 Mpa,
2026-06-26 16:00:00,0.0975 Mpa,0.0210 Mpa,0.167 Mpa,0.0446 Mpa,0.0625 Mpa,0.132 Mpa,0.145 Mpa,0.192 Mpa,0.0985 Mpa,
2026-06-26 19:00:00,0.105 Mpa,0.0496 Mpa,0.0456 Mpa,0.0571 Mpa,0.137 Mpa,0.140 Mpa,0.142 Mpa,0.0710 Mpa,0.114 Mpa,
2026-06-26 22:00:00,0.195 Mpa,0.0898 Mpa,0.116 Mpa,0.0964 Mpa,0.222 Mpa,0.0694 Mpa,0.166 Mpa,0.0549 Mpa,0.0806 Mpa,
2026-06-27 01:00:00,0.0549 Mpa,0.148 Mpa,0.000615 Mpa,0.0420 Mpa,0.182 Mpa,0.163 Mpa,0.154 Mpa,0.0410 Mpa,0.202 Mpa,
2026-06-27 04:00:00,0.0627 Mpa,0.115 Mpa,0.0267 Mpa,0.0571 Mpa,0.0573 Mpa,0.0669 Mpa,0.142 Mpa,0.118 Mpa,0.160 Mpa,
2026-06-27 07:00:00,0.0592 Mpa,0.0607 Mpa,0.0462 Mpa,0.119 Mpa,0.123 Mpa,0.111 Mpa,0.147 Mpa,0.0821 Mpa,0.134 Mpa,
2026-06-27 10:00:00,0.0735 Mpa,0.0408 Mpa,0.131 Mpa,0.0717 Mpa,0.125 Mpa,0.0956 Mpa,0.366 Mpa,0.0887 Mpa,0.0528 Mpa,
2026-06-27 13:00:00,0.110 Mpa,0.0894 Mpa,0.0528 Mpa,0.135 Mpa,0.107 Mpa,0.167 Mpa,0.117 Mpa,0.135 Mpa,0.112 Mpa,
2026-06-27 16:00:00,0.0973 Mpa,0.0145 Mpa,0.0756 Mpa,,0.117 Mpa,0.107 Mpa,0.0363 Mpa,0.237 Mpa,0.183 Mpa,
