"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58"
2026-07-20 13:00:00,0.276 Mpa,0.0637 Mpa,0.135 Mpa,0.0301 Mpa,0.118 Mpa,0.141 Mpa,0.0988 Mpa,0.0769 Mpa,0.115 Mpa,0.129 Mpa
2026-07-20 16:00:00,0.125 Mpa,0.0947 Mpa,0.353 Mpa,0.00334 Mpa,0.183 Mpa,0.245 Mpa,0.0289 Mpa,0.125 Mpa,0.163 Mpa,0.0755 Mpa
2026-07-20 19:00:00,0.132 Mpa,0.0669 Mpa,0.377 Mpa,0.0884 Mpa,0.201 Mpa,0.173 Mpa,0.0889 Mpa,0.0402 Mpa,0.177 Mpa,0.0798 Mpa
2026-07-20 22:00:00,0.169 Mpa,0.0329 Mpa,0.0533 Mpa,0.0409 Mpa,0.0501 Mpa,0.257 Mpa,0.373 Mpa,0.189 Mpa,0.0537 Mpa,0.102 Mpa
2026-07-21 01:00:00,0.158 Mpa,0.123 Mpa,0.0644 Mpa,0.0829 Mpa,0.161 Mpa,0.117 Mpa,0.102 Mpa,0.113 Mpa,0.103 Mpa,0.0755 Mpa
2026-07-21 04:00:00,0.0989 Mpa,0.0532 Mpa,0.0723 Mpa,0.0719 Mpa,0.120 Mpa,0.0574 Mpa,0.0447 Mpa,0.129 Mpa,0.124 Mpa,0.121 Mpa
2026-07-21 07:00:00,0.122 Mpa,0.0537 Mpa,0.0789 Mpa,0.0471 Mpa,0.0417 Mpa,0.0653 Mpa,0.111 Mpa,0.0714 Mpa,0.0989 Mpa,0.0679 Mpa
2026-07-21 10:00:00,0.199 Mpa,0.0863 Mpa,0.0839 Mpa,0.0555 Mpa,0.153 Mpa,0.0796 Mpa,0.255 Mpa,0.0777 Mpa,0.101 Mpa,0.154 Mpa
2026-07-21 13:00:00,0.0994 Mpa,0.0932 Mpa,0.0547 Mpa,0.0549 Mpa,0.124 Mpa,0.122 Mpa,0.150 Mpa,0.108 Mpa,0.137 Mpa,0.0617 Mpa
2026-07-21 16:00:00,0.0772 Mpa,0.144 Mpa,0.0435 Mpa,0.0692 Mpa,0.0774 Mpa,0.103 Mpa,0.125 Mpa,0.0903 Mpa,0.0990 Mpa,0.0773 Mpa
2026-07-21 19:00:00,0.0718 Mpa,0.285 Mpa,0.0883 Mpa,0.0470 Mpa,0.127 Mpa,0.103 Mpa,0.147 Mpa,0.0742 Mpa,0.0674 Mpa,0.115 Mpa
2026-07-21 22:00:00,0.0672 Mpa,0.331 Mpa,0.347 Mpa,,0.0205 Mpa,0.100 Mpa,0.144 Mpa,0.118 Mpa,0.0659 Mpa,0.116 Mpa
2026-07-22 01:00:00,0.0899 Mpa,0.178 Mpa,0.0582 Mpa,0.0755 Mpa,0.0577 Mpa,0.112 Mpa,0.128 Mpa,0.0536 Mpa,0.0980 Mpa,0.0898 Mpa
2026-07-22 04:00:00,0.0428 Mpa,0.224 Mpa,0.0830 Mpa,0.0892 Mpa,0.0495 Mpa,0.139 Mpa,0.109 Mpa,0.0709 Mpa,0.0780 Mpa,0.193 Mpa
2026-07-22 07:00:00,0.0994 Mpa,0.0423 Mpa,0.119 Mpa,0.0638 Mpa,0.0650 Mpa,0.0882 Mpa,0.115 Mpa,0.0838 Mpa,0.111 Mpa,0.235 Mpa
2026-07-22 10:00:00,0.178 Mpa,0.192 Mpa,0.111 Mpa,0.0642 Mpa,0.126 Mpa,0.102 Mpa,0.203 Mpa,0.0733 Mpa,0.132 Mpa,0.122 Mpa
2026-07-22 13:00:00,0.230 Mpa,0.0567 Mpa,0.0971 Mpa,0.0559 Mpa,0.114 Mpa,0.846 Mpa,0.112 Mpa,0.114 Mpa,0.0745 Mpa,0.0306 Mpa
2026-07-22 16:00:00,0.143 Mpa,0.165 Mpa,0.138 Mpa,0.106 Mpa,0.160 Mpa,0.0667 Mpa,0.0730 Mpa,0.109 Mpa,0.143 Mpa,0.187 Mpa
2026-07-22 19:00:00,0.0916 Mpa,0.366 Mpa,0.106 Mpa,0.0590 Mpa,0.0995 Mpa,0.102 Mpa,0.155 Mpa,0.0603 Mpa,0.0738 Mpa,0.136 Mpa
2026-07-22 22:00:00,0.222 Mpa,0.211 Mpa,0.200 Mpa,0.104 Mpa,0.0624 Mpa,0.120 Mpa,0.144 Mpa,0.132 Mpa,0.123 Mpa,0.132 Mpa
2026-07-23 01:00:00,0.145 Mpa,0.154 Mpa,0.131 Mpa,0.0854 Mpa,0.0654 Mpa,0.198 Mpa,0.164 Mpa,0.0851 Mpa,0.0695 Mpa,0.0405 Mpa
2026-07-23 04:00:00,0.0729 Mpa,0.0908 Mpa,0.0754 Mpa,0.0874 Mpa,0.0654 Mpa,0.186 Mpa,0.109 Mpa,0.0791 Mpa,0.0607 Mpa,0.0564 Mpa
2026-07-23 07:00:00,0.145 Mpa,0.0411 Mpa,0.0422 Mpa,0.0649 Mpa,0.158 Mpa,0.137 Mpa,0.238 Mpa,0.0682 Mpa,0.0632 Mpa,0.0835 Mpa
2026-07-23 10:00:00,0.0874 Mpa,0.0518 Mpa,0.0341 Mpa,0.207 Mpa,0.168 Mpa,0.132 Mpa,0.133 Mpa,0.0887 Mpa,0.0513 Mpa,0.101 Mpa
2026-07-23 13:00:00,0.243 Mpa,0.0924 Mpa,0.0895 Mpa,0.0772 Mpa,0.0982 Mpa,0.0722 Mpa,0.419 Mpa,0.107 Mpa,0.0861 Mpa,0.0951 Mpa
2026-07-23 16:00:00,0.0435 Mpa,0.0897 Mpa,0.178 Mpa,,0.0702 Mpa,0.0912 Mpa,0.133 Mpa,0.124 Mpa,0.0717 Mpa,0.107 Mpa
2026-07-23 19:00:00,0.0182 Mpa,0.0475 Mpa,0.00994 Mpa,0.0605 Mpa,0.0588 Mpa,0.0109 Mpa,0.373 Mpa,0.0839 Mpa,0.115 Mpa,0.119 Mpa
2026-07-23 22:00:00,0.0654 Mpa,0.0538 Mpa,0.000599 Mpa,0.158 Mpa,0.0697 Mpa,0.0578 Mpa,0.163 Mpa,0.0958 Mpa,0.0692 Mpa,0.105 Mpa
2026-07-24 01:00:00,0.132 Mpa,0.122 Mpa,0.0925 Mpa,0.0637 Mpa,0.135 Mpa,0.212 Mpa,0.128 Mpa,0.0931 Mpa,0.0804 Mpa,0.0968 Mpa
2026-07-24 04:00:00,0.0647 Mpa,0.198 Mpa,0.0441 Mpa,0.0242 Mpa,0.195 Mpa,0.134 Mpa,0.0926 Mpa,0.0950 Mpa,0.0931 Mpa,0.0941 Mpa
2026-07-24 07:00:00,0.107 Mpa,0.0575 Mpa,0.0373 Mpa,0.0239 Mpa,0.145 Mpa,0.103 Mpa,0.0804 Mpa,0.226 Mpa,0.0698 Mpa,0.0720 Mpa
2026-07-24 10:00:00,0.149 Mpa,0.127 Mpa,0.0630 Mpa,0.144 Mpa,0.145 Mpa,0.190 Mpa,0.106 Mpa,0.136 Mpa,0.0824 Mpa,0.0490 Mpa
2026-07-24 13:00:00,0.131 Mpa,0.0899 Mpa,0.0902 Mpa,0.127 Mpa,0.131 Mpa,0.170 Mpa,0.213 Mpa,0.209 Mpa,0.0489 Mpa,0.140 Mpa
2026-07-24 16:00:00,0.134 Mpa,0.105 Mpa,0.0380 Mpa,0.165 Mpa,0.111 Mpa,0.0920 Mpa,0.273 Mpa,0.128 Mpa,0.0910 Mpa,
2026-07-24 19:00:00,0.184 Mpa,0.0516 Mpa,0.0513 Mpa,0.125 Mpa,0.187 Mpa,0.210 Mpa,0.240 Mpa,0.104 Mpa,,
2026-07-24 22:00:00,0.106 Mpa,0.0981 Mpa,0.0664 Mpa,0.0705 Mpa,0.0711 Mpa,0.0986 Mpa,0.116 Mpa,0.0943 Mpa,0 Mpa,
2026-07-25 01:00:00,0.0654 Mpa,0.108 Mpa,0.0692 Mpa,0.000253 Mpa,0.192 Mpa,0.120 Mpa,0.0886 Mpa,0.110 Mpa,0.0713 Mpa,0.0655 Mpa
2026-07-25 04:00:00,0.0438 Mpa,0.138 Mpa,0.0780 Mpa,,0.0929 Mpa,0.0931 Mpa,0.126 Mpa,0.132 Mpa,0.0837 Mpa,0.126 Mpa
2026-07-25 07:00:00,0.117 Mpa,0.126 Mpa,0.0781 Mpa,0.422 Mpa,0.0529 Mpa,0.0573 Mpa,0.162 Mpa,0.0674 Mpa,0.0882 Mpa,0.116 Mpa
2026-07-25 10:00:00,0.182 Mpa,0.0308 Mpa,0.0965 Mpa,,0.118 Mpa,0.276 Mpa,0.253 Mpa,0.0854 Mpa,0.0922 Mpa,0.0180 Mpa
2026-07-25 13:00:00,0.160 Mpa,0.0789 Mpa,0.0845 Mpa,,0.134 Mpa,0.120 Mpa,0.115 Mpa,0.222 Mpa,0.161 Mpa,0.0584 Mpa
2026-07-25 16:00:00,0.0986 Mpa,0.0617 Mpa,0.0541 Mpa,0.00147 Mpa,0.119 Mpa,0.144 Mpa,0.474 Mpa,0.0476 Mpa,0.148 Mpa,0.0639 Mpa
2026-07-25 19:00:00,0.130 Mpa,0.0700 Mpa,0.0661 Mpa,,0.0229 Mpa,0.180 Mpa,0.0721 Mpa,0.0475 Mpa,0.0984 Mpa,0.0997 Mpa
2026-07-25 22:00:00,0.144 Mpa,0.105 Mpa,0.0884 Mpa,0.000800 Mpa,0.101 Mpa,0.141 Mpa,0.276 Mpa,0.155 Mpa,0.0771 Mpa,0.133 Mpa
2026-07-26 01:00:00,0.0777 Mpa,0.115 Mpa,0.0624 Mpa,0.345 Mpa,0.235 Mpa,0.239 Mpa,0.114 Mpa,0.107 Mpa,0.0831 Mpa,0.0472 Mpa
2026-07-26 04:00:00,0.156 Mpa,0.133 Mpa,0.112 Mpa,0.0766 Mpa,0.0977 Mpa,,0.0866 Mpa,0.111 Mpa,0.0883 Mpa,0.108 Mpa
2026-07-26 07:00:00,0.112 Mpa,0.168 Mpa,0.117 Mpa,0.0730 Mpa,0.152 Mpa,,0.131 Mpa,0.0877 Mpa,0.124 Mpa,0.108 Mpa
2026-07-26 10:00:00,0.127 Mpa,0.0914 Mpa,0.134 Mpa,0.0829 Mpa,0.190 Mpa,0.0449 Mpa,0.0988 Mpa,0.0931 Mpa,0.169 Mpa,0.136 Mpa
2026-07-26 13:00:00,0.0782 Mpa,0.0831 Mpa,0.354 Mpa,,0.126 Mpa,,0.0847 Mpa,0.115 Mpa,0.210 Mpa,0.155 Mpa
2026-07-26 16:00:00,0.0921 Mpa,0.116 Mpa,0.0874 Mpa,,0.139 Mpa,,0.127 Mpa,0.144 Mpa,0.124 Mpa,0.113 Mpa
2026-07-26 19:00:00,0.141 Mpa,0.0822 Mpa,0.138 Mpa,,0.471 Mpa,,0.0728 Mpa,0.140 Mpa,0.0464 Mpa,0.0956 Mpa
2026-07-26 22:00:00,0.0671 Mpa,0.228 Mpa,0.0400 Mpa,,0.255 Mpa,,0.103 Mpa,0.139 Mpa,0.0817 Mpa,0.0630 Mpa
2026-07-27 01:00:00,0.0868 Mpa,0.0548 Mpa,0.162 Mpa,0.695 Mpa,0.171 Mpa,,0.0994 Mpa,0.213 Mpa,0.0214 Mpa,0 Mpa
2026-07-27 04:00:00,0.117 Mpa,0.201 Mpa,0.0815 Mpa,0.134 Mpa,0.137 Mpa,0 Mpa,0.0776 Mpa,0.170 Mpa,0.122 Mpa,0.0825 Mpa
2026-07-27 07:00:00,0.136 Mpa,0.0800 Mpa,0.118 Mpa,0.102 Mpa,0.178 Mpa,,0.202 Mpa,0.137 Mpa,0.0994 Mpa,0.0950 Mpa
2026-07-27 10:00:00,0.0867 Mpa,0.108 Mpa,0.0880 Mpa,0.110 Mpa,0.124 Mpa,0.148 Mpa,0.105 Mpa,0.104 Mpa,0.0779 Mpa,0.160 Mpa
2026-07-27 13:00:00,0.173 Mpa,0.128 Mpa,0.0751 Mpa,0.103 Mpa,0.0561 Mpa,0.128 Mpa,0.112 Mpa,0.108 Mpa,0.138 Mpa,0.110 Mpa
2026-07-27 16:00:00,0.0814 Mpa,0.0798 Mpa,0.0150 Mpa,0.113 Mpa,0.0168 Mpa,0.144 Mpa,0.191 Mpa,0.101 Mpa,0.181 Mpa,0.116 Mpa
2026-07-27 19:00:00,0.123 Mpa,0.115 Mpa,0.00317 Mpa,0.130 Mpa,0.122 Mpa,0.148 Mpa,0.161 Mpa,0.0856 Mpa,0.118 Mpa,0.0992 Mpa
2026-07-27 22:00:00,0.100 Mpa,0.114 Mpa,0.0324 Mpa,0.164 Mpa,0.258 Mpa,0.156 Mpa,0.123 Mpa,0.0743 Mpa,0.0966 Mpa,0.0394 Mpa
2026-07-28 01:00:00,0.197 Mpa,0.0950 Mpa,0.00995 Mpa,0.0924 Mpa,0.116 Mpa,0.104 Mpa,0.194 Mpa,0.0717 Mpa,0.118 Mpa,0.109 Mpa
2026-07-28 04:00:00,0.113 Mpa,0.163 Mpa,0.296 Mpa,0.226 Mpa,0.0435 Mpa,0.266 Mpa,0.128 Mpa,0.116 Mpa,0.123 Mpa,0.642 Mpa
2026-07-28 07:00:00,0.203 Mpa,0.533 Mpa,0.0652 Mpa,0.0202 Mpa,0.0571 Mpa,0.245 Mpa,0.103 Mpa,0.0901 Mpa,0.0537 Mpa,0.162 Mpa
2026-07-28 10:00:00,0.206 Mpa,0.239 Mpa,0.0782 Mpa,0.0480 Mpa,0.137 Mpa,0.340 Mpa,0.0625 Mpa,0.0759 Mpa,0.116 Mpa,0.148 Mpa
2026-07-28 13:00:00,0.375 Mpa,0.0585 Mpa,0.0766 Mpa,0.0745 Mpa,0.0138 Mpa,0.251 Mpa,0.0637 Mpa,0.0883 Mpa,0.365 Mpa,0.109 Mpa
2026-07-28 16:00:00,0.219 Mpa,0.0817 Mpa,0.00270 Mpa,0.0521 Mpa,0.00352 Mpa,0.153 Mpa,0.0999 Mpa,0.174 Mpa,0.344 Mpa,0.193 Mpa
2026-07-28 19:00:00,0.407 Mpa,0.110 Mpa,0.184 Mpa,0.0901 Mpa,0.0510 Mpa,0.141 Mpa,0.0743 Mpa,0.116 Mpa,0.351 Mpa,0.0933 Mpa
2026-07-28 22:00:00,,0.0689 Mpa,0.353 Mpa,0.0511 Mpa,0.0911 Mpa,0.101 Mpa,0.104 Mpa,0.162 Mpa,0.138 Mpa,0.126 Mpa
2026-07-29 01:00:00,,0.238 Mpa,0.0582 Mpa,0.0401 Mpa,0.213 Mpa,0.203 Mpa,0.136 Mpa,0.145 Mpa,0.296 Mpa,0.0925 Mpa
2026-07-29 04:00:00,,0.300 Mpa,0.192 Mpa,0.0753 Mpa,0.101 Mpa,0.232 Mpa,0.137 Mpa,0.0442 Mpa,0.360 Mpa,0.0809 Mpa
2026-07-29 07:00:00,,0.219 Mpa,0.153 Mpa,0.137 Mpa,0.113 Mpa,0.200 Mpa,0.129 Mpa,0.0912 Mpa,0.243 Mpa,0.0970 Mpa
2026-07-29 10:00:00,,0.186 Mpa,0.161 Mpa,0 Mpa,0.0471 Mpa,0.201 Mpa,0.101 Mpa,0.211 Mpa,0.0934 Mpa,0.214 Mpa
2026-07-29 13:00:00,0.268 Mpa,0.0727 Mpa,1.82 Mpa,0.0119 Mpa,0.146 Mpa,0.191 Mpa,0.120 Mpa,0.187 Mpa,0.176 Mpa,
2026-07-29 16:00:00,0.285 Mpa,0.130 Mpa,0.00580 Mpa,0.0945 Mpa,0.190 Mpa,0.0904 Mpa,0.100 Mpa,0.134 Mpa,0.203 Mpa,0.0697 Mpa
2026-07-29 19:00:00,0.113 Mpa,0.0771 Mpa,,0.0657 Mpa,0.0926 Mpa,0.0961 Mpa,0.0685 Mpa,0.0901 Mpa,0.0524 Mpa,0.0611 Mpa
2026-07-29 22:00:00,0.0641 Mpa,0.0607 Mpa,,0.0641 Mpa,0.0606 Mpa,0.134 Mpa,0.133 Mpa,0.240 Mpa,0.0888 Mpa,0.0497 Mpa
2026-07-30 01:00:00,0.0255 Mpa,0.0813 Mpa,,0.0679 Mpa,0.115 Mpa,0.118 Mpa,0.102 Mpa,0.0793 Mpa,0.146 Mpa,0.103 Mpa
2026-07-30 04:00:00,0.0590 Mpa,0.122 Mpa,,0.0762 Mpa,0.161 Mpa,0.0757 Mpa,0.0415 Mpa,0.0842 Mpa,0.194 Mpa,0.0803 Mpa
2026-07-30 07:00:00,0.134 Mpa,0.0424 Mpa,0.0746 Mpa,0.0489 Mpa,0.0554 Mpa,0.0232 Mpa,0.108 Mpa,0.135 Mpa,0.242 Mpa,0.116 Mpa
2026-07-30 10:00:00,0.0619 Mpa,0.0676 Mpa,0.106 Mpa,0.0730 Mpa,0.129 Mpa,0.0939 Mpa,0.179 Mpa,0.126 Mpa,0.0182 Mpa,0.0794 Mpa
2026-07-30 13:00:00,0.0205 Mpa,0.127 Mpa,0.0999 Mpa,0.107 Mpa,0.0667 Mpa,0.120 Mpa,0.131 Mpa,0.182 Mpa,,0.122 Mpa
2026-07-30 16:00:00,0.129 Mpa,0.0669 Mpa,0.138 Mpa,0.0840 Mpa,0.160 Mpa,0.130 Mpa,0.0475 Mpa,0.221 Mpa,,0.136 Mpa
2026-07-30 19:00:00,0.0778 Mpa,,0.0727 Mpa,0.116 Mpa,0.0396 Mpa,0.120 Mpa,0.115 Mpa,0.0916 Mpa,,0.133 Mpa
2026-07-30 22:00:00,0.0865 Mpa,,0.111 Mpa,0.175 Mpa,0.102 Mpa,0.121 Mpa,0.151 Mpa,0.0666 Mpa,0.217 Mpa,0.0847 Mpa
2026-07-31 01:00:00,0.0985 Mpa,0 Mpa,0.189 Mpa,0.173 Mpa,0.0263 Mpa,0.0401 Mpa,0.166 Mpa,0.0929 Mpa,0.289 Mpa,0.0675 Mpa
2026-07-31 04:00:00,0.0475 Mpa,0.104 Mpa,0.136 Mpa,0.126 Mpa,0.0614 Mpa,,0.153 Mpa,0.0615 Mpa,0.199 Mpa,0.0975 Mpa
2026-07-31 07:00:00,0.324 Mpa,0.0811 Mpa,0.128 Mpa,0.0876 Mpa,0.131 Mpa,,0.0794 Mpa,0.0847 Mpa,0.104 Mpa,0.119 Mpa
2026-07-31 10:00:00,0.112 Mpa,0.0718 Mpa,0.144 Mpa,0.0637 Mpa,0.0408 Mpa,0.0861 Mpa,0.0852 Mpa,0.0943 Mpa,0.0474 Mpa,0.0730 Mpa
2026-07-31 13:00:00,0.309 Mpa,0.398 Mpa,0.126 Mpa,0.0781 Mpa,0.101 Mpa,0.175 Mpa,0.110 Mpa,0.295 Mpa,0.0878 Mpa,0.195 Mpa
2026-07-31 16:00:00,0.101 Mpa,0.101 Mpa,0.124 Mpa,0.0596 Mpa,0.0882 Mpa,0.0558 Mpa,0.102 Mpa,0.132 Mpa,0.108 Mpa,0.124 Mpa
2026-07-31 19:00:00,0.0391 Mpa,0.101 Mpa,0.0757 Mpa,0.0508 Mpa,0.105 Mpa,0.138 Mpa,0.104 Mpa,0.147 Mpa,0.155 Mpa,0.0651 Mpa
2026-07-31 22:00:00,0.101 Mpa,0.135 Mpa,0.146 Mpa,0.150 Mpa,0.0460 Mpa,0.104 Mpa,0.143 Mpa,0.145 Mpa,0.331 Mpa,0.0590 Mpa
2026-08-01 01:00:00,0.0574 Mpa,0.159 Mpa,0.0664 Mpa,0.0477 Mpa,0.0750 Mpa,0.213 Mpa,0.135 Mpa,0.112 Mpa,0.0975 Mpa,0.0850 Mpa
2026-08-01 04:00:00,0.0847 Mpa,0.163 Mpa,0.0248 Mpa,0.0370 Mpa,0.134 Mpa,0.127 Mpa,0.145 Mpa,0.108 Mpa,0.197 Mpa,0.147 Mpa
2026-08-01 07:00:00,0.0703 Mpa,0.146 Mpa,0.0853 Mpa,0.0679 Mpa,0.0644 Mpa,0.0884 Mpa,0.131 Mpa,0.132 Mpa,0.0854 Mpa,0.0771 Mpa
2026-08-01 10:00:00,0.0662 Mpa,0.145 Mpa,0.0665 Mpa,0.0533 Mpa,0.0983 Mpa,0.178 Mpa,0.0528 Mpa,0.147 Mpa,0.0460 Mpa,0.109 Mpa
2026-08-01 13:00:00,0.0801 Mpa,0.113 Mpa,0.238 Mpa,0.127 Mpa,0.183 Mpa,0.124 Mpa,0.113 Mpa,0.0921 Mpa,0.0998 Mpa,0.0473 Mpa
2026-08-01 16:00:00,0.0751 Mpa,0.227 Mpa,0.129 Mpa,0.130 Mpa,0.0428 Mpa,0.130 Mpa,0.103 Mpa,0.320 Mpa,0.107 Mpa,0.108 Mpa
2026-08-01 19:00:00,0.0894 Mpa,0.0759 Mpa,0.101 Mpa,0.0561 Mpa,0.0488 Mpa,0.126 Mpa,0.112 Mpa,0.285 Mpa,0.177 Mpa,0.0776 Mpa
2026-08-01 22:00:00,0.0801 Mpa,0.0812 Mpa,0.134 Mpa,0.0518 Mpa,0.0126 Mpa,0.155 Mpa,0.121 Mpa,0.107 Mpa,0.269 Mpa,0.108 Mpa
2026-08-02 01:00:00,0.191 Mpa,0.176 Mpa,0.0516 Mpa,0.103 Mpa,0.0833 Mpa,0.123 Mpa,0.117 Mpa,0.103 Mpa,0.0832 Mpa,0.0700 Mpa
2026-08-02 04:00:00,0.147 Mpa,0.174 Mpa,0.132 Mpa,,,0.0940 Mpa,0.0466 Mpa,0.0914 Mpa,0.0455 Mpa,0.127 Mpa
2026-08-02 07:00:00,0.180 Mpa,0.149 Mpa,0.0738 Mpa,,0.400 Mpa,0.166 Mpa,0.234 Mpa,0.129 Mpa,0.0318 Mpa,0.0607 Mpa
2026-08-02 10:00:00,0.126 Mpa,0.0628 Mpa,0.114 Mpa,,0 Mpa,0.102 Mpa,0.128 Mpa,0.122 Mpa,0.0410 Mpa,0.0931 Mpa
2026-08-02 13:00:00,0.103 Mpa,0.0617 Mpa,0.0451 Mpa,,,0.165 Mpa,0.0763 Mpa,0.0750 Mpa,0.119 Mpa,0.0466 Mpa
2026-08-02 16:00:00,0.0974 Mpa,0.0609 Mpa,0.165 Mpa,,,0.0993 Mpa,0.106 Mpa,0.143 Mpa,0.103 Mpa,0.0844 Mpa
2026-08-02 19:00:00,0.123 Mpa,0.126 Mpa,0.0701 Mpa,,,0.0733 Mpa,0.181 Mpa,0.102 Mpa,0.0483 Mpa,0.0691 Mpa
2026-08-02 22:00:00,0.190 Mpa,0.0633 Mpa,0.0569 Mpa,0 Mpa,,0.106 Mpa,0.108 Mpa,0.105 Mpa,0.0891 Mpa,0.0777 Mpa
2026-08-03 01:00:00,0.114 Mpa,0.143 Mpa,0.124 Mpa,0.0683 Mpa,,0.142 Mpa,0.129 Mpa,0.119 Mpa,0.189 Mpa,0.119 Mpa
2026-08-03 04:00:00,0.109 Mpa,0.0905 Mpa,0.0711 Mpa,0.0828 Mpa,,0.126 Mpa,0.104 Mpa,0.139 Mpa,0.0484 Mpa,0.0891 Mpa
2026-08-03 07:00:00,0.262 Mpa,0.177 Mpa,0.0815 Mpa,0.0611 Mpa,0 Mpa,0.139 Mpa,0.0842 Mpa,0.0672 Mpa,0.0815 Mpa,0.0857 Mpa
2026-08-03 10:00:00,0.0800 Mpa,0.175 Mpa,0.0596 Mpa,0.0630 Mpa,0.00744 Mpa,0.179 Mpa,0.107 Mpa,0.0930 Mpa,0.135 Mpa,0.148 Mpa
2026-08-03 13:00:00,0.121 Mpa,0.143 Mpa,0.0151 Mpa,0.0707 Mpa,0.0597 Mpa,0.144 Mpa,0.155 Mpa,0.0799 Mpa,0.122 Mpa,0.0875 Mpa
2026-08-03 16:00:00,0.0547 Mpa,0.119 Mpa,0.0336 Mpa,0.0316 Mpa,0.101 Mpa,0.162 Mpa,0.126 Mpa,0.218 Mpa,0.104 Mpa,0.0920 Mpa
2026-08-03 19:00:00,0.0854 Mpa,0.0758 Mpa,0.0562 Mpa,0.0538 Mpa,0.128 Mpa,0.0600 Mpa,0.0304 Mpa,0.162 Mpa,0.0602 Mpa,0.109 Mpa
2026-08-03 22:00:00,0.126 Mpa,0.0289 Mpa,0.0717 Mpa,0.0463 Mpa,0.189 Mpa,0.133 Mpa,0.141 Mpa,0.134 Mpa,0.0730 Mpa,0.164 Mpa
2026-08-04 01:00:00,0.0439 Mpa,0 Mpa,0.102 Mpa,0.0240 Mpa,0.154 Mpa,0.115 Mpa,0.0560 Mpa,0.0920 Mpa,0.134 Mpa,0.161 Mpa
2026-08-04 04:00:00,0.0801 Mpa,,0.0917 Mpa,0.0580 Mpa,0.0802 Mpa,0.140 Mpa,,0.114 Mpa,0.104 Mpa,0.144 Mpa
2026-08-04 07:00:00,0.195 Mpa,,0.130 Mpa,0.0803 Mpa,0.0837 Mpa,0.0599 Mpa,0.00227 Mpa,0.101 Mpa,0.0527 Mpa,0.156 Mpa
2026-08-04 10:00:00,0.134 Mpa,,0.0760 Mpa,0.0527 Mpa,0.224 Mpa,0.127 Mpa,0.160 Mpa,0.0792 Mpa,0.116 Mpa,0.158 Mpa
2026-08-04 13:00:00,0.0821 Mpa,,0.125 Mpa,0.0510 Mpa,0.100 Mpa,0.0800 Mpa,0.141 Mpa,0.136 Mpa,0.162 Mpa,0.0782 Mpa
2026-08-04 16:00:00,0.0695 Mpa,,0.233 Mpa,0.0437 Mpa,0.0816 Mpa,0.126 Mpa,0.287 Mpa,0.228 Mpa,0.0765 Mpa,0.0993 Mpa
2026-08-04 19:00:00,0.0737 Mpa,,0.0575 Mpa,0.111 Mpa,0.117 Mpa,0.170 Mpa,0.249 Mpa,0.0957 Mpa,0.0659 Mpa,0.0825 Mpa
2026-08-04 22:00:00,0.213 Mpa,,0.0618 Mpa,0.125 Mpa,0.110 Mpa,0.163 Mpa,0.270 Mpa,0.250 Mpa,0.0710 Mpa,0.0825 Mpa
2026-08-05 01:00:00,0.0705 Mpa,0.0000505 Mpa,0.0791 Mpa,0.0639 Mpa,0.253 Mpa,0.0910 Mpa,0.369 Mpa,0.172 Mpa,0.0455 Mpa,0.0653 Mpa
2026-08-05 04:00:00,0.177 Mpa,0.106 Mpa,0.0917 Mpa,0.0777 Mpa,0.145 Mpa,0.0922 Mpa,0.146 Mpa,0.111 Mpa,0.0790 Mpa,0.0491 Mpa
2026-08-05 07:00:00,0.154 Mpa,0.120 Mpa,0.180 Mpa,0.0620 Mpa,0.110 Mpa,0.0593 Mpa,0.175 Mpa,0.117 Mpa,0.0569 Mpa,0.0861 Mpa
2026-08-05 10:00:00,0.0991 Mpa,0.192 Mpa,,0.0346 Mpa,0.0988 Mpa,0.117 Mpa,0.177 Mpa,0.103 Mpa,0.0618 Mpa,0.0959 Mpa
2026-08-05 13:00:00,0.0974 Mpa,0.171 Mpa,0.0379 Mpa,0.122 Mpa,0.152 Mpa,0.0870 Mpa,0.421 Mpa,0.130 Mpa,0.0918 Mpa,0.0917 Mpa
2026-08-05 16:00:00,0.0885 Mpa,0.0922 Mpa,0.189 Mpa,0.0628 Mpa,0.176 Mpa,0.0750 Mpa,0.0949 Mpa,0.138 Mpa,0.0737 Mpa,0.101 Mpa
2026-08-05 19:00:00,0.176 Mpa,0.0633 Mpa,0.147 Mpa,0.133 Mpa,0.0652 Mpa,0.0559 Mpa,0.253 Mpa,0.0685 Mpa,0.0675 Mpa,0.0752 Mpa
2026-08-05 22:00:00,0.169 Mpa,0.106 Mpa,0.0904 Mpa,0.0757 Mpa,0.179 Mpa,0.120 Mpa,0.108 Mpa,0.0625 Mpa,0.0427 Mpa,0.0944 Mpa
2026-08-06 01:00:00,0.139 Mpa,0.209 Mpa,0.0695 Mpa,0.125 Mpa,0.133 Mpa,0.0763 Mpa,0.121 Mpa,,0.178 Mpa,0.0826 Mpa
2026-08-06 04:00:00,0.160 Mpa,0.129 Mpa,0.132 Mpa,0.120 Mpa,0.164 Mpa,0.0835 Mpa,0.205 Mpa,0.297 Mpa,0.0448 Mpa,0.0867 Mpa
