"Time","%_FW - I38","%_FW - I39","%_FW - I40","%_FW - I41","%_FW - I42","%_FW - I43","%_FW - I44","%_FW - I47","%_FW - I48"
2026-07-10 16:00:00,3.81%,,4.99%,8.99%,5.22%,20.0%,1.71%,,7.40%
2026-07-10 19:00:00,7.18%,,3.85%,6.48%,,3.06%,5.18%,,7.39%
2026-07-10 22:00:00,4.98%,,1.20%,3.64%,,5.51%,5.84%,,5.08%
2026-07-11 01:00:00,8.17%,,1.20%,17.2%,25.1%,7.56%,4.33%,,4.79%
2026-07-11 04:00:00,8.70%,,0%,2.23%,7.60%,3.76%,4.28%,,7.29%
2026-07-11 07:00:00,5.06%,,,1.41%,0.683%,2.35%,4.68%,,4.23%
2026-07-11 10:00:00,3.58%,,11.0%,5.42%,4.07%,0.821%,3.88%,,13.0%
2026-07-11 13:00:00,10.7%,,30.0%,10.4%,6.72%,2.39%,1.84%,,8.34%
2026-07-11 16:00:00,11.2%,,2.41%,4.90%,6.15%,3.18%,4.22%,,8.51%
2026-07-11 19:00:00,24.7%,,0.842%,4.85%,12.1%,2.73%,2.25%,,5.97%
2026-07-11 22:00:00,5.12%,,1.93%,5.68%,1.56%,3.67%,3.76%,,5.51%
2026-07-12 01:00:00,4.42%,,13.9%,3.82%,0.870%,10.2%,11.9%,,3.95%
2026-07-12 04:00:00,7.45%,,14.9%,7.28%,4.68%,7.18%,6.83%,,4.03%
2026-07-12 07:00:00,5.95%,,9.98%,2.81%,3.31%,2.13%,8.79%,,8.49%
2026-07-12 10:00:00,14.1%,,6.56%,5.16%,11.5%,1.87%,4.88%,,11.9%
2026-07-12 13:00:00,16.2%,,3.63%,7.71%,7.04%,1.47%,16.9%,,3.46%
2026-07-12 16:00:00,9.99%,,2.87%,19.4%,11.7%,1.79%,7.78%,,6.36%
2026-07-12 19:00:00,13.2%,,9.92%,8.98%,16.2%,6.84%,3.47%,,3.51%
2026-07-12 22:00:00,16.1%,,5.53%,4.08%,11.0%,6.41%,4.85%,,8.88%
2026-07-13 01:00:00,19.8%,,1.31%,15.6%,6.83%,2.94%,3.28%,,7.23%
2026-07-13 04:00:00,,,8.18%,18.0%,9.94%,3.02%,1.40%,,10.1%
2026-07-13 07:00:00,,,7.42%,6.31%,3.73%,21.0%,7.06%,,6.07%
2026-07-13 10:00:00,0.519%,,2.61%,3.75%,4.59%,9.85%,20.4%,,7.16%
2026-07-13 13:00:00,,,2.95%,19.5%,11.9%,22.9%,13.6%,,4.51%
2026-07-13 16:00:00,,,2.81%,8.74%,10.1%,2.48%,4.59%,,3.36%
2026-07-13 19:00:00,,,6.29%,14.3%,5.36%,3.29%,21.1%,,3.70%
2026-07-13 22:00:00,,,12.7%,14.4%,1.79%,8.47%,5.25%,,4.24%
2026-07-14 01:00:00,,,8.58%,11.2%,12.0%,24.7%,6.70%,,2.29%
2026-07-14 04:00:00,,,7.74%,4.54%,9.43%,10.5%,3.46%,,3.22%
2026-07-14 07:00:00,,,2.91%,4.21%,7.48%,15.1%,3.89%,,3.20%
2026-07-14 10:00:00,,,12.3%,7.84%,,17.6%,5.74%,,6.18%
2026-07-14 13:00:00,,,4.83%,7.20%,11.2%,4.25%,8.80%,,4.59%
2026-07-14 16:00:00,,,7.16%,13.2%,6.00%,5.05%,8.90%,,8.58%
2026-07-14 19:00:00,,,6.53%,5.03%,2.26%,17.6%,5.56%,,4.03%
2026-07-14 22:00:00,0.248%,,3.25%,22.1%,8.05%,1.32%,4.47%,,3.81%
2026-07-15 01:00:00,0.976%,,22.3%,3.80%,3.37%,5.12%,2.92%,,5.68%
2026-07-15 04:00:00,7.83%,,1.06%,4.76%,0.683%,1.07%,3.84%,,35.8%
2026-07-15 07:00:00,13.1%,,12.3%,3.92%,1.81%,2.07%,7.66%,,4.22%
2026-07-15 10:00:00,0.00379%,,1.51%,34.6%,5.66%,3.18%,3.22%,,0.811%
2026-07-15 13:00:00,0.635%,,2.30%,7.28%,5.86%,7.33%,4.73%,,2.63%
2026-07-15 16:00:00,28.8%,,7.14%,3.27%,7.61%,2.78%,3.36%,,3.81%
2026-07-15 19:00:00,12.3%,,1.59%,5.37%,1.62%,3.57%,1.80%,,3.08%
2026-07-15 22:00:00,15.1%,,4.85%,2.12%,1.79%,2.87%,4.60%,,2.30%
2026-07-16 01:00:00,13.8%,,1.68%,6.79%,8.63%,1.34%,3.94%,,3.35%
2026-07-16 04:00:00,12.2%,,4.60%,1.94%,5.53%,1.33%,2.75%,,1.48%
2026-07-16 07:00:00,3.31%,,2.93%,1.76%,8.08%,5.56%,2.01%,,0.386%
2026-07-16 10:00:00,5.43%,,2.55%,2.66%,12.2%,2.04%,0.656%,,0.314%
2026-07-16 13:00:00,4.56%,,1.69%,21.4%,3.07%,3.25%,3.70%,,7.65%
2026-07-16 16:00:00,16.0%,,1.88%,1.35%,10.4%,4.39%,8.42%,,1.45%
2026-07-16 19:00:00,6.94%,,5.08%,2.28%,9.48%,2.70%,12.5%,,1.81%
2026-07-16 22:00:00,10.6%,,7.17%,2.00%,2.55%,0.762%,2.31%,,3.60%
2026-07-17 01:00:00,8.98%,,2.21%,2.84%,5.54%,7.23%,2.52%,,2.75%
2026-07-17 04:00:00,5.65%,,2.11%,4.05%,15.6%,2.55%,2.04%,,6.56%
2026-07-17 07:00:00,11.4%,,14.5%,2.24%,13.1%,3.01%,1.98%,,15.9%
2026-07-17 10:00:00,6.89%,,21.0%,1.97%,1.24%,3.32%,6.73%,,16.6%
2026-07-17 13:00:00,9.60%,13.1%,4.30%,49.0%,1.03%,1.02%,2.09%,,16.4%
2026-07-17 16:00:00,14.0%,16.8%,0.680%,6.45%,3.44%,2.83%,9.82%,,9.82%
2026-07-17 19:00:00,5.14%,,8.87%,10.3%,5.95%,1.81%,1.22%,,3.36%
2026-07-17 22:00:00,8.92%,12.9%,6.86%,3.74%,0.110%,2.21%,,,2.72%
2026-07-18 01:00:00,9.03%,,7.39%,4.73%,3.69%,1.85%,4.58%,,2.73%
2026-07-18 04:00:00,27.1%,,3.03%,4.35%,3.36%,30.3%,2.54%,,3.64%
2026-07-18 07:00:00,5.88%,,5.11%,9.50%,3.85%,5.13%,1.14%,,3.68%
2026-07-18 10:00:00,13.0%,,3.27%,5.70%,3.55%,5.98%,6.41%,,10.2%
2026-07-18 13:00:00,11.8%,,6.41%,1.15%,12.1%,4.78%,5.44%,,5.48%
2026-07-18 16:00:00,2.61%,,3.25%,2.87%,7.49%,5.22%,2.75%,,6.22%
2026-07-18 19:00:00,4.34%,,4.78%,2.85%,7.31%,1.06%,3.17%,,5.55%
2026-07-18 22:00:00,9.85%,,3.46%,1.22%,1.85%,1.20%,2.20%,,2.68%
2026-07-19 01:00:00,4.21%,6.91%,8.66%,3.57%,1.09%,1.22%,1.34%,,8.40%
2026-07-19 04:00:00,8.33%,5.56%,9.69%,2.99%,1.69%,6.04%,2.90%,,5.95%
2026-07-19 07:00:00,12.7%,0.322%,8.15%,6.10%,1.01%,2.76%,5.04%,,3.01%
2026-07-19 10:00:00,7.26%,0.00386%,11.4%,9.00%,14.4%,5.06%,4.19%,,7.46%
2026-07-19 13:00:00,8.30%,1.91%,2.36%,9.40%,30.8%,7.51%,14.4%,,3.78%
2026-07-19 16:00:00,3.51%,7.53%,3.13%,2.51%,,2.59%,4.02%,,11.1%
2026-07-19 19:00:00,14.0%,11.7%,3.56%,9.53%,0.0721%,7.04%,16.7%,,5.86%
2026-07-19 22:00:00,9.03%,0.00874%,2.77%,9.38%,,0.180%,2.10%,,3.71%
2026-07-20 01:00:00,5.27%,0.430%,5.33%,1.84%,,0.475%,8.07%,,7.00%
2026-07-20 04:00:00,8.67%,0.815%,18.7%,3.79%,,8.95%,5.20%,,6.36%
2026-07-20 07:00:00,8.97%,17.7%,8.42%,3.50%,,3.63%,3.14%,,3.06%
2026-07-20 10:00:00,11.7%,8.88%,10.1%,3.03%,,10.2%,5.69%,,8.55%
2026-07-20 13:00:00,6.97%,1.04%,11.9%,36.1%,,10.4%,7.63%,,7.14%
2026-07-20 16:00:00,7.64%,16.7%,15.3%,30.7%,,7.40%,3.90%,,9.05%
2026-07-20 19:00:00,10.2%,12.6%,9.65%,10.8%,,2.65%,6.71%,,11.6%
2026-07-20 22:00:00,3.79%,11.7%,7.87%,4.41%,,1.88%,6.22%,,10.3%
2026-07-21 01:00:00,7.74%,11.1%,6.54%,2.00%,2.51%,25.3%,4.22%,,10.9%
2026-07-21 04:00:00,4.76%,,4.81%,2.16%,4.62%,1.26%,2.79%,,5.14%
2026-07-21 07:00:00,7.20%,5.76%,11.9%,0.862%,5.41%,15.8%,5.50%,,4.99%
2026-07-21 10:00:00,7.54%,9.17%,8.93%,11.2%,2.75%,20.5%,5.22%,,3.11%
2026-07-21 13:00:00,8.12%,,11.0%,11.8%,2.49%,11.8%,9.54%,,8.17%
