"Time","%_FW - I38","%_FW - I39","%_FW - I40","%_FW - I41","%_FW - I42","%_FW - I43","%_FW - I44","%_FW - I47","%_FW - I48"
2026-06-26 22:00:00,6.58%,1.11%,0%,6.94%,0.789%,14.3%,1.10%,12.9%,
2026-06-27 01:00:00,13.5%,10.3%,,7.46%,3.21%,4.63%,0.399%,17.0%,
2026-06-27 04:00:00,4.14%,,,2.87%,6.28%,2.16%,7.26%,13.0%,
2026-06-27 07:00:00,7.69%,,,3.59%,1.19%,0.911%,6.43%,5.57%,
2026-06-27 10:00:00,4.19%,,,1.23%,2.17%,6.58%,2.37%,8.18%,
2026-06-27 13:00:00,11.1%,,0.0121%,8.02%,18.1%,5.14%,5.94%,12.0%,
2026-06-27 16:00:00,7.29%,,4.57%,7.86%,2.54%,6.11%,1.54%,9.24%,
2026-06-27 19:00:00,31.3%,,10.1%,6.64%,8.94%,12.1%,13.5%,14.2%,
2026-06-27 22:00:00,8.32%,,9.16%,14.6%,1.90%,6.83%,7.47%,3.85%,
2026-06-28 01:00:00,11.7%,,1.94%,13.1%,0.931%,3.57%,2.44%,6.87%,
2026-06-28 04:00:00,5.77%,,2.42%,3.00%,3.49%,2.37%,4.45%,11.6%,
2026-06-28 07:00:00,18.4%,,8.90%,4.01%,2.75%,1.33%,6.85%,9.07%,
2026-06-28 10:00:00,9.85%,,9.23%,3.87%,13.2%,1.53%,4.37%,14.7%,
2026-06-28 13:00:00,8.48%,,4.89%,0.924%,3.10%,6.63%,17.1%,11.2%,
2026-06-28 16:00:00,8.69%,,2.40%,4.45%,4.44%,3.64%,13.4%,5.85%,
2026-06-28 19:00:00,19.5%,,2.48%,1.45%,11.6%,6.15%,12.9%,11.9%,
2026-06-28 22:00:00,11.7%,,4.70%,2.73%,4.89%,2.33%,37.3%,13.5%,
2026-06-29 01:00:00,19.8%,,5.54%,4.10%,1.98%,2.80%,22.1%,24.4%,
2026-06-29 04:00:00,13.7%,,4.11%,2.67%,2.67%,1.06%,11.1%,17.5%,
2026-06-29 07:00:00,35.4%,,5.09%,3.20%,12.9%,0.862%,10.6%,7.19%,
2026-06-29 10:00:00,3.14%,,8.57%,1.83%,18.8%,0.979%,11.7%,11.7%,
2026-06-29 13:00:00,7.96%,,4.26%,2.98%,5.60%,1.51%,0.797%,5.04%,
2026-06-29 16:00:00,7.53%,,7.63%,1.82%,6.90%,2.96%,2.41%,8.66%,
2026-06-29 19:00:00,8.67%,,9.39%,3.06%,9.25%,3.28%,20.7%,17.7%,
2026-06-29 22:00:00,15.5%,,5.71%,1.81%,2.26%,18.0%,27.6%,22.8%,
2026-06-30 01:00:00,7.51%,,4.71%,1.49%,3.92%,4.36%,15.8%,18.1%,
2026-06-30 04:00:00,3.46%,,5.54%,1.99%,2.48%,3.21%,14.1%,9.24%,
2026-06-30 07:00:00,7.88%,,14.0%,5.98%,16.8%,7.87%,9.38%,6.48%,
2026-06-30 10:00:00,5.77%,,35.3%,4.77%,2.30%,9.29%,8.10%,10.1%,
2026-06-30 13:00:00,6.56%,,2.89%,1.28%,10.3%,5.16%,16.4%,9.74%,
2026-06-30 16:00:00,4.90%,,5.18%,2.27%,4.47%,1.95%,4.04%,9.05%,
2026-06-30 19:00:00,6.13%,,11.6%,3.68%,10.5%,0.471%,21.8%,7.04%,
2026-06-30 22:00:00,6.71%,,17.5%,21.6%,8.21%,1.18%,24.4%,54.1%,
2026-07-01 01:00:00,8.57%,,3.97%,3.28%,6.46%,2.90%,4.15%,,
2026-07-01 04:00:00,5.71%,,1.76%,4.62%,4.30%,1.13%,1.69%,,
2026-07-01 07:00:00,8.25%,,16.8%,1.63%,9.93%,6.19%,2.79%,,
2026-07-01 10:00:00,8.51%,,4.46%,4.69%,18.6%,9.76%,4.11%,62.1%,
2026-07-01 13:00:00,4.56%,,4.01%,4.77%,4.56%,4.22%,11.1%,,
2026-07-01 16:00:00,3.94%,,2.20%,7.81%,3.64%,3.32%,7.43%,,
2026-07-01 19:00:00,11.5%,,2.38%,9.91%,9.52%,0.852%,2.85%,10.1%,
2026-07-01 22:00:00,6.97%,,3.26%,2.83%,4.44%,2.07%,7.30%,,
2026-07-02 01:00:00,8.60%,,11.5%,6.80%,16.7%,6.96%,4.80%,,
2026-07-02 04:00:00,4.84%,,2.68%,1.75%,5.67%,0.742%,27.0%,,
2026-07-02 07:00:00,9.30%,,1.41%,1.69%,8.55%,1.67%,34.9%,,
2026-07-02 10:00:00,6.21%,,3.78%,1.14%,1.61%,1.49%,17.5%,,
2026-07-02 13:00:00,4.55%,,0.629%,2.93%,8.38%,1.33%,8.40%,,
2026-07-02 16:00:00,2.44%,,11.2%,18.5%,4.02%,4.46%,3.38%,,
2026-07-02 19:00:00,7.75%,,4.20%,3.81%,3.37%,5.68%,8.87%,,
2026-07-02 22:00:00,4.79%,,2.79%,,4.14%,3.75%,4.64%,,
2026-07-03 01:00:00,11.3%,,1.50%,0.789%,4.16%,16.9%,17.6%,,
2026-07-03 04:00:00,6.93%,,1.64%,6.27%,5.41%,17.2%,5.16%,,
2026-07-03 07:00:00,6.82%,,5.24%,9.09%,3.52%,6.78%,2.63%,,
2026-07-03 10:00:00,7.32%,,2.33%,1.59%,5.70%,14.0%,6.46%,,
2026-07-03 13:00:00,4.16%,,3.05%,7.18%,9.03%,21.9%,7.99%,,
2026-07-03 16:00:00,5.00%,,2.43%,2.74%,4.86%,6.78%,2.88%,,
2026-07-03 19:00:00,1.25%,,4.74%,3.51%,15.2%,6.76%,4.25%,,
2026-07-03 22:00:00,3.88%,,1.26%,2.78%,8.06%,15.1%,15.6%,,
2026-07-04 01:00:00,0.0610%,,4.35%,4.50%,8.57%,12.7%,17.9%,,
2026-07-04 04:00:00,,,3.07%,1.93%,2.28%,11.3%,5.24%,,
2026-07-04 07:00:00,0%,,5.38%,4.65%,5.60%,5.08%,10.4%,,
2026-07-04 10:00:00,7.50%,,2.69%,9.83%,5.35%,23.1%,14.0%,,
2026-07-04 13:00:00,7.56%,,18.4%,8.90%,2.48%,18.5%,15.9%,,
2026-07-04 16:00:00,5.35%,,1.82%,3.54%,7.96%,15.0%,14.6%,,
2026-07-04 19:00:00,12.1%,,1.11%,5.89%,6.51%,1.69%,4.35%,,
2026-07-04 22:00:00,5.35%,,12.0%,17.3%,9.07%,1.32%,2.16%,17.8%,
2026-07-05 01:00:00,6.61%,,24.8%,5.94%,3.25%,2.10%,2.03%,,
2026-07-05 04:00:00,6.59%,,0.151%,1.23%,6.98%,3.01%,5.88%,,
2026-07-05 07:00:00,7.74%,,7.07%,35.9%,4.83%,2.13%,6.06%,,
2026-07-05 10:00:00,7.19%,,3.01%,4.66%,5.34%,2.56%,12.0%,,
2026-07-05 13:00:00,6.27%,,2.20%,18.9%,7.13%,8.06%,4.30%,,
2026-07-05 16:00:00,12.2%,,5.47%,6.99%,4.68%,4.81%,3.69%,,
2026-07-05 19:00:00,8.01%,,3.11%,3.37%,7.46%,1.44%,5.81%,,
2026-07-05 22:00:00,5.50%,,2.42%,6.78%,0.679%,13.2%,0.602%,,
2026-07-06 01:00:00,3.12%,,34.5%,9.76%,2.19%,16.1%,6.04%,,
2026-07-06 04:00:00,4.88%,,3.35%,7.93%,1.95%,7.48%,3.21%,,
2026-07-06 07:00:00,1.34%,,3.57%,2.69%,8.17%,3.19%,4.09%,,
2026-07-06 10:00:00,9.19%,,5.55%,3.32%,8.38%,1.66%,4.31%,67.6%,
2026-07-06 13:00:00,4.99%,,5.70%,6.98%,8.18%,4.57%,8.28%,65.4%,
2026-07-06 16:00:00,4.21%,,4.15%,1.62%,36.1%,10.2%,6.91%,45.8%,
2026-07-06 19:00:00,5.80%,,9.24%,3.09%,1.82%,2.04%,2.67%,,
2026-07-06 22:00:00,6.57%,,8.13%,6.04%,2.66%,1.70%,4.16%,,
2026-07-07 01:00:00,4.69%,,16.0%,2.48%,17.0%,2.46%,3.83%,,
2026-07-07 04:00:00,6.16%,,5.95%,28.6%,4.53%,8.47%,1.96%,,
2026-07-07 07:00:00,5.54%,,5.31%,5.90%,5.56%,11.6%,7.00%,,
2026-07-07 10:00:00,6.50%,,5.92%,8.09%,8.08%,,6.40%,,
2026-07-07 13:00:00,9.62%,,4.76%,,19.1%,0.00828%,4.26%,,
2026-07-07 16:00:00,5.18%,,9.06%,1.47%,12.9%,2.89%,15.2%,,
2026-07-07 19:00:00,5.20%,,0.486%,2.25%,1.09%,2.85%,10.8%,,
2026-07-07 22:00:00,2.94%,,3.00%,14.5%,1.09%,2.06%,5.79%,,
2026-07-08 01:00:00,5.58%,,1.90%,14.9%,5.90%,7.24%,2.70%,,
2026-07-08 04:00:00,3.03%,,2.03%,,6.56%,2.09%,6.71%,,
2026-07-08 07:00:00,4.83%,,1.33%,4.53%,8.76%,6.41%,27.0%,,
2026-07-08 10:00:00,3.57%,,3.29%,,5.62%,3.83%,18.0%,,
2026-07-08 13:00:00,1.33%,,4.22%,,7.62%,2.15%,47.9%,,
2026-07-08 16:00:00,3.77%,,3.60%,,7.97%,1.26%,6.05%,,
2026-07-08 19:00:00,15.8%,,1.55%,,5.36%,2.33%,1.62%,,5.36%
2026-07-08 22:00:00,8.73%,,6.35%,,12.3%,0.557%,15.2%,,3.78%
2026-07-09 01:00:00,6.27%,,5.32%,,5.99%,1.81%,7.52%,,6.46%
2026-07-09 04:00:00,13.1%,,2.06%,,4.60%,3.35%,8.84%,,5.67%
2026-07-09 07:00:00,10.7%,,2.06%,,4.59%,6.72%,12.5%,,4.84%
2026-07-09 10:00:00,13.7%,,2.30%,,15.9%,6.42%,14.1%,,5.04%
2026-07-09 13:00:00,14.3%,,3.84%,0.0601%,4.80%,7.43%,1.96%,,2.39%
2026-07-09 16:00:00,12.0%,,2.24%,0.376%,5.17%,2.66%,11.5%,,1.84%
2026-07-09 19:00:00,16.4%,,4.12%,,13.2%,1.51%,1.50%,,9.93%
2026-07-09 22:00:00,11.1%,,1.48%,,8.14%,1.65%,17.6%,,8.81%
2026-07-10 01:00:00,3.59%,,3.45%,0.0481%,10.2%,0.758%,6.63%,,5.56%
2026-07-10 04:00:00,5.77%,,3.83%,43.2%,13.0%,2.60%,27.2%,,9.44%
2026-07-10 07:00:00,5.65%,,3.64%,12.0%,13.2%,7.39%,0.799%,,3.97%
2026-07-10 10:00:00,4.40%,,0.685%,14.3%,3.28%,5.61%,6.67%,,10.0%
2026-07-10 13:00:00,3.82%,,7.99%,6.94%,2.42%,34.2%,0.420%,,7.68%
