"Time","%_FW - I45","%_FW - I49","%_FW - I50","%_FW - I52","%_FW - I53","%_FW - I54","%_FW - I55","%_FW - I56","%_FW - I57","%_FW - I58"
2026-06-28 13:00:00,2.71%,1.45%,4.08%,,4.52%,3.69%,5.97%,19.3%,1.73%,
2026-06-28 16:00:00,13.7%,17.5%,5.35%,,4.57%,4.50%,10.0%,11.3%,3.14%,
2026-06-28 19:00:00,9.96%,7.66%,2.87%,,9.31%,6.58%,3.64%,18.2%,2.45%,
2026-06-28 22:00:00,7.09%,6.32%,2.77%,,7.24%,5.24%,4.53%,4.42%,0.498%,
2026-06-29 01:00:00,8.44%,10.3%,8.92%,12.6%,8.01%,6.31%,2.98%,9.26%,4.87%,
2026-06-29 04:00:00,8.55%,2.83%,2.44%,23.7%,4.50%,6.38%,1.64%,15.4%,3.65%,
2026-06-29 07:00:00,17.1%,4.40%,4.64%,8.06%,2.13%,3.89%,1.50%,9.27%,7.71%,
2026-06-29 10:00:00,17.8%,18.1%,4.68%,8.75%,7.38%,12.1%,1.45%,14.7%,2.55%,
2026-06-29 13:00:00,12.1%,1.84%,6.63%,6.81%,30.8%,4.21%,6.91%,8.37%,8.81%,
2026-06-29 16:00:00,5.93%,6.34%,9.18%,7.60%,17.1%,7.08%,11.2%,13.1%,9.90%,
2026-06-29 19:00:00,7.10%,3.16%,4.01%,30.7%,27.3%,4.28%,8.12%,4.66%,6.59%,
2026-06-29 22:00:00,15.6%,2.21%,3.53%,10.7%,20.9%,3.22%,3.11%,3.28%,3.47%,
2026-06-30 01:00:00,7.86%,12.5%,4.81%,11.0%,29.0%,44.8%,8.26%,3.24%,7.46%,
2026-06-30 04:00:00,6.53%,4.07%,4.92%,9.59%,13.6%,,4.21%,7.30%,1.95%,
2026-06-30 07:00:00,5.22%,9.77%,5.01%,7.64%,13.2%,3.51%,3.32%,11.1%,6.55%,
2026-06-30 10:00:00,3.28%,7.86%,2.55%,7.29%,13.3%,2.40%,1.68%,9.22%,3.06%,
2026-06-30 13:00:00,7.27%,15.7%,2.79%,10.7%,7.87%,,5.93%,15.3%,14.3%,
2026-06-30 16:00:00,4.74%,5.41%,4.18%,6.18%,3.40%,,1.17%,10.3%,3.90%,
2026-06-30 19:00:00,10.3%,6.54%,2.89%,8.93%,39.4%,,4.99%,7.74%,3.86%,
2026-06-30 22:00:00,9.17%,4.02%,3.59%,8.58%,14.1%,,6.09%,7.54%,4.35%,
2026-07-01 01:00:00,26.6%,11.5%,5.90%,9.98%,9.29%,2.11%,4.06%,4.90%,3.66%,
2026-07-01 04:00:00,44.3%,7.47%,2.36%,5.68%,14.3%,10.4%,16.0%,20.4%,3.67%,
2026-07-01 07:00:00,33.5%,11.7%,2.49%,7.19%,37.8%,48.1%,3.83%,3.23%,3.18%,
2026-07-01 10:00:00,6.69%,2.44%,4.13%,7.23%,8.52%,7.91%,3.68%,2.98%,4.34%,
2026-07-01 13:00:00,4.84%,,4.70%,7.57%,9.14%,8.06%,9.84%,4.44%,7.26%,
2026-07-01 16:00:00,3.76%,0.288%,6.82%,10.4%,4.75%,49.7%,5.25%,6.50%,8.00%,
2026-07-01 19:00:00,6.01%,,8.41%,10.9%,4.31%,34.7%,2.39%,2.96%,1.87%,
2026-07-01 22:00:00,6.32%,,5.85%,6.90%,5.45%,14.1%,8.82%,18.9%,7.53%,
2026-07-02 01:00:00,3.35%,,2.90%,12.2%,9.16%,18.8%,17.3%,25.3%,3.41%,
2026-07-02 04:00:00,4.93%,,4.84%,7.79%,3.50%,21.4%,7.06%,4.42%,2.09%,
2026-07-02 07:00:00,4.49%,,5.31%,7.61%,5.83%,23.4%,1.28%,4.52%,4.26%,
2026-07-02 10:00:00,3.04%,1.60%,3.21%,8.53%,2.86%,27.6%,0.915%,3.87%,1.11%,
2026-07-02 13:00:00,13.6%,17.5%,9.90%,11.7%,6.69%,4.95%,2.30%,12.5%,5.90%,8.07%
2026-07-02 16:00:00,9.29%,4.53%,7.38%,10.3%,5.19%,16.1%,3.87%,,4.18%,7.06%
2026-07-02 19:00:00,19.5%,25.0%,1.69%,10.1%,7.85%,12.0%,5.28%,,,5.60%
2026-07-02 22:00:00,3.27%,11.8%,14.0%,8.29%,5.34%,4.20%,5.50%,,5.07%,3.73%
2026-07-03 01:00:00,23.0%,4.68%,5.95%,6.59%,14.3%,7.18%,6.14%,,3.58%,
2026-07-03 04:00:00,,19.8%,4.88%,8.68%,7.92%,5.30%,3.06%,,3.01%,
2026-07-03 07:00:00,,5.96%,3.80%,30.6%,8.79%,4.84%,1.10%,,3.84%,5.73%
2026-07-03 10:00:00,1.20%,1.76%,2.92%,9.60%,8.43%,13.7%,2.33%,,3.06%,5.51%
2026-07-03 13:00:00,1.19%,7.81%,2.61%,7.91%,8.27%,3.52%,3.44%,1.20%,4.47%,12.6%
2026-07-03 16:00:00,17.7%,2.54%,8.21%,9.25%,12.0%,11.4%,4.75%,16.1%,2.65%,66.4%
2026-07-03 19:00:00,8.37%,2.41%,7.63%,5.96%,4.95%,4.54%,7.51%,12.4%,4.47%,25.5%
2026-07-03 22:00:00,8.50%,3.62%,8.64%,9.33%,19.1%,12.2%,3.32%,17.4%,1.01%,45.4%
2026-07-04 01:00:00,29.7%,7.03%,3.88%,8.11%,18.2%,12.2%,4.66%,4.95%,2.37%,62.6%
2026-07-04 04:00:00,3.73%,1.46%,3.83%,25.9%,,13.3%,4.95%,7.31%,2.69%,45.9%
2026-07-04 07:00:00,5.49%,13.0%,3.79%,10.2%,,9.46%,2.12%,2.46%,2.96%,9.59%
2026-07-04 10:00:00,7.05%,,2.49%,15.9%,6.53%,28.2%,7.04%,4.14%,3.85%,7.33%
2026-07-04 13:00:00,,,3.39%,8.30%,,5.59%,2.57%,4.16%,,16.3%
2026-07-04 16:00:00,12.1%,,5.11%,10.1%,,10.2%,1.81%,4.69%,4.15%,15.7%
2026-07-04 19:00:00,11.9%,,5.64%,7.94%,,14.8%,4.25%,4.49%,11.9%,12.5%
2026-07-04 22:00:00,3.55%,,4.91%,8.84%,,27.8%,7.87%,5.26%,5.00%,7.79%
2026-07-05 01:00:00,9.50%,,12.5%,7.18%,,7.22%,1.31%,2.89%,2.14%,7.47%
2026-07-05 04:00:00,4.50%,7.18%,,8.64%,0.717%,2.00%,2.85%,3.49%,15.7%,8.73%
2026-07-05 07:00:00,5.96%,3.10%,21.4%,6.45%,,4.41%,2.16%,4.15%,16.9%,5.05%
2026-07-05 10:00:00,7.20%,1.90%,,8.07%,10.3%,20.8%,16.4%,3.74%,22.9%,7.72%
2026-07-05 13:00:00,5.06%,22.0%,,10.2%,28.5%,3.65%,1.56%,3.25%,3.60%,9.71%
2026-07-05 16:00:00,7.68%,28.9%,,7.64%,10.8%,8.63%,5.31%,3.81%,1.96%,6.23%
2026-07-05 19:00:00,4.94%,6.37%,1.28%,9.37%,7.74%,15.5%,2.43%,4.19%,4.38%,7.95%
2026-07-05 22:00:00,5.82%,5.60%,1.29%,7.15%,11.1%,14.4%,8.92%,14.2%,3.89%,6.88%
2026-07-06 01:00:00,5.89%,7.82%,2.08%,24.5%,6.09%,1.55%,6.35%,5.09%,8.05%,7.71%
2026-07-06 04:00:00,6.45%,3.25%,7.93%,8.95%,7.16%,6.40%,7.21%,3.83%,,10.7%
2026-07-06 07:00:00,3.05%,4.70%,6.23%,8.80%,5.23%,12.1%,5.04%,3.01%,10.00%,7.46%
2026-07-06 10:00:00,9.01%,4.91%,5.08%,10.1%,9.84%,26.4%,16.9%,4.97%,,7.55%
