"Time","%_FW - I45","%_FW - I49","%_FW - I50","%_FW - I52","%_FW - I53","%_FW - I54","%_FW - I55","%_FW - I56","%_FW - I57","%_FW - I58"
2026-06-23 04:00:00,6.63%,6.20%,2.19%,8.01%,6.45%,11.9%,3.03%,3.75%,2.16%,
2026-06-23 07:00:00,15.5%,2.58%,2.79%,6.72%,17.6%,6.17%,4.75%,11.1%,7.23%,
2026-06-23 10:00:00,7.88%,2.89%,5.48%,7.81%,15.9%,4.77%,5.98%,5.35%,6.99%,
2026-06-23 13:00:00,3.31%,8.22%,4.59%,7.65%,4.53%,3.63%,9.87%,11.1%,3.98%,
2026-06-23 16:00:00,6.69%,1.95%,6.55%,7.63%,4.86%,28.5%,2.64%,10.9%,7.59%,
2026-06-23 19:00:00,23.0%,3.31%,7.07%,7.96%,4.59%,21.9%,1.58%,10.5%,0.914%,
2026-06-23 22:00:00,6.78%,4.51%,6.98%,14.4%,4.58%,9.44%,2.91%,13.3%,2.87%,
2026-06-24 01:00:00,13.4%,8.28%,5.70%,7.60%,4.93%,14.0%,6.27%,2.47%,6.06%,
2026-06-24 04:00:00,12.7%,8.27%,6.92%,5.68%,10.4%,8.81%,3.95%,5.56%,11.8%,
2026-06-24 07:00:00,12.7%,9.03%,5.81%,26.1%,12.8%,6.37%,4.37%,3.10%,3.88%,
2026-06-24 10:00:00,9.67%,4.06%,4.31%,16.4%,6.21%,2.42%,1.88%,5.07%,7.76%,
2026-06-24 13:00:00,18.8%,2.46%,3.61%,11.5%,7.99%,7.79%,5.11%,4.55%,1.68%,
2026-06-24 16:00:00,4.31%,4.62%,6.49%,9.76%,7.87%,4.02%,4.05%,15.0%,6.37%,
2026-06-24 19:00:00,5.39%,3.09%,3.83%,7.21%,31.8%,9.68%,3.03%,4.28%,1.65%,
2026-06-24 22:00:00,4.03%,7.06%,4.80%,6.94%,17.3%,4.09%,4.52%,3.68%,7.19%,
2026-06-25 01:00:00,4.41%,2.96%,2.66%,9.94%,6.40%,8.12%,4.87%,8.75%,2.48%,
2026-06-25 04:00:00,5.36%,4.21%,4.46%,6.21%,16.8%,7.81%,6.58%,6.46%,3.61%,
2026-06-25 07:00:00,4.92%,2.12%,1.67%,10.2%,4.62%,7.45%,2.96%,4.23%,4.58%,
2026-06-25 10:00:00,8.17%,3.22%,19.2%,10.3%,4.53%,5.78%,2.51%,6.64%,3.36%,
2026-06-25 13:00:00,6.33%,2.45%,3.36%,8.08%,4.06%,30.1%,15.4%,12.3%,4.72%,
2026-06-25 16:00:00,7.43%,3.18%,5.12%,7.23%,4.47%,19.8%,10.8%,4.21%,3.83%,
2026-06-25 19:00:00,7.50%,3.63%,3.05%,7.52%,7.01%,13.2%,13.4%,6.19%,3.13%,
2026-06-25 22:00:00,6.49%,10.6%,4.52%,11.0%,11.9%,4.08%,18.8%,6.90%,2.48%,
2026-06-26 01:00:00,7.22%,14.3%,5.45%,8.72%,4.48%,13.3%,8.78%,6.46%,3.06%,
2026-06-26 04:00:00,9.08%,4.70%,3.41%,8.75%,5.12%,12.1%,4.70%,3.99%,6.20%,
2026-06-26 07:00:00,7.86%,3.27%,1.65%,15.9%,8.15%,10.4%,2.84%,3.80%,3.26%,
2026-06-26 10:00:00,8.43%,,8.86%,6.38%,5.95%,5.31%,25.0%,3.67%,5.38%,
2026-06-26 13:00:00,5.48%,,6.53%,7.31%,9.91%,8.58%,2.41%,4.44%,6.93%,
2026-06-26 16:00:00,3.75%,2.25%,3.80%,6.54%,4.78%,8.52%,4.08%,4.94%,7.27%,
2026-06-26 19:00:00,4.58%,10.2%,1.02%,9.28%,23.0%,6.19%,2.88%,4.21%,2.98%,
2026-06-26 22:00:00,4.02%,4.63%,3.79%,8.97%,16.7%,3.46%,9.08%,3.83%,6.64%,
2026-06-27 01:00:00,20.1%,4.39%,0%,7.79%,19.0%,8.16%,7.80%,4.11%,15.7%,
2026-06-27 04:00:00,3.96%,5.44%,3.79%,8.10%,4.78%,3.41%,8.86%,2.79%,5.40%,
2026-06-27 07:00:00,4.72%,1.36%,2.30%,10.5%,5.20%,10.3%,6.10%,7.82%,5.60%,
2026-06-27 10:00:00,4.52%,0.989%,5.55%,8.48%,16.7%,14.5%,15.7%,2.24%,3.74%,
2026-06-27 13:00:00,5.50%,6.05%,3.48%,35.5%,7.64%,9.55%,11.3%,9.37%,3.66%,
2026-06-27 16:00:00,5.29%,12.3%,2.64%,,5.16%,4.09%,0.817%,18.1%,5.99%,
2026-06-27 19:00:00,4.82%,,4.90%,,3.02%,5.82%,8.01%,5.33%,1.45%,
2026-06-27 22:00:00,5.67%,4.00%,12.3%,6.14%,3.93%,2.96%,2.28%,4.11%,6.64%,
2026-06-28 01:00:00,4.35%,0.706%,2.73%,,4.94%,4.76%,11.4%,10.6%,3.26%,
2026-06-28 04:00:00,4.44%,16.0%,2.79%,,5.29%,6.52%,4.89%,14.8%,8.84%,
2026-06-28 07:00:00,6.10%,17.1%,6.07%,,10.2%,4.66%,8.88%,3.03%,9.07%,
2026-06-28 10:00:00,4.75%,6.76%,5.86%,,5.45%,11.3%,1.67%,12.8%,4.27%,
