"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48"
2026-06-26 22:00:00,0.106 Mpa,0.00171 Mpa,0.0197 Mpa,0.244 Mpa,0.0678 Mpa,0.392 Mpa,0.207 Mpa,0.287 Mpa,
2026-06-27 01:00:00,0.0306 Mpa,0.0842 Mpa,,0.263 Mpa,0.118 Mpa,0.394 Mpa,0.0409 Mpa,0.332 Mpa,
2026-06-27 04:00:00,0.0487 Mpa,,,0.228 Mpa,0.157 Mpa,0.277 Mpa,0.222 Mpa,0.340 Mpa,
2026-06-27 07:00:00,0.341 Mpa,,,0.201 Mpa,0.151 Mpa,0.302 Mpa,0.197 Mpa,0.284 Mpa,
2026-06-27 10:00:00,0.0880 Mpa,,,0.188 Mpa,0.134 Mpa,0.441 Mpa,0.216 Mpa,0.318 Mpa,
2026-06-27 13:00:00,0.0852 Mpa,,0.141 Mpa,0.283 Mpa,0.144 Mpa,0.352 Mpa,0.347 Mpa,0.276 Mpa,
2026-06-27 16:00:00,0.232 Mpa,,0.0849 Mpa,0.209 Mpa,0.310 Mpa,0.351 Mpa,0.212 Mpa,0.245 Mpa,
2026-06-27 19:00:00,0.116 Mpa,,0.142 Mpa,0.279 Mpa,0.110 Mpa,0.421 Mpa,0.590 Mpa,0.318 Mpa,
2026-06-27 22:00:00,0.228 Mpa,,0.135 Mpa,0.139 Mpa,0.130 Mpa,0.377 Mpa,0.215 Mpa,0.268 Mpa,
2026-06-28 01:00:00,0.274 Mpa,,0.123 Mpa,0.253 Mpa,0.0550 Mpa,0.309 Mpa,0.184 Mpa,0.272 Mpa,
2026-06-28 04:00:00,0.109 Mpa,,0.128 Mpa,0.201 Mpa,0.207 Mpa,0.295 Mpa,0.157 Mpa,0.316 Mpa,
2026-06-28 07:00:00,0.0923 Mpa,,0.202 Mpa,0.258 Mpa,0.110 Mpa,0.294 Mpa,0.220 Mpa,0.319 Mpa,
2026-06-28 10:00:00,0.130 Mpa,,0.243 Mpa,0.0690 Mpa,0.233 Mpa,0.316 Mpa,0.303 Mpa,0.484 Mpa,
2026-06-28 13:00:00,0.0660 Mpa,,0.111 Mpa,0.0612 Mpa,0.285 Mpa,0.413 Mpa,0.272 Mpa,0.234 Mpa,
2026-06-28 16:00:00,0.151 Mpa,,0.141 Mpa,0.197 Mpa,0.105 Mpa,0.347 Mpa,0.260 Mpa,0.247 Mpa,
2026-06-28 19:00:00,0.265 Mpa,,0.146 Mpa,0.159 Mpa,0.253 Mpa,0.412 Mpa,0.676 Mpa,0.327 Mpa,
2026-06-28 22:00:00,0.0915 Mpa,,0.143 Mpa,0.181 Mpa,0.231 Mpa,0.302 Mpa,0.278 Mpa,0.288 Mpa,
2026-06-29 01:00:00,0.111 Mpa,,0.253 Mpa,0.231 Mpa,0.0810 Mpa,0.320 Mpa,0.592 Mpa,0.313 Mpa,
2026-06-29 04:00:00,0.110 Mpa,,0.210 Mpa,0.216 Mpa,0.203 Mpa,0.254 Mpa,0.426 Mpa,0.237 Mpa,
2026-06-29 07:00:00,0.0780 Mpa,,0.176 Mpa,0.224 Mpa,0.192 Mpa,0.272 Mpa,0.532 Mpa,0.302 Mpa,
2026-06-29 10:00:00,0.100 Mpa,,0.172 Mpa,0.154 Mpa,0.190 Mpa,0.271 Mpa,0.305 Mpa,0.328 Mpa,
2026-06-29 13:00:00,0.116 Mpa,,0.162 Mpa,0.220 Mpa,0.258 Mpa,0.294 Mpa,0.260 Mpa,0.256 Mpa,
