sep=,
"Time","I38"
1787063355000,26.676666666666666
1787063370000,26.66
1787063385000,26.663333333333338
1787063400000,26.676666666666666
1787063415000,26.680000000000003
1787063430000,26.69333333333333
1787063445000,26.676666666666666
1787063460000,26.69333333333333
1787063475000,26.646666666666665
1787063490000,26.69333333333334
1787063505000,26.676666666666666
1787063520000,26.709999999999997
1787063535000,26.25
1787063550000,25.38
1787063565000,26.69333333333333
1787063580000,26.685000000000002
1787063595000,
1787063610000,
1787063625000,
1787063640000,26.66
1787063655000,
1787063670000,
1787063685000,
1787063700000,26.76
1787063715000,26.676666666666666
1787063730000,26.66
1787063745000,26.710000000000004
1787063760000,26.69333333333334
1787063775000,26.676666666666666
1787063790000,26.28333333333333
1787063805000,25.756666666666664
1787063820000,26.69333333333334
1787063835000,26.69333333333334
1787063850000,26.676666666666666
1787063865000,26.69333333333334
1787063880000,26.663333333333338
1787063895000,26.710000000000004
1787063910000,26.66
1787063925000,26.679999999999996
1787063940000,26.663333333333338
1787063955000,26.646666666666665
1787063970000,26.663333333333338
1787063985000,26.676666666666666
1787064000000,26.663333333333338
1787064015000,26.676666666666666
1787064030000,26.709999999999997
1787064045000,26.69333333333334
1787064060000,26.66
1787064075000,26.676666666666666
1787064090000,26.666666666666668
1787064105000,26.679999999999996
1787064120000,26.69333333333334
1787064135000,26.646666666666665
1787064150000,26.633333333333336
1787064165000,26.663333333333338
1787064180000,26.646666666666665
1787064195000,26.646666666666665
1787064210000,26.663333333333338
1787064225000,26.646666666666665
1787064240000,26.66333333333333
1787064255000,26.676666666666666
1787064270000,26.650000000000002
1787064285000,26.66
1787064300000,26.676666666666666
1787064315000,26.680000000000003
1787064330000,26.685000000000002
1787064345000,26.646666666666665
1787064360000,25.330000000000002
1787064375000,26.676666666666666
1787064390000,26.66
1787064405000,26.663333333333338
1787064420000,26.676666666666666
1787064435000,26.69333333333334
1787064450000,26.676666666666666
1787064465000,26.676666666666666
1787064480000,26.676666666666666
1787064495000,26.663333333333338
1787064510000,26.633333333333336
1787064525000,26.66
1787064540000,26.633333333333336
1787064555000,26.646666666666665
1787064570000,26.66333333333333
1787064585000,26.66
1787064600000,
1787064615000,
1787064630000,
1787064645000,
1787064660000,
1787064675000,
1787064690000,
1787064705000,
1787064720000,
1787064735000,
1787064750000,
1787064765000,
1787064780000,
1787064795000,
1787064810000,
1787064825000,
1787064840000,
1787064855000,
1787064870000,
1787064885000,26.66
1787064900000,26.646666666666665
1787064915000,26.633333333333336
1787064930000,26.71
1787064945000,26.66333333333333
1787064960000,26.663333333333338
1787064975000,26.66333333333333
1787064990000,26.646666666666665
1787065005000,26.679999999999996
1787065020000,25.38
1787065035000,26.22
1787065050000,26.676666666666666
1787065065000,26.646666666666665
1787065080000,26.616666666666664
1787065095000,26.66
1787065110000,26.633333333333336
1787065125000,26.66
1787065140000,26.66
1787065155000,26.66
1787065170000,26.676666666666666
1787065185000,26.676666666666666
1787065200000,26.646666666666665
1787065215000,26.633333333333336
1787065230000,26.63
1787065245000,26.646666666666665
1787065260000,26.646666666666665
1787065275000,26.676666666666666
1787065290000,26.633333333333336
1787065305000,26.633333333333336
1787065320000,26.616666666666664
1787065335000,26.66
1787065350000,26.63
1787065365000,26.66333333333333
1787065380000,26.676666666666666
1787065395000,26.66
1787065410000,26.646666666666665
1787065425000,26.646666666666665
1787065440000,26.633333333333336
1787065455000,26.680000000000003
1787065470000,25.346666666666668
1787065485000,26.236666666666668
1787065500000,26.676666666666666
1787065515000,26.633333333333336
1787065530000,26.663333333333338
1787065545000,26.676666666666666
1787065560000,26.646666666666665
1787065575000,26.66
1787065590000,26.646666666666665
1787065605000,26.63
1787065620000,26.66
1787065635000,26.66
1787065650000,26.663333333333338
1787065665000,26.66
1787065680000,26.63
1787065695000,26.646666666666665
1787065710000,26.633333333333336
1787065725000,26.66
1787065740000,26.633333333333336
1787065755000,26.646666666666665
1787065770000,26.646666666666665
1787065785000,26.66
1787065800000,26.663333333333338
1787065815000,26.663333333333338
1787065830000,26.66
1787065845000,26.69333333333334
1787065860000,26.676666666666666
1787065875000,26.633333333333336
1787065890000,26.646666666666665
1787065905000,26.66
1787065920000,26.66
1787065935000,26.63
1787065950000,26.66
1787065965000,26.66333333333333
1787065980000,26.66
1787065995000,26.633333333333336
1787066010000,26.613333333333333
1787066025000,26.676666666666666
1787066040000,26.680000000000003
1787066055000,26.663333333333338
1787066070000,26.613333333333333
1787066085000,26.680000000000003
1787066100000,26.66
1787066115000,26.676666666666666
1787066130000,26.66
1787066145000,26.709999999999997
1787066160000,26.676666666666666
1787066175000,26.62
1787066190000,26.663333333333338
1787066205000,26.676666666666666
1787066220000,25.790000000000003
1787066235000,25.76
1787066250000,26.663333333333338
1787066265000,26.663333333333338
1787066280000,26.633333333333336
1787066295000,26.663333333333338
1787066310000,26.646666666666665
1787066325000,26.66333333333333
1787066340000,26.663333333333338
1787066355000,26.646666666666665
1787066370000,26.66333333333333
1787066385000,26.676666666666666
1787066400000,26.633333333333336
1787066415000,26.646666666666665
1787066430000,26.679999999999996
1787066445000,26.646666666666665
1787066460000,26.679999999999996
1787066475000,26.26666666666667
1787066490000,25.363333333333333
1787066505000,26.66
1787066520000,26.663333333333338
1787066535000,26.650000000000002
1787066550000,26.646666666666665
1787066565000,26.680000000000003
1787066580000,26.676666666666666
1787066595000,26.663333333333338
1787066610000,26.646666666666665
1787066625000,26.63
1787066640000,26.676666666666666
1787066655000,26.62
1787066670000,
1787066685000,
1787066700000,
1787066715000,26.66
1787066730000,
1787066745000,
1787066760000,
1787066775000,26.66
1787066790000,26.709999999999997
1787066805000,26.646666666666665
1787066820000,26.646666666666665
1787066835000,26.709999999999997
1787066850000,26.680000000000003
1787066865000,26.676666666666666
1787066880000,26.66
1787066895000,26.66
1787066910000,26.646666666666665
1787066925000,26.676666666666666
1787066940000,26.676666666666666
1787066955000,26.676666666666666
1787066970000,26.646666666666665
1787066985000,26.676666666666666
1787067000000,26.646666666666665
1787067015000,26.66
1787067030000,26.676666666666666
1787067045000,26.646666666666665
1787067060000,26.616666666666664
1787067075000,26.21666666666667
1787067090000,25.313333333333333
1787067105000,26.186666666666667
1787067120000,26.633333333333336
1787067135000,26.66333333333333
1787067150000,26.616666666666664
1787067165000,26.63
1787067180000,26.66
1787067195000,26.603333333333335
1787067210000,26.633333333333336
1787067225000,26.646666666666665
1787067240000,26.646666666666665
1787067255000,26.613333333333333
1787067270000,26.633333333333336
1787067285000,26.646666666666665
1787067300000,26.646666666666665
1787067315000,26.599999999999998
1787067330000,26.583333333333332
1787067345000,25.363333333333333
1787067360000,26.183333333333334
1787067375000,26.633333333333336
1787067390000,26.633333333333336
1787067405000,26.66
1787067420000,26.603333333333335
1787067435000,26.58666666666667
1787067450000,26.663333333333338
1787067465000,26.633333333333336
1787067480000,26.646666666666665
1787067495000,26.646666666666665
1787067510000,26.63
1787067525000,26.63
1787067540000,26.646666666666665
1787067555000,26.66
1787067570000,26.616666666666664
1787067585000,26.646666666666665
1787067600000,26.63
1787067615000,26.646666666666665
1787067630000,26.633333333333336
1787067645000,25.363333333333333
1787067660000,26.186666666666667
1787067675000,26.663333333333338
1787067690000,26.66333333333333
1787067705000,26.646666666666665
1787067720000,26.646666666666665
1787067735000,26.650000000000002
1787067750000,26.663333333333338
1787067765000,26.66
1787067780000,26.663333333333338
1787067795000,26.616666666666664
1787067810000,26.633333333333336
1787067825000,26.646666666666665
1787067840000,26.680000000000003
1787067855000,26.663333333333338
1787067870000,26.646666666666665
1787067885000,26.663333333333338
1787067900000,26.63
1787067915000,26.663333333333338
1787067930000,26.633333333333336
1787067945000,26.663333333333338
1787067960000,26.680000000000003
1787067975000,25.743333333333336
1787067990000,25.76
1787068005000,26.676666666666666
1787068020000,26.646666666666665
1787068035000,26.69333333333333
1787068050000,26.69333333333334
1787068065000,26.633333333333336
1787068080000,26.616666666666664
1787068095000,26.69333333333334
1787068110000,26.633333333333336
1787068125000,26.633333333333336
1787068140000,26.676666666666666
1787068155000,26.66
1787068170000,26.596666666666664
1787068185000,26.616666666666664
1787068200000,26.63
1787068215000,26.633333333333336
1787068230000,26.663333333333338
1787068245000,26.616666666666664
1787068260000,26.646666666666665
1787068275000,26.646666666666665
1787068290000,26.663333333333338
1787068305000,26.63
1787068320000,25.790000000000003
1787068335000,25.790000000000003
1787068350000,26.646666666666665
1787068365000,26.66333333333333
1787068380000,26.633333333333336
1787068395000,26.646666666666665
1787068410000,26.646666666666665
1787068425000,26.66
1787068440000,26.646666666666665
1787068455000,26.616666666666664
1787068470000,26.646666666666665
1787068485000,26.646666666666665
1787068500000,26.61666666666667
1787068515000,26.646666666666665
1787068530000,26.646666666666665
1787068545000,26.66
1787068560000,26.616666666666664
1787068575000,26.616666666666664
1787068590000,26.633333333333336
1787068605000,26.613333333333333
1787068620000,26.66
1787068635000,26.603333333333335
1787068650000,26.646666666666665
1787068665000,26.603333333333335
1787068680000,26.61666666666667
1787068695000,26.603333333333335
1787068710000,26.66
1787068725000,26.633333333333336
1787068740000,26.633333333333336
1787068755000,26.63
1787068770000,26.63
1787068785000,26.616666666666664
1787068800000,26.603333333333335
1787068815000,26.63
1787068830000,26.61666666666667
1787068845000,26.646666666666665
1787068860000,26.633333333333336
1787068875000,26.63
1787068890000,26.633333333333336
1787068905000,26.633333333333336
1787068920000,26.646666666666665
1787068935000,26.62
1787068950000,
1787068965000,
1787068980000,
1787068995000,26.66
1787069010000,
1787069025000,
1787069040000,
1787069055000,26.64
1787069070000,26.646666666666665
1787069085000,26.633333333333336
1787069100000,26.66
1787069115000,26.66
1787069130000,26.646666666666665
1787069145000,26.646666666666665
1787069160000,26.633333333333336
1787069175000,26.69333333333334
1787069190000,26.676666666666666
1787069205000,26.646666666666665
1787069220000,26.633333333333336
1787069235000,26.676666666666666
1787069250000,26.676666666666666
1787069265000,26.646666666666665
1787069280000,26.62
1787069295000,26.66
1787069310000,26.66
1787069325000,26.646666666666665
1787069340000,26.646666666666665
1787069355000,26.633333333333336
1787069370000,26.66
1787069385000,26.676666666666666
1787069400000,26.633333333333336
1787069415000,26.646666666666665
1787069430000,26.646666666666665
1787069445000,26.64
1787069460000,26.66
1787069475000,26.62
1787069490000,26.66
1787069505000,26.633333333333336
1787069520000,26.646666666666665
1787069535000,26.646666666666665
1787069550000,26.633333333333336
1787069565000,26.66
1787069580000,26.646666666666665
1787069595000,26.633333333333336
1787069610000,26.646666666666665
1787069625000,26.66
1787069640000,26.676666666666666
1787069655000,26.646666666666665
1787069670000,26.633333333333336
1787069685000,26.61666666666667
1787069700000,26.646666666666665
1787069715000,26.646666666666665
1787069730000,26.650000000000002
1787069745000,25.743333333333336
1787069760000,25.756666666666664
1787069775000,26.646666666666665
1787069790000,26.646666666666665
1787069805000,26.66333333333333
1787069820000,26.646666666666665
1787069835000,26.633333333333336
1787069850000,26.63
1787069865000,26.646666666666665
1787069880000,26.646666666666665
1787069895000,26.663333333333338
1787069910000,26.646666666666665
1787069925000,26.66333333333333
1787069940000,26.616666666666664
1787069955000,26.646666666666665
1787069970000,26.676666666666666
1787069985000,26.646666666666665
1787070000000,26.646666666666665
1787070015000,26.663333333333338
1787070030000,26.663333333333338
1787070045000,26.676666666666666
1787070060000,26.69333333333334
1787070075000,26.646666666666665
1787070090000,26.69333333333334
1787070105000,26.676666666666666
1787070120000,26.69333333333333
